date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.2872943199151,,54.9167110334579,8.12925807383752,46.7874529596204,58.522,18.3,,53.7270483629716
2017,21.06,5.049,49.2885886152565,1.05,55.2811503858526,7.84524453141359,47.435905854439,58.299,18.5,2.43,53.0567974073459
2016,21.468,5.039,49.2884642534784,1.05,55.7345456171439,7.60582593875289,48.128719678391,58.09,18.7,2.455,52.3846933687884
2015,21.859,5.032,49.2859500381956,1.05,56.3152125533631,7.42542723170733,48.8897853216558,57.895,18.8,2.48,51.7138108692039
2014,22.231,5.029,49.2804506918255,1.05,56.9348522160251,7.30331897277421,49.6315332432509,57.7,19.0,2.503,51.0448146917068
2013,22.585,5.031,49.2726057499412,1.05,57.7239397748843,7.25782784974525,50.466111925139,57.505,19.2,2.526,50.3777131460861
2012,22.924,5.038,49.2648929466296,1.05,58.6737189191827,7.26625665856482,51.4074622606179,57.309,19.4,2.55,49.7135283363803
2011,23.249,5.05,49.2607108038492,1.05,59.7424383305713,7.28575495460779,52.4566833759635,57.113,19.8,2.575,49.0530081435932
2010,23.558,5.063,49.2625588550114,1.05,60.8900401778611,7.28392244656212,53.606117731299,56.917,20.4,2.601,48.3967508725278
2009,23.849,5.075,49.2713650140335,1.05,62.0358183413394,7.25366112429872,54.7821572170407,56.721,21.3,2.628,47.7441083596477
2008,24.125,5.083,49.2867497753834,1.05,63.2954644662789,7.1982541654169,56.097210300862,56.525,22.3,2.657,47.095163702842
2007,24.395,5.089,49.3070564819807,1.05,64.6704134954177,7.12397262432862,57.5464408710891,56.328,23.5,2.689,46.4521771647
2006,24.67,5.094,49.329703866166,,66.1545707730166,7.0489450810528,59.1056256919638,56.132,24.9,2.725,45.8182067475486
2005,24.961,5.102,49.3526568520519,,67.7497459243803,6.98580723564184,60.7639386887385,55.935,26.5,2.767,45.1943659631045
2004,25.279,5.118,49.3753879360961,,69.3216133373394,6.9189783896925,62.402634947647,55.782,28.2,2.816,44.581477480472
2003,25.635,5.146,49.3983218429683,,70.9674532652537,6.85986764209414,64.1075856231596,55.633,30.1,2.874,43.9763835798571
2002,26.04,5.19,49.4204996662403,1.05,72.7167104415399,6.80660948191221,65.9101009596277,55.484,32.1,2.941,43.3715140435433
2001,26.508,5.254,49.4414489773033,,74.651680389454,6.7561122891388,67.8955681003152,55.335,34.3,3.019,42.756905434602
2000,27.054,5.335,49.4606366546927,,76.8302973285879,6.70530260457708,70.1249947240108,55.185,36.6,3.111,42.1248296493269
1999,27.693,5.431,49.4778343836486,,78.9236062192214,6.67500513536389,72.2486010838575,55.036,39.1,3.218,41.4744889479807
1998,28.424,5.538,49.4931212660178,,81.1879047364986,6.64709652353232,74.5408082129663,54.886,47.6,3.339,40.8064400864218
1997,29.238,5.657,49.5066344799072,1.05,83.5401790364757,6.61836549567312,76.9218135408025,54.737,44.5,3.473,40.1168439421639
1996,30.124,5.791,49.5187565471444,,85.7993846366049,6.58373001753927,79.2156546190656,54.587,47.5,3.62,39.4015123815855
1995,31.063,5.95,49.53014551227,,87.8379747898515,6.53801165340507,81.2999631364464,54.437,50.5,3.775,38.6586754196443
1994,32.031,6.145,49.5402510632791,,89.8312382110334,6.50567744138307,83.3255607696504,54.183,53.6,3.937,37.884377596809
1993,33.007,6.381,49.5493553383577,,91.5704234814626,6.46291430217448,85.1075091792881,53.907,56.9,4.102,37.0824081768323
1992,33.974,6.66,49.5605238063161,1.05,93.1170946985753,6.40994781494438,86.707146883631,53.63,60.1,4.267,36.2681735083929
1991,34.923,6.981,49.5782142999412,,94.6297191539044,6.34658360165279,88.2831355522516,53.352,63.4,4.432,35.462589330231
1990,35.865,7.337,49.6054928374349,1.05,96.2091796413126,6.27230513113807,89.9368745101745,53.075,66.4,4.596,34.6803556589663
1989,36.82,7.722,49.6439836020846,,97.2175757783605,6.18476429045139,91.0328114879091,52.797,69.4,4.762,33.9285191956124
1988,37.807,8.123,49.6930193724035,,98.1868938311336,6.08955265339083,92.0973411777427,52.519,72.2,4.931,33.2020358982882
1987,38.824,8.526,49.7490070778316,1.05,99.0483061141992,5.98798889308628,93.0603172211129,52.241,75.0,5.104,32.4885408010637
1986,39.857,8.921,49.8068468975576,,99.6452148919926,5.88272769903528,93.7624871929574,51.963,77.9,5.278,31.7694033571547
1985,40.875,9.297,49.8619971438082,,99.8669994267863,5.77463333856059,94.0923660882257,51.684,81.2,5.448,31.0315855077281
1984,41.841,9.648,49.9131479794827,,100.0637044815,5.69205033972062,94.3716541417798,51.406,85.0,5.612,30.2723616420143
1983,42.719,9.972,49.9606587691223,,99.9480092851023,5.61353268176895,94.3344766033334,51.127,89.5,5.764,29.4973491773309
1982,43.484,10.271,50.0035454537298,1.05,99.620128618961,5.53751367103658,94.0826149479244,50.849,94.8,5.902,28.7113428618913
1981,44.125,10.546,50.0414268206522,,99.2470435876256,5.46014958322932,93.7868940043963,50.57,100.8,6.025,27.9220541798238
1980,44.639,10.797,50.0738626619956,,98.9275458374402,5.37646461114475,93.5510812262954,50.292,107.6,6.135,27.1357736413495
1979,45.035,11.027,50.0999241976109,,98.9613433526853,5.33155330486793,93.6297900478174,50.013,115.1,6.233,26.3537310952302
1978,45.343,11.244,50.1190924476447,,99.0399364699979,5.28487618633743,93.7550602836604,49.734,123.1,6.325,25.5764168190128
1977,45.589,11.457,50.130732746493,1.05,99.1632510927168,5.23676865357008,93.9264824391468,49.456,131.1,6.411,24.8087834469004
1976,45.789,11.675,50.1341466068525,,99.2603549277666,5.18715167817386,94.0732032495927,49.177,139.1,6.495,24.0566062822004
1975,45.943,11.904,50.1294507490401,,99.2546912779216,5.13524027492443,94.1194510029971,48.898,146.7,6.574,23.3243892305135
1974,46.045,12.153,50.1151789674276,,99.9047273453821,5.12371488427715,94.781012461105,48.62,153.6,6.647,22.6143842446402
1973,46.096,12.423,50.0918824011378,,100.599739243807,5.11287398177748,95.4868652620296,48.341,159.7,6.713,21.9270317433937
1972,46.109,12.72,50.0635282301008,1.05,101.340143559269,5.10113830759958,96.2390052516694,48.063,165.1,6.769,21.2622486288848
1971,46.111,13.047,50.0360086968962,,102.119890067103,5.08561830737877,97.0342717597246,47.785,169.6,6.819,20.6194199767326
1970,46.134,13.409,50.0142321515315,,102.899597912755,5.06289305524758,97.8367048575073,47.03,173.4,6.862,19.9976150905767
1969,46.213,13.806,50.0009210529134,,104.23710721429,5.09280565845908,99.1443015558313,46.16,176.8,6.902,19.3973657969088
1968,46.374,14.236,49.9957829625505,,105.616675791574,5.11830147787187,100.498374313703,45.293,179.7,6.941,18.8185391391059
1967,46.638,14.696,49.9961543765243,1.05,106.814055424674,5.13576626122052,101.678289163453,44.427,182.4,6.982,18.259082599302
1966,47.02,15.185,49.9966462989916,,107.450394276951,5.13649844702366,102.313895829928,43.565,184.5,7.025,17.7162705667276
1965,47.541,15.705,49.9925303824879,,107.307651831398,5.11247976667151,102.195172064727,42.707,186.4,7.073,17.1878095396377
1964,48.218,16.261,49.9828555309353,,106.865014273976,5.13357946362018,101.731434810356,41.855,188.3,7.128,16.6734336047864
1963,49.024,16.848,49.9688116573496,,105.378670201091,5.12878416938221,100.249886031709,41.005,189.9,7.188,16.1727937510387
