date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.2289974023331,,110.878511220383,5.47231145483677,105.406199765546,16.425,83.7,,17.7176505881424
2017,46.54,8.529,50.2025239061533,1.05,111.343400280761,5.47539828535979,105.868001995401,16.35,86.7,7.001,17.0541343648851
2016,47.017,8.82,50.1741635840356,1.05,111.602727313627,5.46841935225792,106.134307961369,16.29,90.3,7.087,16.4118086366148
2015,47.502,9.145,50.1439655292662,1.05,111.598763392691,5.44964331117338,106.149120081518,16.247,94.3,7.169,15.7903710428673
2014,47.988,9.511,50.1117608970643,1.05,111.862799475369,5.4340052214284,106.42879425394,16.219,98.5,7.245,15.1891979158443
2013,48.466,9.916,50.0775252783315,1.05,111.938742026207,5.40996421349579,106.528777812711,16.208,103.2,7.314,14.6082379411068
2012,48.929,10.359,50.0418286742235,1.05,111.802806383843,5.37657944341034,106.426226940433,16.212,108.7,7.376,14.0484653035446
2011,49.374,10.838,50.0056500905358,1.05,111.411292299988,5.33227117696898,106.079021123019,16.216,115.1,7.429,13.5112978605826
2010,49.802,11.353,49.9696277186168,1.05,110.701088121527,5.2743915509811,105.426696570546,16.221,122.6,7.473,12.9975724323044
2009,50.217,11.901,49.9344289963897,1.05,110.383911894194,5.24594247828388,105.13796941591,16.225,131.1,7.511,12.5074074366464
2008,50.625,12.477,49.8999502521587,1.05,109.863290119206,5.2087169130659,104.65457320614,16.229,140.3,7.542,12.0398736875345
2007,51.029,13.073,49.8652607718521,1.05,109.115820816035,5.16292008034044,103.952900735695,16.234,150.2,7.569,11.5934309623431
2006,51.428,13.683,49.8286372092586,,108.105248150274,5.1102714363632,102.994976713911,16.238,160.7,7.592,11.1659990526565
2005,51.82,14.296,49.7887404680724,,106.76423993603,5.05169459977452,101.712545336256,16.242,171.7,7.612,10.7558751085498
2004,52.202,14.904,49.7448482444727,,106.168411109291,5.02401674740313,101.144394361888,16.247,183.2,7.63,10.3622925712481
2003,52.568,15.503,49.6971651527362,,105.535456454883,5.00445668645159,100.530999768431,16.251,194.9,7.645,9.98498776347991
2002,52.915,16.091,49.6459881666824,1.05,104.847945980563,4.9903650751746,99.8575809053889,16.255,206.1,7.658,9.62341754164364
2001,53.24,16.666,49.5920813958277,,104.011263585789,4.97481404580259,99.0364495399863,16.26,216.6,7.669,9.27714928554512
