date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.6638864537293,,87.3150867715878,5.14625203650141,82.1688347350864,50.344,119.9,,215.064988965381
2017,38.384,12.114,50.6552942959052,1.059,87.8366516494753,5.16388510311927,82.672766546356,49.519,122.1,5.457,209.573559735169
2016,38.873,12.39,50.6459767820051,1.059,88.1540047646518,5.16671753474523,82.9872872299066,48.683,123.9,5.526,204.179198919596
2015,39.359,12.686,50.635891128292,1.059,88.2035952712874,5.14839985675379,83.0551954145336,47.838,125.4,5.592,198.883854321069
2014,39.828,12.994,50.6250213606557,1.059,88.4984860807888,5.18379940283544,83.3146866779533,46.982,126.9,5.653,193.687651108403
2013,40.267,13.307,50.6133726175171,1.059,88.5918157612073,5.20261844397412,83.3891973172332,46.118,128.6,5.709,188.594012758435
2012,40.668,13.623,50.6009470150904,1.059,88.4924430519644,5.20264958103771,83.2897934709267,45.246,130.5,5.758,183.61251139146
2011,41.025,13.942,50.5877642147284,1.059,88.2445245183342,5.18367878769862,83.0608457306356,44.366,132.5,5.802,178.755416845087
2010,41.341,14.27,50.5738619048601,1.059,87.8765850922593,5.14472997131983,82.7318551209395,43.48,135.2,5.839,174.032079449257
2009,41.62,14.622,50.5592618442571,1.059,87.8076395739035,5.17069552613471,82.6369440477688,42.588,138.3,5.872,169.444462377988
2008,41.874,15.002,50.5440128145128,1.059,87.6686993101538,5.18244160899881,82.486257701155,41.702,142.0,5.902,164.991845361617
2007,42.111,15.409,50.5282333286782,1.059,87.445368613476,5.17810034707628,82.2672682663997,40.819,146.3,5.93,160.677203904389
2006,42.333,15.836,50.5120767361447,,87.1056821378019,5.15688493616114,81.9487972016408,39.943,151.1,5.958,156.503077615644
2005,42.537,16.267,50.4956885684684,,86.6151584788718,5.11774593372786,81.497412545144,39.074,156.2,5.985,152.469905684201
2004,42.717,16.682,50.4792004044918,,86.7033959243984,5.17066764688863,81.5327282775098,38.212,161.7,6.011,148.578040559087
2003,42.868,17.063,50.4627104370097,,86.7727611115314,5.21475408828608,81.5580070232453,37.356,167.5,6.036,144.823205639184
2002,42.989,17.397,50.4463203734229,1.059,86.8049615633432,5.24656436163325,81.5583972017099,36.508,173.4,6.06,141.194896625932
2001,43.083,17.675,50.4301065458882,,86.7731184973076,5.26195689581147,81.5111616014962,35.669,179.2,6.083,137.679157196658
2000,43.156,17.895,50.4141572967937,,86.6402596617253,5.25704704294547,81.3832126187799,34.84,184.8,6.106,134.264248932222
1999,43.211,18.059,50.3984741580071,,87.2296259469291,5.31780367550746,81.9118222714217,34.304,190.1,6.131,130.944215334278
1998,43.259,18.182,50.3831683357195,,87.8308557678394,5.37069469899437,82.460161068845,33.773,195.2,6.159,127.715843736618
1997,43.308,18.276,50.3686234109832,1.059,88.3897345504741,5.41141647042055,82.9783180800535,33.247,199.6,6.19,124.573342336704
1996,43.369,18.348,50.355345912177,,88.829939817415,5.4344422465517,83.3954975708633,32.725,203.3,6.224,121.511242135775
1995,43.449,18.406,50.3437074654757,,89.0852346151303,5.43437244235067,83.6508621727796,32.205,205.9,6.262,118.524254202488
1994,43.556,18.454,50.3341600652825,,89.9578073595681,5.48700248237211,84.470804877196,31.691,207.8,6.303,115.609539181132
1993,43.69,18.492,50.3266134830893,,90.7142577267956,5.52616415159054,85.188093575205,31.182,209.0,6.348,112.762555859328
1992,43.853,18.524,50.3201572800656,1.059,91.3030854372764,5.5481283205421,85.7549571167343,30.677,209.8,6.395,109.974757622671
1991,44.044,18.553,50.3133996327463,,91.6714113049115,5.54921716020193,86.1221941447095,30.176,210.5,6.443,107.236329699046
1990,44.265,18.579,50.3052751901553,1.059,91.7735860989581,5.52547903641943,86.2481070625387,29.68,210.9,6.49,104.540608496108
1989,44.516,18.596,50.2946872279519,,92.3327576286672,5.55512717302394,86.7776304556433,28.842,211.1,6.537,101.878659815321
1988,44.79,18.603,50.2818532180409,,92.675909626008,5.56837571039637,87.1075339156116,28.019,210.7,6.582,99.2514806153035
1987,45.079,18.605,50.2687425291485,1.059,92.7632454954021,5.56214412164922,87.2011013737529,27.209,210.2,6.625,96.674277808887
1986,45.375,18.61,50.2584671973392,,92.5384027199229,5.53373708754907,87.0046656323738,26.414,209.2,6.664,94.1691085564962
1985,45.671,18.633,50.2532766503592,,91.9503339321436,5.48029341511242,86.4700405170312,25.635,208.3,6.698,91.7496019851335
1984,45.962,18.689,50.255161045613,,91.6562511059523,5.4653527263089,86.1908983796434,24.872,207.7,6.726,89.4284561415066
1983,46.243,18.79,50.2630383658389,,91.1095232679532,5.43450738163374,85.6750158863195,24.122,207.6,6.749,87.1952743283156
1982,46.506,18.943,50.2721299200792,1.059,90.3258785644063,5.38653564581402,84.9393429185922,23.389,208.4,6.767,85.013281069864
1981,46.741,19.149,50.2751287256097,,89.3344669232453,5.32144519562846,84.0130217276168,22.671,210.3,6.779,82.8315623044237
1980,46.94,19.408,50.2664168979023,,88.1409785240089,5.23877770377841,82.9022008202305,21.97,213.3,6.783,80.6170965227225
1979,47.094,19.713,50.2424912180146,,87.9905376083257,5.26149409170858,82.7290435166171,21.518,217.6,6.781,78.352526982663
1978,47.202,20.05,50.2046868489199,,87.7608647093149,5.27703746003416,82.4838272492808,21.074,222.9,6.772,76.0586284133206
1977,47.263,20.404,50.1582083954597,1.059,87.4208427822601,5.2811759084175,82.1396668738426,20.636,229.1,6.757,73.7871559230102
1976,47.276,20.766,50.112060648089,,86.8747528374306,5.26760202925305,81.6071508081776,20.205,236.1,6.735,71.6112498215795
1975,47.233,21.127,50.0737688749455,,86.020791410925,5.23030216128467,80.7904892496403,19.78,243.8,6.706,69.5832076155341
1974,47.129,21.48,50.0466712422119,,85.7285050745681,5.26047371669295,80.4680313578751,19.363,251.9,6.669,67.7198161994796
1973,46.97,21.826,50.02949615497,,85.3249157716664,5.2738315640497,80.0510842076167,18.952,260.3,6.625,66.0041777836336
1972,46.77,22.163,50.0199733019979,1.059,84.7866125935327,5.26751608226153,79.5190965112711,18.549,268.7,6.575,64.4134172183976
1971,46.546,22.491,50.0133933741857,,84.113571472089,5.23976576692835,78.8738057051606,18.151,277.1,6.522,62.9104856330358
1970,46.324,22.81,50.0059233174751,,83.301427620483,5.18867896727779,78.1127486532052,17.76,285.1,6.471,61.4668291665294
1969,46.133,23.12,49.9968739168707,,83.1564320910112,5.2344067264894,77.9220253645218,17.513,292.7,6.425,60.0777792417405
1968,45.993,23.427,49.987450987223,,82.9226505930349,5.26434185111738,77.6583087419176,17.269,300.0,6.387,58.7483074760917
1967,45.913,23.737,49.977690098842,1.059,82.5612636244134,5.27344114451891,77.2878224798944,17.027,306.8,6.359,57.470308639942
1966,45.898,24.055,49.968027822423,,82.0236564775586,5.25440145431356,76.769255023245,16.788,313.5,6.342,56.2359025879201
1965,45.94,24.388,49.9587994075956,,81.256979795029,5.20021193446462,76.0567678605644,16.551,320.1,6.335,55.0390559636352
1964,46.024,24.742,49.9497256411581,,81.2852230853287,5.24083745337703,76.0443856319517,16.318,326.9,6.336,53.8739308497206
1963,46.123,25.119,49.9404595996763,,81.23485274049,5.24870936067057,75.9861433798194,16.087,,6.341,52.7388188016733
1962,46.214,25.519,49.9313010311883,1.059,81.0626117112033,5.22284260367404,75.8397691075293,15.858,,6.346,51.6374298670356
1961,46.287,25.941,49.9226742521259,,80.6708905974116,5.16650539199707,75.5043852054145,15.633,,6.351,50.5765044961955
1960,46.335,26.381,49.9149660843547,,79.9604017775145,5.08212139975702,74.8782803777575,15.41,,6.354,
