date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,,,,,,91.618,,,123.65652173913
2017,,,,,,,,91.53,,,122.960869565217
2016,,,,,,,,91.443,,,122.147826086957
2015,,,,,,,,91.357,,,121.260869565217
2014,,,,,,,,91.273,,,120.228260869565
2013,,,,,,,,91.19,,,119.095652173913
2012,,,,,,,,91.108,,,118.067391304348
2011,,,,,,,,91.028,,,117.417391304348
2010,,,,,,,,90.949,,,117.328260869565
2009,,,,,,,,90.872,,,117.810869565217
2008,,,,,,,,90.795,,,118.75
2007,,,,,,,,90.716,,,120.041304347826
2006,,,,,,,,90.638,,,121.482608695652
2005,,,,,,,,90.558,,,122.917391304348
2004,,,,,,,,90.478,,,124.447826086957
2003,,,,,,,,90.398,,,125.971739130435
2002,,,,,,,,90.316,,,127.0
2001,,,,,,,,90.235,,,126.784782608696
2000,,,,,,,,90.152,,,124.897826086957
1999,,,,,,,,90.038,,,120.947826086957
1998,,,,,,,,89.912,,,115.210869565217
1997,,,,,,,,89.784,,,108.817391304348
1996,,,,,,,,89.655,,,103.30652173913
1995,,,,,,,,89.557,,,99.7173913043478
1994,,,,,,,,89.592,,,98.6173913043478
1993,,,,,,,,89.627,,,99.4739130434783
1992,,,,,,,,89.662,,,101.034782608696
1991,,,,,,,,89.697,,,101.447826086957
1990,,,,,,,,89.731,,,
1989,,,,,,,,89.535,,,
1988,,,,,,,,89.257,,,
1987,,,,,,,,88.971,,,
1986,,,,,,,,88.679,,,
1985,,,,,,,,88.381,,,
1984,,,,,,,,88.076,,,
1983,,,,,,,,87.763,,,
1982,,,,,,,,87.444,,,
1981,,,,,,,,87.117,,,
1980,,,,,,,,86.784,,,
1979,,,,,,,,85.85,,,
1978,,,,,,,,84.651,,,
1977,,,,,,,,83.37,,,
1976,,,,,,,,82.007,,,
1975,,,,,,,,80.554,,,
1974,,,,,,,,79.016,,,
1973,,,,,,,,77.28,,,
1972,,,,,,,,75.021,,,
1971,,,,,,,,72.609,,,
1970,,,,,,,,70.062,,,
1969,,,,,,,,67.384,,,
1968,,,,,,,,64.592,,,
1967,,,,,,,,61.688,,,
1966,,,,,,,,60.231,,,
1965,,,,,,,,58.759,,,
1964,,,,,,,,57.274,,,
1963,,,,,,,,55.771,,,
1962,,,,,,,,54.26,,,
1961,,,,,,,,52.741,,,
1960,,,,,,,,51.219,,,
