date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.4753688675074,,52.9011401549285,26.0684564808837,26.8326836740448,82.248,2.5,,14.5549195374975
2017,10.7,7.7,50.4384739302203,1.058,52.6835671872658,25.7042381890117,26.9793289982541,81.871,2.6,1.71,14.4525759458847
2016,11.3,7.8,50.3957950466106,1.057,52.4298117792043,25.2945499951661,27.1352617840382,81.485,2.7,1.71,14.3363164960781
2015,11.3,7.8,50.3452903336976,1.056,52.1267547284102,24.8012658936709,27.3254888347392,81.091,2.7,1.72,14.2105725713798
2014,11.5,7.9,50.2866730620277,1.056,51.8536418391163,24.3574077095704,27.4962341295459,80.692,2.8,1.75,14.0698665657304
2013,11.6,8.1,50.2205549408795,1.055,51.5557547275926,23.8419370979036,27.713817629689,80.286,2.9,1.78,13.912086861994
2012,12.0,8.4,50.1477347340775,1.054,51.2734397371554,23.3021356121234,27.971304125032,79.874,3.0,1.85,13.7403303399718
2011,12.2,8.4,50.0701549106922,1.054,51.0317575753141,22.8214597281721,28.210297847142,79.455,3.1,1.88,13.5610392282727
2010,12.6,8.5,49.9898278262372,1.055,50.8270535669114,22.454118732933,28.3729348339785,79.102,3.2,1.95,13.3862629068797
2009,12.8,8.6,49.9064917533123,1.055,50.9676043717747,22.2974827717086,28.670121600066,78.815,3.4,1.98,13.2205490208493
2008,12.7,8.7,49.8211281710764,1.056,51.2317161435851,22.2689584695828,28.9627576740023,78.526,3.5,1.96,13.0548679895695
2007,12.4,8.9,49.7393844094264,1.056,51.5844063373035,22.3342660723661,29.2501402649374,78.234,3.7,1.9,12.893170596795
2006,12.6,8.9,49.668242104727,,52.0077271329277,22.4499760117075,29.5577511212203,77.95,3.9,1.9,12.7604483561181
2005,12.3,8.9,49.6128646333326,,52.5023081711071,22.5932924992933,29.9090156718139,77.675,4.0,1.84,12.65808938075
2004,12.4,9.0,49.5768570813425,,52.8560372161148,22.7096194336027,30.1464177825121,77.399,4.2,1.83,12.572171470141
2003,12.4,9.3,49.55854319034,,53.2822242041159,22.8902457697463,30.3919784343696,77.084,4.4,1.8,12.4980976971087
2002,12.2,9.8,49.5520584282901,1.051,53.7228729114085,23.1120914825676,30.610781428841,76.733,4.5,1.75,12.4250068286973
2001,12.6,9.7,49.5483114713035,,54.1119158940728,23.3433758592881,30.7685400347847,76.378,4.7,1.78,12.3581802660593
2000,13.2,9.8,49.5404583969996,,54.4161248651728,23.5583851066222,30.8577397585506,76.02,4.8,1.85,12.2958000463303
1999,13.3,10.1,49.5261295911854,,54.6903964928764,23.8565185661564,30.83387792672,75.569,5.0,1.85,12.216253219434
1998,13.2,10.0,49.5071034528503,,54.877538602627,24.1423997533961,30.7351388492309,75.027,5.1,1.81,12.1328870277852
1997,13.6,10.1,49.4858680450453,1.058,54.9818092008397,24.4040626645853,30.5777465362544,74.476,5.2,1.86,12.0608612008711
1996,13.9,10.0,49.4667575036699,,55.0101115024886,24.6300704337969,30.3800410686917,74.062,5.4,1.89,11.9956417831146
1995,13.8,10.4,49.4528504262427,,54.9632550942165,24.8087924713558,30.1544626228607,73.787,5.7,1.87,11.9349919135817
1994,13.9,10.2,49.4450683800686,,54.9125828349217,25.0094931294034,29.9030897055183,73.453,6.1,1.87,11.8731948656752
1993,13.8,10.8,49.441969611679,,54.8141866420036,25.1666625976387,29.6475240443649,73.061,6.6,1.86,11.8057823933189
1992,14.0,10.4,49.4418994172645,1.061,54.6991516523399,25.2706260073813,29.4285256449586,72.665,7.2,1.88,11.7357196377507
1991,14.3,10.5,49.4423071743181,,54.6003572501317,25.3096554756346,29.2907017744971,72.265,7.9,1.92,11.668178484288
1990,14.4,10.9,49.4415492622818,1.058,54.5146881872651,25.2723377421514,29.2423504451137,71.956,8.7,1.93,11.6127114516559
1989,14.0,10.7,49.4386098251917,,54.6027490453688,25.2071659522172,29.3955830931515,71.828,9.3,1.89,11.5728148328932
1988,13.7,10.8,49.434504711054,,54.7698061428659,25.0688827790479,29.700923363818,71.699,9.8,1.84,11.5251398519354
1987,12.9,10.7,49.4313073982821,1.053,55.007117457485,24.8726354584513,30.1344819990337,71.57,10.1,1.74,11.4633099492783
1986,12.6,10.5,49.4324731286988,,55.277398238998,24.6474325893794,30.6299656496187,71.44,10.2,1.71,11.4097813469293
1985,12.3,10.7,49.4400462689295,,55.5437605373234,24.4113801032859,31.1323804340375,71.31,10.2,1.68,11.3691564478624
1984,12.1,10.3,49.4549527398559,,56.0853743961262,24.2141063119567,31.8712680841695,71.18,10.1,1.66,11.335159994721
1983,12.1,10.2,49.4758506789042,,56.6762605654328,24.0280484916934,32.6482120737394,71.049,10.0,1.66,11.3032169634895
1982,12.5,10.1,49.5012464582345,1.058,57.2809362579801,23.8379911031335,33.4429451548466,70.918,9.9,1.71,11.2658583742075
1981,12.4,10.2,49.5280282334067,,57.8844563777826,23.6169182796121,34.2675380981704,70.787,9.9,1.7,11.2245572148583
1980,12.5,10.1,49.554510813569,,58.49306635022,23.3447552575054,35.1483110927147,70.545,10.1,1.72,11.1860021650767
1979,12.7,10.2,49.5800632231532,,58.959936018161,23.097943502225,35.8619925159359,70.081,10.4,1.75,11.1501275153616
1978,12.8,10.0,49.604772976651,,59.3258077635114,22.8228031360554,36.503004627456,69.614,10.9,1.77,11.1122186090077
1977,12.6,9.8,49.6280847160287,1.058,59.5886901839183,22.5219813097687,37.0667088741496,69.142,11.5,1.75,11.0698743113283
1976,13.3,10.0,49.6492467364788,,59.7816320764002,22.2026570531442,37.578975023256,68.667,12.2,1.86,11.0231849728873
1975,14.1,10.0,49.6676668265126,,59.9280759006376,21.8676879127843,38.0603879878533,68.187,12.9,1.98,10.9716057524048
1974,15.0,9.9,49.6828564869466,,60.011001298876,21.6059487315382,38.4050525673378,67.703,13.6,2.13,10.9112214587723
1973,15.5,10.1,49.6949483753934,,60.084103922182,21.3495753172288,38.7345286049533,67.216,14.3,2.23,10.8437432769149
1972,16.3,10.0,49.7050379207906,1.054,60.1104366007282,21.090467800452,39.0199688002762,66.725,15.0,2.38,10.768155447461
1971,16.8,10.0,49.7154617064001,,59.9773992681199,20.8151347026573,39.1622645654626,66.23,15.6,2.49,10.686114397418
1970,16.7,10.0,49.7273641277497,,59.6020329501991,20.5124213883096,39.0896115618895,65.396,16.2,2.5,10.6114355493962
1969,17.6,10.1,49.7413925568168,,59.3553650894889,20.2145331729166,39.1408319165723,63.881,16.9,2.7,10.5346211425881
1968,17.6,9.9,49.7566463930962,,58.9526289024544,19.9062398871147,39.0463890153397,62.34,17.5,2.75,10.4491412953199
1967,17.6,9.6,49.7722905454802,1.064,58.4937694084341,19.5890803935816,38.9046890148525,60.77,18.2,2.81,10.3616737356429
1966,17.9,9.6,49.786514537521,,58.1684714307268,19.2649677974573,38.9035036332695,59.179,19.0,2.9,10.2753560922354
1965,17.8,9.4,49.7980510984554,,58.0672428381533,18.9312538289138,39.1359890092395,57.568,19.7,2.94,10.1936463275939
1964,17.7,9.5,49.8064494480596,,58.1238406100435,18.6535197088802,39.4703209011633,55.944,20.4,2.98,10.1147155272706
1963,17.3,10.0,49.8114184100681,,58.4124091454455,18.3798931196591,40.0325160257864,54.302,21.0,2.93,10.038596546016
1962,17.1,9.4,49.8135723300615,1.063,58.7763776964558,18.1024420872037,40.6739356092521,52.653,21.6,2.91,9.96297859970743
1961,17.3,9.2,49.8131199048278,,58.9145665816287,17.8143414035003,41.1002251781284,50.998,22.1,2.94,9.88325654747479
1960,17.3,9.1,49.8106633676743,,58.642867837737,17.5094421867068,41.1334256510303,49.92,22.6,2.85,
