date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.1885965659802,,53.9686152635925,26.3142903744727,27.4030831352756,80.5933075710504,6.43274209312498,,37.8092345649061
2017,11.3984977633441,8.60395738617631,49.174913469288,1.05143540614065,53.5051881525795,25.7815924495798,27.4782421737648,80.3951672458701,6.6524168101893,1.71077631023087,37.597388830248
2016,11.6821355618972,8.48526585998194,49.1612908286216,1.05142003074131,53.0421310680123,25.2469730199494,27.5587678893048,80.2005021191539,6.88292476633968,1.73557250609605,37.3804682450933
2015,11.8015422985753,8.52662169573094,49.1490303194157,1.05141905193461,52.5817299680296,24.69730910322,27.6609976611504,80.0096038638949,7.12397252013424,1.74227180547592,37.1512469603221
2014,11.9153973340776,8.2501083182104,49.1385064460202,1.05174410937933,52.0856257906848,24.1185102899091,27.7597739387005,79.8212875304,7.31400845659723,1.74665247803616,36.9131959012823
2013,11.9217039529948,8.31019812940496,49.1296634106648,1.05175253266123,51.6010102199663,23.5391687478812,27.8725374900189,79.6377147649518,7.51708720182033,1.74110692266324,36.6724504778161
2012,12.1833525079585,8.28112049006426,49.1222687208268,1.05178725750128,51.1472827256588,22.9776323340016,27.9972163876714,79.4538350746471,7.73703846457215,1.76604032280911,36.4433824331257
2011,12.2812573406772,8.16140582209533,49.1153734949678,1.05188389399031,50.7490273515892,22.4693813560923,28.1195387597354,79.2672538255332,7.98952480137213,1.76669560441971,36.2191376648655
2010,12.5084710660894,8.11361827614411,49.1088804054234,1.05198079376664,50.4049258538253,22.0375177016087,28.2135528271958,79.0505205409302,8.2188319756338,1.7870037945022,36.0414502663237
2009,12.641076769207,8.06259510022475,49.1032031759697,1.05202536025464,50.210115902913,21.6544106966717,28.4080731082899,78.7705644339161,8.51119161541945,1.79603619921387,35.8125428356884
2008,12.9086036835249,8.13244963053378,49.0983398454109,1.05210789022332,50.1335891289213,21.354522692873,28.6344054176835,78.4839705862201,8.80138038729412,1.8228124860549,35.5651086707822
2007,12.9399418999617,8.04543345990174,49.0937476220306,1.0521414323344,50.1397119194664,21.1095602482194,28.8854530606572,78.188280623533,9.14158838946928,1.81806879726305,35.2790116284843
2006,12.8843748364751,8.01057660394099,49.0892827664507,,50.1590736379559,20.8778823952653,29.1335476469193,77.88382111567,9.54871318991072,1.79802352337958,35.0214330337329
2005,12.7481679642798,8.13371991986061,49.0841518294552,,50.1459943818486,20.6338063423645,29.3592643068792,77.5610669737733,9.96755185296623,1.7661319445242,34.7685128269199
2004,12.8682563458749,8.00540628708877,49.0787102943978,,50.2899695037574,20.4261856142088,29.7044875487823,77.2112188809886,10.449405135874,1.77128061325735,34.5271914821889
