date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,65.9859164845213,,32.6951287431657,3.17510515772216,29.5200235854435,84.539,11.4,,15.6041453957997
2017,19.786,2.462,65.8681685050299,1.05,32.2492953786362,3.10087252872338,29.1484228499128,83.56,11.4,2.92,15.075718901454
2016,20.292,2.498,65.6237462931579,1.05,31.9202155857925,3.04267538434352,28.877540201449,82.5,11.3,2.937,14.472436187399
2015,20.697,2.542,65.2149898496511,1.05,31.7752573607633,3.00378000792378,28.7714773528395,81.35,11.2,2.939,13.7878772213247
2014,21.005,2.592,64.593550693959,1.05,32.3590600122655,3.06483301880777,29.2942269934577,80.145,11.2,2.93,13.0121486268174
2013,21.24,2.643,63.7357313326985,1.05,33.3334159700978,3.17622667783916,30.1571892922586,78.882,11.3,2.913,12.1641518578352
2012,21.424,2.695,62.6690844077711,1.05,34.8704244488981,3.33880573190696,31.5316187169911,77.564,11.4,2.896,11.3021938610662
2011,21.57,2.745,61.4891812068646,1.05,36.9985874991994,3.53694077272896,33.4616467264704,76.183,11.6,2.882,10.5043877221325
2010,21.676,2.794,60.3185009707589,1.05,39.6211898288014,3.75385556112043,35.867334267681,75.161,11.7,2.873,9.82692730210016
2009,21.737,2.843,59.2594498408656,1.05,41.2363272090688,3.81436186276508,37.4219653463037,74.624,11.8,2.868,9.29300807754443
2008,21.757,2.894,58.356876663967,1.05,43.3456202660397,3.85329256447774,39.492327701562,74.08,12.0,2.869,8.88841033925687
2007,21.757,2.95,57.632654689477,1.05,46.1104060495019,3.88052101731226,42.2298850321897,73.527,12.2,2.879,8.58532471728594
2006,21.77,3.011,57.0476523712265,,49.6740615640869,3.91926470144735,45.7547968626396,72.967,12.5,2.904,8.33847495961228
2005,21.838,3.079,56.5594320606358,,53.9986275807216,3.98467649109553,50.0139510896261,72.4,12.8,2.951,8.11389660743134
2004,22.004,3.153,56.15479545488,,56.4483058854989,4.02156674964031,52.4267391358586,71.827,13.3,3.029,7.90150888529887
2003,22.299,3.233,55.8651878077115,,58.9416792558903,4.04793496766768,54.8937442882226,71.509,13.9,3.142,7.70974474959612
2002,22.747,3.319,55.731864008977,1.05,61.3270945123342,4.05815867260147,57.2689358397327,71.529,14.6,3.293,7.54396768982229
2001,23.361,3.413,55.8144611733805,,63.4878265447362,4.04979230647031,59.4380342382659,71.549,15.4,3.484,7.41506300484653
2000,24.139,3.518,56.1403067849573,,65.3896218964465,4.02321607886291,61.3664058175836,71.569,16.5,3.716,7.32786106623586
1999,25.063,3.633,56.7449614128887,,66.6420819101026,3.91540577411683,62.7266761359857,71.589,17.7,3.989,7.28563489499192
1998,26.1,3.76,57.5635064184747,,67.9325007793076,3.81845788085021,64.1140428984573,71.609,19.0,4.297,7.27581260096931
1997,27.225,3.902,58.4074116383133,1.05,69.2839734323963,3.72840366384321,65.555569768553,71.629,20.5,4.63,7.26902100161551
1996,28.432,4.062,59.0402530210332,,70.535948469895,3.64067084291492,66.8952776269801,71.649,22.2,4.981,7.22666882067851
1995,29.743,4.242,59.3052021374906,,71.3579734412971,3.54947845001158,67.8084949912855,71.669,24.1,5.346,7.12205815831987
1994,31.196,4.443,59.1100140754863,,75.2442377669037,3.6965407432724,71.5476970236313,71.688,26.4,5.72,6.94157996768982
1993,32.803,4.666,58.4829154493062,,79.1900876188631,3.85498784128291,75.3350997775802,71.044,29.0,6.098,6.69500484652666
1992,34.549,4.912,57.5438971558112,1.05,83.1077656287075,4.02116480275944,79.086600825948,69.447,31.9,6.472,6.40799676898223
1991,36.395,5.185,56.5304703180602,,86.9160501991285,4.18974204596487,82.7263081531636,67.796,35.2,6.831,6.11879806138934
1990,38.282,5.483,55.6626960783773,1.05,90.6033131738102,4.35771759137523,86.2455955824349,66.102,38.9,7.165,5.85512439418417
1989,40.143,5.809,55.0419692675264,,91.7137741877944,4.42146385291443,87.29231033488,64.366,42.9,7.462,5.62570597738288
1988,41.91,6.162,54.6365901345495,,92.2691775359994,4.4818238480646,87.7873536879348,62.594,47.5,7.719,5.42200323101777
1987,43.525,6.543,54.4067397959467,1.05,92.4442606961131,4.53933620123293,87.9049244948802,60.783,52.7,7.933,5.23380613893376
1986,44.949,6.951,54.2427522771237,,92.4487901570595,4.59677449178461,87.8520156652749,58.944,58.6,8.101,5.04421647819063
1985,46.163,7.39,54.0507857313037,,92.3524639407648,4.65085828425306,87.7016056565117,57.079,65.3,8.222,4.84141518578352
1984,47.177,7.861,53.8190411902735,,92.4037188165935,4.77194350517959,87.6317753114139,55.197,72.9,8.299,4.62381260096931
1983,48.027,8.364,53.5811503322717,,92.3545032243111,4.89165381794337,87.4628494063678,53.294,81.3,8.34,4.39769628432956
1982,48.742,8.899,53.3229828830009,1.05,92.2660554423751,5.00728014628847,87.2587752960866,51.385,90.5,8.352,4.16837156704362
1981,49.322,9.462,53.0333989306706,,92.056601220391,5.1191596358338,86.9374415845572,49.471,100.3,8.338,3.94373182552504
1980,49.744,10.053,52.7028092306386,,91.5933903610538,5.22444291750897,86.3689474435449,47.562,110.6,8.299,3.72981260096931
1979,49.973,10.671,52.3141287603333,,91.9857925322877,5.37527584115066,86.610516691137,45.654,121.3,8.232,3.52779321486268
1978,50.003,11.312,51.8589810001384,,92.498550854297,5.52911990725468,86.9694309470424,43.762,132.4,8.137,3.33699192245557
1977,49.85,11.969,51.361213494729,1.05,93.1659288145571,5.68314042501072,87.4827883895464,41.888,144.0,8.018,3.15930210016155
1976,49.553,12.635,50.8633498448407,,94.1550584284811,5.83656772972588,88.3184906987552,40.039,155.8,7.885,2.99656219709208
1975,49.173,13.298,50.4071253165963,,95.6161691878813,5.98660034109029,89.629568846791,38.213,167.7,7.747,2.84990953150242
1974,48.782,13.95,50.018053285698,,95.7841131057576,6.0722258394568,89.7118872663008,36.423,179.7,7.617,2.72035541195477
