date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.0946163489007,,54.2424993288382,12.5009278095828,41.7415715192554,67.709,15.3,,56.1860774818402
2017,19.263,5.048,50.1141531385782,1.05,54.4387153983647,12.2159675295836,42.2227478687811,67.365,15.8,2.487,55.2430858218994
2016,19.562,5.024,50.133921284059,1.05,54.6304549081102,11.9497500948946,42.6807048132156,67.027,16.3,2.514,54.3055959106807
2015,19.863,5.003,50.1533832767627,1.05,54.7962015614243,11.6983950836394,43.0978064777849,66.696,16.9,2.54,53.3829297820823
2014,20.155,4.985,50.1722369736737,1.05,55.0039055764321,11.4328896418392,43.5710159345929,66.371,17.5,2.564,52.4793516276567
2013,20.429,4.969,50.1907078888067,1.05,55.2501144510257,11.1908614043616,44.059253046664,66.052,18.1,2.584,51.593179983858
2012,20.678,4.954,50.2086253376421,1.05,55.5173540193552,10.9667371671984,44.5506168521568,65.741,18.6,2.601,50.72133440947
2011,20.902,4.94,50.2264278308335,1.05,55.7705772342348,10.7536195339259,45.0169577003089,65.437,19.2,2.613,49.8585283831047
2010,21.102,4.925,50.2440640724124,1.05,55.9848206834033,10.5453172056663,45.439503477737,65.14,19.9,2.622,49.0003631961259
2009,21.285,4.909,50.2616635211911,1.05,56.2765793945618,10.3336756453717,45.9429037491901,64.851,20.5,2.628,48.1465563626581
2008,21.46,4.892,50.2792215696245,1.05,56.5386486904005,10.1323511800486,46.4062975103518,64.56,21.1,2.632,47.2989507667474
2007,21.64,4.874,50.2962789449256,1.05,56.791945565285,9.93974700278566,46.8521985624993,64.268,21.7,2.637,46.4578288942696
2006,21.83,4.856,50.3124564190003,,57.0989598580041,9.75480514475649,47.3441547132476,63.976,22.3,2.643,45.6237019101426
2005,22.04,4.838,50.3278760394953,,57.5059214583814,9.57734408402795,47.9285773743535,63.682,22.9,2.651,44.7971078827011
2004,22.278,4.821,50.3422386549522,,57.9308242666243,9.40723697526567,48.5235872913586,63.387,23.5,2.663,43.9784234597794
2003,22.543,4.806,50.3555251139276,,58.4473282842273,9.25029217763808,49.1970361065892,63.091,24.1,2.679,43.1671778315846
2002,22.832,4.795,50.367855912384,1.05,59.0189786329426,9.10373487983397,49.9152437531086,62.794,24.7,2.698,42.3619585687382
2001,23.139,4.787,50.3798661397878,,59.5599980375499,8.96524655861141,50.5947514789385,62.497,25.3,2.72,41.5610438525693
2000,23.452,4.783,50.3914916281478,,60.0100536688499,8.83202135770996,51.1780323111399,62.198,25.9,2.744,40.7630885122411
1999,23.758,4.783,50.4025818550571,,60.6131764390445,8.71091967816778,51.9022567608768,61.451,26.4,2.767,39.9676620930858
1998,24.044,4.787,50.4136224134864,,61.1910460119508,8.60153159156673,52.589514420384,60.632,26.9,2.789,39.1756255044391
1997,24.308,4.795,50.4249437700668,1.05,61.7778304330722,8.50198458812285,53.2758458449493,59.807,27.3,2.81,38.3900053806833
1996,24.55,4.806,50.4372756626546,,62.4501981616455,8.41057048013097,54.0396276815146,58.978,27.6,2.83,37.6148910411622
1995,24.781,4.82,50.4514599767052,,63.2582671431525,8.32479698996317,54.9334701531894,58.141,28.0,2.852,36.8532149582997
1994,25.016,4.838,50.4671741209493,,64.1327877152774,8.24450325683103,55.8882844584464,57.301,28.4,2.877,36.1059456550982
1993,25.272,4.86,50.4846393954329,,65.1249404230762,8.17524124336961,56.9496991797066,56.456,28.8,2.909,35.3723432875975
1992,25.562,4.884,50.5036784501557,1.05,66.2081665414921,8.11414885187852,58.0940176896136,55.609,29.4,2.95,34.6509819747108
1991,25.891,4.913,50.5245698273761,,67.3290544725767,8.05933901814338,59.2697154544333,54.757,30.0,2.999,33.940247511434
1990,26.255,4.946,50.5463899251542,1.05,68.4439899790378,8.00777135845391,60.4362186205839,53.903,30.8,3.057,33.2384584342211
1989,26.648,4.982,50.570094369569,,69.6796151707122,7.95516309588682,61.7244520748254,53.497,31.7,3.121,32.5454129674469
1988,27.056,5.023,50.5952571946789,,70.9697025256196,7.91099516877526,63.0587073568444,53.159,32.7,3.19,31.8610573042776
1987,27.473,5.067,50.6198401472829,1.05,72.300657908428,7.87119205396454,64.4294658544634,52.82,33.8,3.262,31.1846112456282
1986,27.897,5.118,50.6404231871281,,73.6566963660317,7.83234952113314,65.8243468448986,52.482,35.0,3.336,30.5152004304547
1985,28.333,5.175,50.6547404470079,,75.0235814830939,7.79032827948238,67.2332532036115,52.143,36.2,3.413,29.8520446596718
1984,28.785,5.238,50.6610976210991,,76.4400063736521,7.74829602362154,68.6917103500306,51.805,37.6,3.494,29.1945789615281
1983,29.262,5.309,50.660198137203,,77.8345828112625,7.70572385210763,70.1288589591549,51.465,39.0,3.581,28.5426419155233
1982,29.771,5.389,50.6559138333105,1.05,79.2040988451474,7.66113839910681,71.5429604460406,51.126,40.5,3.675,27.8955743879473
1981,30.314,5.48,50.6541327219374,,80.575711416987,7.61450366370724,72.9612077532798,50.786,42.0,3.775,27.2527710519236
1980,30.898,5.587,50.6602766050253,,81.9648097887318,7.56494811416631,74.3998616745655,50.447,43.4,3.884,26.6140301318267
1979,31.528,5.712,50.6758135185486,,83.3391715437083,7.52929784840588,75.8098736953024,50.159,44.8,4.002,25.9793381759483
1978,32.2,5.857,50.7002924496412,,84.7012756614768,7.49361679188046,77.2076588695963,49.879,46.2,4.128,25.3487220877051
1977,32.904,6.022,50.7302737397459,1.05,86.0110161274324,7.45673609269579,78.5542800347366,49.598,47.8,4.26,24.7215496368039
1976,33.628,6.205,50.7606667228614,,87.1841089220127,7.41681164872024,79.7672972732925,49.319,49.5,4.398,24.0971213344095
1975,34.357,6.405,50.7868700655878,,88.1465205888251,7.37120259783384,80.7753179909912,49.038,51.5,4.537,23.4750874361044
1974,35.074,6.619,50.8077426523905,,89.2044423212053,7.35357166322012,81.8508706579851,48.759,53.8,4.675,22.8551789077213
1973,35.763,6.841,50.8240947297618,,90.0927575093108,7.33562764534827,82.7571298639625,48.479,56.5,4.81,22.238525692763
1972,36.415,7.069,50.8367038873689,1.05,90.8150307265421,7.3145548152491,83.500475911293,48.199,59.4,4.939,21.627602905569
1971,37.021,7.299,50.8481581070352,,91.3960180241955,7.28779938286722,84.1082186413283,47.919,62.4,5.06,21.0262711864407
1970,37.583,7.527,50.8598776003991,,91.8402986035787,7.25005145507372,84.590247148505,47.64,65.3,5.173,20.4369787463008
1969,38.106,7.753,50.8717687528658,,92.2859334485457,7.23077343828343,85.0551600102623,47.038,68.0,5.279,19.8611918213613
1968,38.603,7.976,50.8838929486518,,92.5890476791357,7.20516338272447,85.3838842964113,46.385,70.4,5.378,19.2987489911219
