date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.2583426148185,,56.4592858314578,8.01473451706649,48.4445513143913,46.907,28.4,,357.688305329175
2017,21.036,5.839,50.278434312954,1.06,57.2453271053538,7.76335416102669,49.4819729443271,46.682,29.1,2.64,352.72919475467
2016,21.623,5.815,50.3004278870239,1.06,57.9394379586161,7.52258870456141,50.4168492540547,46.475,29.7,2.718,347.667193211926
2015,22.273,5.798,50.3252830980549,1.06,58.4386788364515,7.29157295659866,51.1471058798529,46.284,30.1,2.805,342.466418486099
2014,22.935,5.78,50.355057568246,1.06,59.0936330423883,7.15118195471394,51.9424510876744,46.093,30.5,2.894,337.100103967535
2013,23.562,5.754,50.3886173210702,1.06,59.6703352693347,7.02090466432088,52.6494306050138,45.903,30.9,2.979,331.594566857833
2012,24.12,5.719,50.419721657798,1.06,60.2460525294427,6.89975622853701,53.3462963009057,45.712,31.2,3.055,326.03091524969
2011,24.602,5.674,50.4392971484194,1.06,60.9005019362515,6.78824017751069,54.1122617587408,45.522,31.6,3.121,320.522007579569
2010,25.024,5.623,50.4409153770762,1.06,61.6251019178627,6.68649980291107,54.9386021149516,45.332,32.0,3.18,315.14498440487
2009,25.422,5.572,50.4200508837601,1.06,63.0303553767765,6.51439353372481,56.5159618430517,45.371,32.4,3.236,309.937813998726
2008,25.841,5.529,50.3795577932874,1.06,64.5222973027759,6.36133882708888,58.160958475687,45.455,32.8,3.294,304.866234027568
2007,26.307,5.497,50.3295849352951,1.06,65.9222343447727,6.20689452949891,59.7153398152738,45.54,33.3,3.359,299.847342120267
2006,26.823,5.478,50.2854810360948,,67.1328575448644,6.04215972300216,61.0906978218623,45.625,33.8,3.429,294.760287755307
2005,27.372,5.469,50.2589322453028,,68.2094459718011,5.87346534363694,62.3359806281642,45.71,34.4,3.504,289.520240131469
2004,27.922,5.466,50.2552350507866,,69.0272909785698,5.82685083599633,63.2004401425734,45.795,35.0,3.579,284.1014924372
2003,28.436,5.461,50.2716419610516,,69.7401841202987,5.78068004009084,63.9595040802078,45.88,35.7,3.65,278.538991179528
2002,28.89,5.453,50.3021522944805,1.06,70.4103480316374,5.73173435254588,64.6786136790915,45.965,36.4,3.712,272.882107522554
