date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.0255472971645,,87.3077175544135,5.1478604733087,81.7878211662196,41.2269515142477,81.047147579407,,51.6874400219725
2017,37.0237660664548,8.8300773313113,50.0147837659398,1.04057365034804,88.1207479246067,5.14099006241687,82.6203215566027,40.6808140791446,83.4012942691491,5.02079551008723,50.2836403648326
2016,37.5267774424973,9.06070394304178,50.003123234234,1.04060252702124,88.8153259001852,5.12830020795879,83.3414397155859,40.1368381981726,85.8135012587013,5.10432139095006,48.902542900271
2015,38.0482101986685,9.32013104770025,49.990528703646,1.04059171168401,89.370556454726,5.1085986126593,83.9303379623903,39.5938901250117,88.3744522080621,5.18937848879241,47.5430449453838
2014,38.5806443061916,9.60883949184606,49.9766841066854,1.04060206723019,90.0815786338604,5.13314032901424,84.6349793243729,39.0497427304953,91.0376983087914,5.27478325683253,46.2035851717826
2013,39.112304056863,9.92315596929391,49.9617930864656,1.04056798818086,90.6828369308312,5.1558618587188,85.2301421428431,38.5052085341605,93.9240522900132,5.35887604009151,44.8861832160592
2012,39.6311020094084,10.2596833667551,49.9470427481545,1.04055702161187,91.1605966271222,5.17375829503616,85.7041438564227,37.961991742767,97.0623997894979,5.44030938728674,43.5971706608337
2011,40.1270391148411,10.6155506883521,49.9342226490807,1.04042575937195,91.4956035096215,5.18276290362562,86.0416528720534,37.4221737528511,100.464561354308,5.51814800273511,42.3466481342682
2010,40.5918992904824,10.9905177909681,49.9246943680424,1.04026530572675,91.6623428047329,5.17897790092592,86.2218679846416,36.8724270933765,104.184597122184,5.59087795110013,41.1410210119059
2009,41.0203758395936,11.3872749500595,49.9195926591679,1.04014470110209,91.9200067727691,5.2173899499754,86.4441522105788,36.3355039452968,108.209024468694,5.657434487164,39.9839830775272
2008,41.4142924581502,11.8034900384224,49.918636528734,1.04000142298141,92.0699122320113,5.24665047924888,86.5683636080445,35.8148479185285,112.579306908399,5.71916044131741,38.8636874984299
2007,41.7759788400379,12.2343556259609,49.9200159236,1.03989929041146,92.110324665896,5.26517899373614,86.5947808110303,35.3034969416363,117.316668043136,5.77669397710234,37.7885303920872
2006,42.1059019932372,12.6735756908288,49.9207548551214,,92.0395100001985,5.27235028599337,86.5227230892226,34.8768849797482,122.235386215208,5.83068101012455,36.7417555384814
2005,42.4047612075438,13.1132902456578,49.9185081371983,,91.846367323779,5.26697223021165,86.3422006271787,34.3938648490824,127.366822589036,5.88164984087705,35.7163639086882
2004,42.6738368874583,13.545326575298,49.911929970145,,92.1880519798028,5.32792905364891,86.6260978579645,33.9033064616989,132.784631549184,5.92923371776643,34.7084179728233
2003,42.9164034059037,13.9609028235077,49.9015817895014,,92.4865374106072,5.38217845442933,86.8741438763956,33.4274667623173,138.439396293846,5.9747533042169,33.7202802488174
2002,43.1370914057073,14.3503709513741,49.8893158229106,1.03965313662535,92.7217582133938,5.42683940517216,87.067955721574,32.959115707791,144.137719175462,6.01902591951146,32.7586245561462
