date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,46.3382376418675,,48.3432769745506,21.768942923753,26.5743340507976,74.433,7.2,,8.82207955488442
2017,12.9,12.9,46.3334046839839,1.059,46.8370270690563,20.9438275134714,25.8931995555849,74.292,7.6,1.762,8.82322079860193
2016,12.9,12.9,46.3303519012107,1.059,45.2957877292164,20.1728336879955,25.1229540412209,74.164,8.0,1.762,8.8137962870805
2015,13.3,13.0,46.3298463050596,1.059,43.7415513843021,19.4825516908244,24.2589996934777,74.05,8.5,1.777,8.79880404497318
2014,13.3,13.1,46.3322645571432,1.059,42.4952552497021,19.0408017910175,23.4544534586845,73.95,9.0,1.75,8.78187748941037
2013,13.2,13.0,46.3378262251948,1.059,41.2909740091278,18.685584633402,22.6053893757258,73.863,9.5,1.707,8.76278012831512
2012,13.3,13.3,46.3469136967814,1.059,40.2178636975529,18.4244204646634,21.7934432328895,73.791,9.8,1.691,8.74414195142295
2011,12.6,13.5,46.3599051396461,1.059,39.4108528837193,18.2664691405526,21.1443837431667,73.732,10.1,1.582,8.72943779855369
2010,12.5,14.2,46.3770791478711,1.059,38.9538297491424,18.2118007907024,20.74202895844,73.687,10.3,1.567,8.72263436175533
2009,12.3,14.1,46.398004243502,1.058,38.8842838488961,18.3566444738637,20.5276393750324,73.642,10.7,1.542,8.71871987748575
2008,12.0,14.5,46.4226769872863,1.058,39.1579094361119,18.6669911486342,20.4909182874777,73.598,11.2,1.502,8.71609471162683
2007,11.3,14.6,46.452179054339,1.058,39.7057440102807,19.0727821427202,20.6329618675605,73.553,11.9,1.416,8.71946239224704
2006,10.4,15.2,46.4879201001138,,40.3356443353087,19.3927038095254,20.9429405257833,73.508,12.8,1.305,8.73438752843799
2005,10.2,16.1,46.5304330954943,,40.8392662190813,19.468546113019,21.3707201060623,73.463,13.7,1.294,8.76107113010556
2004,10.4,16.0,46.5798082294868,,41.6632580061142,19.5551163547484,22.1081416513658,73.418,14.8,1.344,8.79464203847941
2003,10.2,16.4,46.6343160800713,,42.3924866183904,19.2966529674223,23.0958336509681,73.373,16.0,1.32,8.83025661468361
2002,9.8,15.4,46.6904010597146,1.062,43.0480323784262,18.8078390721674,24.2401933062588,73.341,17.2,1.286,8.87043393114192
2001,9.1,15.6,46.743538806767,,43.6662999918481,18.3110713976015,25.3552285942466,73.346,18.3,1.223,8.91160939510782
2000,8.7,15.3,46.7903162250933,,44.2756660552456,17.9530550011928,26.3226110540529,73.35,19.3,1.195,8.94899666327663
1999,8.3,14.6,46.8293050484013,,45.5636895708088,17.9332912222098,27.630398348599,73.354,20.1,1.157,8.98278074089713
1998,8.8,13.5,46.8605040344125,,46.8705208405876,18.0813045215838,28.7892163190038,73.359,20.7,1.232,9.01458931830807
1997,8.6,13.8,46.8837491526773,1.06,48.1269626543976,18.3029106629881,29.8240519914095,73.363,21.2,1.218,9.03098283436059
1996,8.9,14.2,46.8993638815158,,49.3078370387653,18.4069362177578,30.9009008210074,73.367,21.5,1.27,9.04630625547992
1995,9.3,15.0,46.9074298650079,,50.4159859795856,18.2572635308312,32.1587224487544,73.372,21.8,1.337,9.05924309974491
1994,9.5,15.7,46.908506424254,,50.8375456672374,17.9473972769784,32.890148390259,73.376,21.9,1.4,9.05518660572737
1993,9.4,14.5,46.9019539219326,,50.9339469877539,17.3950123911771,33.5389345965769,73.381,21.8,1.385,9.06373541606403
1992,10.7,12.2,46.8853993714757,1.058,50.7433168627401,16.6886881064192,34.0546287563208,73.385,21.6,1.552,9.07196178145754
1991,12.1,11.4,46.8556798289333,,50.322487776487,15.995857554676,34.326630221811,73.389,21.5,1.732,9.06799593653428
1990,13.4,11.2,46.8109935689558,1.056,49.7110748507415,15.4309783863799,34.2800964643616,73.394,21.6,1.892,9.04773962092624
1989,14.6,10.7,46.7496058443269,,49.3966039242598,15.0400463017112,34.3565576225486,73.398,22.0,2.01,9.01290119860036
1988,16.0,10.7,46.6733612996093,,49.098176697944,14.7996496740581,34.2985270238859,73.181,22.6,2.12,8.9601859676204
1987,17.2,10.5,46.5884985561137,1.053,48.7948234233205,14.6812901421247,34.1135332811958,72.765,23.4,2.22,8.90228463174079
1986,17.2,10.4,46.5039558083501,,48.403400579928,14.6222015825865,33.7811989973414,72.346,24.2,2.15,8.84041745093792
1985,16.6,11.3,46.4264917614659,,47.8789027849636,14.5769054946205,33.301997290343,71.923,24.9,2.05,8.77720798416103
1984,16.9,11.6,46.3594256277871,,47.5990272164768,14.681400036823,32.9176271796539,71.497,25.5,2.06,8.70930051647504
