date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.1389386528287,,75.1735974401916,5.14694249928767,70.0266549409039,17.211,35.3,,498.659870287799
2017,32.062,5.308,49.128475514483,1.023,75.395179263878,4.9983428060802,70.3968364577978,17.125,36.9,4.088,485.648034049453
2016,32.353,5.435,49.1170107985986,1.022,75.7149401138363,4.85993633866936,70.8550037751669,17.056,38.8,4.123,472.99627077422
2015,32.604,5.597,49.1038401923254,1.021,76.3058046877605,4.7407030632729,71.5651016244876,17.004,41.3,4.157,460.846007296311
2014,32.863,5.801,49.0885431116469,1.019,76.7361260601886,4.67715573669851,72.0589703234901,16.967,44.1,4.197,449.275841102554
2013,33.173,6.059,49.0713624648038,1.018,77.3390570189179,4.64179834522478,72.6972586736932,16.947,47.5,4.251,438.246574787191
2012,33.563,6.384,49.0529654582495,1.017,78.020857256495,4.62686111300012,73.3939961434949,16.943,51.7,4.322,427.631860559384
2011,34.038,6.79,49.0342438158758,1.016,78.5873333897781,4.61690579330964,73.9704275964684,16.938,56.8,4.412,417.240818808269
2010,34.576,7.31,49.0159709733849,1.014,78.9242238026257,4.60024195572082,74.3239818469049,16.934,63.5,4.52,406.945196595055
2009,35.137,7.979,48.9981978519376,1.013,79.5417439321796,4.67992256564082,74.8618213665388,16.93,70.7,4.641,396.545196595055
2008,35.678,8.799,48.9807478204703,1.011,79.9998903884049,4.7506043284107,75.2492860599942,16.925,78.6,4.767,386.077584110255
2007,36.169,9.75,48.9638128400792,1.01,80.4606088768942,4.82206728745653,75.6385415894377,16.921,87.8,4.893,375.9123226591
2006,36.611,10.799,48.947535103726,,81.181706278194,4.91847026871513,76.2632360094789,16.917,98.3,5.015,366.572233481962
2005,37.02,11.796,48.9320740886539,,82.2621021978955,5.05839255333099,77.2037096445646,16.912,110.4,5.131,358.338670449939
2004,37.432,12.549,48.9198568380036,,84.1310271960807,5.39755582937854,78.7334713667022,16.908,124.2,5.239,351.865585731658
2003,37.885,13.007,48.911063951124,,86.4848431885279,5.80615747985851,80.6786857086694,16.904,139.3,5.342,346.865058775841
2002,38.406,13.233,48.9014378797068,1.01,88.8962436432619,6.25493840125473,82.6413052420072,16.777,154.6,5.443,341.59140656668
2001,39.0,13.388,48.8841291921542,,90.8670756940221,6.6742152534477,84.1928604405744,15.829,169.6,5.542,333.65042561816
2000,39.657,14.0,48.8543159246998,,92.355815833358,7.00117008632842,85.3546457470296,14.926,183.1,5.64,321.592257803
1999,40.35,15.731,48.8027976182065,,90.359400329496,6.7345182060233,83.6248821234727,14.064,191.0,5.737,304.062991487637
1998,41.049,18.87,48.7282127879589,,87.3048213734248,6.3678456024215,80.9369757710033,13.244,226.1,5.835,282.237616538306
1997,41.736,23.366,48.6483274344857,1.01,84.4374613774243,5.98008906570643,78.4573723117179,12.466,208.5,5.936,260.23109039319
1996,42.41,28.857,48.6029862739959,,82.6915241816626,5.63678241380033,77.0547417678622,11.374,186.0,6.046,243.741670044589
1995,43.089,34.43,48.6298443071092,,81.7902767892879,5.32800301504564,76.4622737742422,9.837,243.5,6.172,236.582691528172
1994,43.802,38.903,48.7456481386491,,87.0479112746238,5.21911938841551,81.8287918862083,8.49,286.0,6.324,240.626712606405
1993,44.576,41.359,48.9187002435279,,93.6314602740251,5.07551116175346,88.5559491122716,7.313,186.0,6.505,253.901783542764
1992,45.419,41.301,49.0958767659584,1.01,99.6727059850474,4.89981722658095,94.7728887584665,6.288,168.3,6.713,271.675881637617
1991,46.326,38.741,49.235212441459,,103.975514651301,4.69948464324401,99.2760300080566,5.491,159.7,6.942,287.147750304013
1990,47.283,34.184,49.3242517406302,1.01,106.579357204419,4.48328958790875,102.096067616511,5.416,153.6,7.184,295.455289825699
1989,48.271,28.54,49.3659666375475,,109.057581304807,4.45339244529788,104.604188859509,5.342,150.7,7.427,294.973044183218
1988,49.253,23.003,49.3710245515289,,109.616767706639,4.43205677953571,105.184710927103,5.27,150.7,7.657,287.320267531415
1987,50.191,18.517,49.349312335831,1.01,109.111968945253,4.41927486696066,104.692694078292,5.198,152.6,7.863,274.827036886907
1986,51.054,15.483,49.3167796133555,,108.284139765222,4.41273013070626,103.871409634516,5.127,156.2,8.038,261.19785164167
1985,51.815,14.045,49.2878993649465,,107.326020298545,4.41102614877078,102.914994149775,5.057,161.0,8.177,249.16461289015
1984,52.454,14.01,49.267497531276,,106.35414991575,4.46670908290043,101.88744083285,4.988,167.3,8.282,239.272111876773
1983,52.968,14.751,49.251966573824,,105.354240015242,4.54563004569337,100.808609969549,4.92,175.6,8.357,230.684231860559
1982,53.355,15.728,49.2405874314036,1.01,104.261753458449,4.63941663692016,99.6223368215291,4.853,187.0,8.41,223.13911633563
1981,53.608,16.738,49.2303419805789,,103.001182371691,4.73093425647714,98.2702481152142,4.786,202.1,8.444,216.021564653425
1980,53.717,17.625,49.2181535998,,101.547200568193,4.80473046013964,96.7424701080537,4.721,218.6,8.461,208.88982569923
1979,53.676,18.321,49.2049107297082,,101.008632909379,4.93645931615795,96.0721735932209,4.656,233.7,8.462,201.816659910823
1978,53.497,18.885,49.1926442257347,,100.515028611543,5.05013009034457,95.4648985211988,4.575,245.1,8.451,195.090068909607
1977,53.204,19.362,49.1818723517234,1.01,100.054360460994,5.14606634382712,94.9082941171668,4.374,251.2,8.429,188.706242399676
1976,52.82,19.726,49.1719796391965,,99.6047425577493,5.22835718550832,94.376385372241,4.182,251.2,8.401,182.655411430888
1975,52.36,19.964,49.1633691959762,,99.1312456829179,5.29966594795139,93.8315797349665,3.998,247.2,8.37,176.92363194163
1974,51.839,20.084,49.1561187915906,,99.6588663605429,5.43020585032396,94.2286605102189,3.821,241.1,8.339,171.527280097284
1973,51.281,20.129,49.1505842936813,,100.374897163117,5.54938561366903,94.8255115494481,3.652,234.8,8.307,166.453465747872
1972,50.719,20.14,49.1458340805117,1.01,101.197225279286,5.65621579725788,95.5410094820282,3.491,229.3,8.278,161.622375354682
1971,50.19,20.142,49.140988803098,,101.968697619168,5.75146425048165,96.2172333686865,3.336,225.0,8.252,156.929023104986
1970,49.736,20.162,49.1351486725621,,102.569699818907,5.83525217982939,96.7344476390775,3.194,221.4,8.231,152.304742602351
1969,49.393,20.225,49.127794870331,,104.342744004868,5.99757137929391,98.3451726255745,3.129,218.2,8.217,147.678840697203
1968,49.174,20.337,49.1190108104081,,105.97812450035,6.16170410422373,99.8164203961258,3.066,215.1,8.207,143.082407782732
1967,49.09,20.505,49.1099556636754,1.01,107.434081113399,6.31950558712741,101.114575526272,3.003,212.5,8.201,138.6661937576
