date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,57.554152023824,,39.5808550272483,4.62583264561008,34.9550223816383,83.844,7.1,,15.6766543082956
2017,18.319,3.446,57.3245977341656,1.03,39.7948324923324,4.48396934300564,35.3108631493268,83.622,7.5,2.373,15.3971721504031
2016,18.858,3.426,57.0880532007654,1.03,40.116875156048,4.35248225820084,35.7643928978471,83.401,8.0,2.435,15.0917443910517
2015,19.41,3.412,56.8797442788684,1.03,40.5354155136369,4.24517293795964,36.2902425756773,83.18,8.5,2.507,14.754530653257
2014,19.969,3.407,56.7113243327541,1.03,41.5898467827838,4.19212642693004,37.3977203558537,82.96,9.2,2.589,14.3820709032465
2013,20.528,3.41,56.5747810016871,1.03,42.8933464920506,4.19622876844525,38.6971177236053,82.74,9.9,2.678,13.9799310598272
2012,21.078,3.422,56.4635331014273,1.03,44.4672280511687,4.24733403804942,40.2198940131193,82.52,10.6,2.773,13.5625076173774
2011,21.613,3.441,56.3629175192184,1.03,46.3382898637141,4.32448220503419,42.0138076586799,82.302,11.3,2.871,13.1496564620945
2010,22.123,3.464,56.2606312689022,1.03,48.528581047517,4.41046259313077,44.1181184543862,82.084,12.1,2.97,12.7560071452163
2009,22.599,3.488,56.1629433957248,1.03,50.1023480068968,4.4602436218501,45.6421043850468,81.867,12.9,3.066,12.3879736148003
2008,23.043,3.51,56.0753978546874,1.03,51.9101652757213,4.50925175655661,47.4009135191647,81.649,13.8,3.158,12.0429182812406
2007,23.458,3.53,55.9811994549524,1.03,53.9450855003353,4.55976930301156,49.3853161973238,81.427,14.7,3.246,11.7154552516875
2006,23.854,3.546,55.8553113432749,,56.1171260002461,4.61986903992114,51.497256960325,81.204,15.6,3.331,11.3962059645809
2005,24.236,3.561,55.6803139043108,,58.324289608639,4.69368480665553,53.6306048019835,80.979,16.6,3.417,11.0788918402188
2004,24.61,3.575,55.4363596168642,,60.4153784244071,4.75369455224438,55.6616838721627,80.754,17.6,3.505,10.760938553931
2003,24.991,3.591,55.1318685404699,,62.6258492602751,4.82957150022355,57.7962777600515,80.53,18.6,3.601,10.4464592569161
2002,25.398,3.614,54.8151960333353,1.03,64.9664609577162,4.91678486382386,60.0496760938924,80.304,19.7,3.708,10.143468593146
2001,25.85,3.647,54.5628455995539,,67.5015711190594,5.01141752266816,62.4901535963913,80.077,20.9,3.83,9.86311607720183
2000,26.375,3.691,54.4356324865078,,70.2808047724475,5.11029235138861,65.1705124210589,79.848,22.2,3.971,9.61247575231778
1999,27.002,3.747,54.4655926894267,,71.5265318561406,5.11730115982511,66.4092306963155,79.616,23.5,4.137,9.394157762282
1998,27.736,3.818,54.6368020180252,,73.1727851459722,5.13523866279716,68.037546483175,79.383,25.0,4.325,9.20286366871502
1997,28.577,3.902,54.9046026261059,1.03,75.3881452145739,5.16971460119348,70.2184306133805,79.147,26.7,4.533,9.02787936865315
1996,29.514,4.002,55.1956848651111,,78.0385999134026,5.21657158694447,72.8220283264581,78.91,28.6,4.754,8.85422781889482
1995,30.529,4.118,55.4517863015786,,80.7784239712272,5.26343865655043,75.5149853146768,78.67,30.6,4.98,8.67045341421321
1994,31.593,4.246,55.6582937471434,,81.8918158084815,5.26865498896884,76.6231608195126,78.429,32.9,5.2,8.47306820983491
1993,32.671,4.388,55.8234037296117,,82.4005285347352,5.25420331541773,77.1463252193175,78.186,35.4,5.407,8.26319050653815
1992,33.738,4.545,55.9362358374155,1.03,82.3105209914545,5.22069535148911,77.0898256399654,77.851,38.1,5.594,8.03962013127474
1991,34.779,4.718,55.9891597623399,,81.8339053080468,5.17082053003279,76.663084778014,77.223,41.2,5.761,7.80237801729552
1990,35.799,4.913,55.9765972028952,1.03,81.2314254586302,5.10552678323133,76.1258986753989,76.583,44.7,5.911,7.55168652224274
1989,36.82,5.134,55.8810960272723,,81.2630064096883,4.98078528226903,76.2822211274192,75.93,48.4,6.052,7.28770055217264
1988,37.859,5.385,55.6956690746607,,81.2573030238774,4.87780353426965,76.3794994896077,75.267,52.5,6.194,7.01035125994911
1987,38.917,5.668,55.4421835813282,1.03,81.3666563756804,4.80555999517382,76.5610963805065,74.589,56.8,6.342,6.71988565793207
1986,39.972,5.984,55.1597135223896,,81.469936261322,4.76841613660731,76.7015201247147,73.9,61.4,6.495,6.41681591299211
1985,40.981,6.333,54.8809672811902,,81.2207841936824,4.76040828640386,76.4603759072786,72.647,66.2,6.649,6.10273713884328
1984,41.892,6.713,54.620658490055,,82.4775162037469,4.91949443986412,77.5580217638828,71.36,71.2,6.798,5.77703482827757
1983,42.668,7.12,54.3731068071021,,83.6123134553197,5.08734396027075,78.5249694950489,70.033,76.6,6.933,5.44316994543399
1982,43.292,7.551,54.1301997815786,1.03,84.7144208606876,5.26776805381113,79.4466528068765,68.673,82.2,7.047,5.11183147337523
1981,43.766,8.008,53.8735392785584,,85.9686713860794,5.46253412370541,80.5061372623739,67.281,88.1,7.138,4.79686605975745
1980,44.116,8.493,53.5892126179813,,87.4438696912289,5.66891700441074,81.7749526868182,65.86,94.3,7.206,4.50831329168392
1979,44.386,9.01,53.2776686356032,,87.7507961186353,5.75640156636945,81.9943945522658,64.405,100.8,7.252,4.2508115123576
1978,44.631,9.561,52.9519726559225,,88.3104933531542,5.8565025234102,82.453990829744,62.925,107.7,7.281,4.0223683414818
1977,44.892,10.148,52.6227156345356,1.03,89.0616387190785,5.96720184664388,83.0944368724347,61.421,115.1,7.299,3.81808400280971
1976,45.184,10.769,52.3025971789052,,89.8208082361069,6.08458941099769,83.7362188251092,59.897,122.9,7.309,3.62979127222995
1975,45.505,11.423,52.0015133123777,,90.4076490593425,6.20273487182277,84.2049141875197,58.349,131.1,7.313,3.45142462401556
1974,45.836,12.114,51.72664891165,,90.6392744039189,6.27167804227635,84.3675963616425,56.704,139.9,7.312,3.28165084267964
1973,46.143,12.834,51.4815130449966,,90.8182449580562,6.34480786184737,84.4734370962088,54.712,149.3,7.307,3.12227483962804
1972,46.402,13.574,51.2663200673615,1.03,90.9433926197479,6.4212894668225,84.5221031529254,52.707,159.5,7.299,2.97390321395178
1971,46.61,14.32,51.0782900981882,,91.0403144514057,6.49943273111706,84.5408817202887,50.688,,7.289,2.83790965208937
1970,46.772,15.057,50.9147609788794,,91.0776045520321,6.573305919868,84.5042986321641,48.669,,7.28,2.71499099870214
1969,46.901,15.769,50.7788787282079,,90.7746606026539,6.6259219513857,84.1487386512682,46.655,,7.273,2.60498211370011
1968,47.014,16.445,50.6729620985994,,90.5232519693866,6.67206287609476,83.8511890932918,44.654,,7.267,2.5063278891375
1967,47.124,17.078,50.5913622081013,1.03,90.2643231984964,6.71016812776348,83.5541550707329,42.665,,7.264,2.41669031348706
1966,47.235,17.662,50.5241605127296,,89.915935520272,6.73773018331358,83.1782053369585,40.702,,7.262,2.33306058082793
1965,47.343,18.195,50.4629996663661,,89.3938120175597,6.75053696253403,82.6432750550257,38.769,,7.26,2.25317836525266
1964,47.438,18.677,50.4011712730239,,89.2044252487878,6.78236647820243,82.4220587705853,36.872,,7.257,2.17580116202801
1963,47.511,19.12,50.3381349440058,,89.0314037189925,6.80821980301368,82.2231839159789,35.011,,7.252,2.10101596044081
1962,47.556,19.537,50.2795001728253,1.03,88.8309436513464,6.8242167329822,82.0067269183642,33.518,,7.243,2.02949541561807
1961,47.576,19.934,50.2366757591876,,88.4823403897909,6.82478171206365,81.6575586777273,32.373,,7.23,1.96254018021203
1960,47.577,20.319,50.2184736502865,,87.8513531466008,6.80363388803311,81.0477192585677,31.25,,7.216,
