date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,48.7226702317929,,85.6743118852401,5.73143700151813,79.942874883722,47.192,43.6,,82.3474783150678
2017,35.12,5.845,48.6841342380491,1.036,86.257385667559,5.72652114492735,80.5308645226317,46.74,45.6,4.697,80.0881992416766
2016,35.727,5.985,48.6517903674882,1.036,86.7160673274952,5.72326298404931,80.9928043434458,46.296,47.7,4.77,77.8763205734171
2015,36.318,6.141,48.6299160747542,1.036,87.0389717260326,5.72614009930022,81.3128316267324,45.862,50.1,4.841,75.7204539552278
2014,36.867,6.319,48.6211881135033,1.036,87.2406090619563,5.75430661543156,81.4863024465248,45.436,52.9,4.905,73.6234924427362
2013,37.352,6.522,48.6252314450523,1.036,87.3987622703901,5.79611793715358,81.6026443332366,45.019,55.8,4.96,71.5858307796188
2012,37.757,6.753,48.6398213996578,1.036,87.516672862659,5.84503377806893,81.6716390845901,44.603,59.0,5.005,69.609884173895
2011,38.077,7.013,48.6608140947845,1.036,87.5590843517396,5.88862706724179,81.6704572844978,44.188,62.5,5.039,67.6975484340103
2010,38.306,7.305,48.6846851309376,1.036,87.4852470589871,5.91608277233585,81.5691642866512,43.773,66.4,5.064,65.8502467147977
2009,38.446,7.632,48.7106946587832,1.036,87.7007326593703,5.97593368875763,81.7247989706127,43.359,70.7,5.081,64.0683737599335
2008,38.519,7.987,48.7397935808475,1.036,87.884754677907,6.02083514623291,81.863919531674,42.947,75.5,5.094,62.35236586506
2007,38.553,8.363,48.7721396229237,1.036,88.057020776884,6.05020687417966,82.0068139027044,42.535,80.9,5.107,60.7026437438321
2006,38.566,8.749,48.8084716302685,,88.2681376663869,6.06635212193639,82.2017855444505,42.124,87.0,5.124,59.1194515140498
2005,38.583,9.137,48.8493500027006,,88.5500803497168,6.06997396029915,82.4801063894176,41.714,93.7,5.149,57.6020152703475
2004,38.626,9.516,48.8934130588785,,89.2052495389798,6.10981241344933,83.0954371255305,41.306,101.1,5.185,56.1475250610294
2003,38.707,9.878,48.9402806249982,,89.9214908239608,6.13874518641245,83.7827456375483,40.898,109.1,5.232,54.7523347010855
2002,38.834,10.212,48.9926382484737,1.036,90.6587988255341,6.15591577766279,84.5028830478713,40.607,117.2,5.292,53.4134888069392
2001,39.014,10.508,49.0544536115715,,91.3635599202368,6.16073304678672,85.2028268734501,40.464,124.9,5.365,52.1274814314652
2000,39.246,10.752,49.1283747226781,,91.9853069839833,6.1518872699391,85.8334197140442,40.32,131.5,5.448,50.8893886667013
1999,39.519,10.93,49.2169117343527,,92.9806955211003,6.16354162233938,86.8171538987609,40.177,136.3,5.541,49.6999013140809
1998,39.818,11.043,49.3178324643388,,93.9646647098199,6.16734567007199,87.7973190397479,40.034,139.4,5.639,48.5522983431154
1997,40.129,11.103,49.4232645367213,1.036,94.8499884552334,6.16048804700534,88.6895004082281,39.891,140.7,5.741,47.4257362488963
1996,40.449,11.121,49.5215010380492,,95.4919035084468,6.13792297196195,89.3539805364848,39.749,140.7,5.843,46.2933620734431
1995,40.776,11.11,49.6034190414325,,95.799735573955,6.09581343453743,89.7039221394176,39.606,139.9,5.945,45.1366748039267
1994,41.109,11.088,49.6644985395457,,96.947971098391,6.08294559731365,90.8650255010774,39.464,138.6,6.046,43.9467511556641
1993,41.457,11.076,49.7062691471443,,97.8018754578825,6.05966544131879,91.7422100165637,39.321,137.4,6.146,42.7297564015998
1992,41.827,11.098,49.7331068861552,1.036,98.3988732867197,6.02492147943691,92.3739518072828,39.18,136.8,6.246,41.5005245935698
1991,42.228,11.177,49.7533042021904,,98.8532631130917,5.97783139449913,92.8754317185926,39.038,137.1,6.346,40.2820131927492
1990,42.678,11.335,49.7736339713001,1.036,99.2307718778945,5.91698668204823,93.3137851958462,38.896,139.0,6.448,39.0916065028827
1989,43.201,11.592,49.796104914472,,99.845755062761,5.87340203804709,93.9723530247139,38.755,142.7,6.555,37.9344361917623
1988,43.8,11.948,49.8194344726064,,100.356147768669,5.8225933449533,94.5335544237161,38.613,148.1,6.668,36.8079104555134
1987,44.465,12.396,49.8439878378288,1.036,100.678232637472,5.76229227337813,94.915940364094,38.271,155.1,6.785,35.7126369916377
1986,45.176,12.929,49.8691659677109,,100.622891714106,5.68912377111895,94.9337679429867,37.909,163.1,6.902,34.6473952111359
1985,45.895,13.531,49.8946506969434,,100.021976269338,5.59993051666178,94.4220457526764,37.549,171.1,7.013,33.6120448761232
1984,46.574,14.18,49.9196803782446,,99.8401259636772,5.55013127052743,94.2899946931498,37.191,178.5,7.111,32.6049135199709
1983,47.176,14.852,49.9456529503658,,99.3185379923252,5.48789668486081,93.8306413074644,36.832,185.2,7.189,31.629211032047
1982,47.675,15.531,49.9768517500111,1.036,98.4792993069039,5.41197356582297,93.0673257410809,36.476,191.3,7.245,30.6951591959695
1981,48.062,16.21,50.0197110291701,,97.3725352260377,5.32032563261772,92.05220959342,36.122,197.4,7.279,29.8158416870098
1980,48.345,16.9,50.0785129273635,,95.9986631903062,5.21162701464909,90.7870361756571,35.769,204.1,7.292,28.9989352308731
1979,48.545,17.625,50.1574074533712,,95.0354243717096,5.15616629338222,89.8792580783273,35.417,211.9,7.29,28.2504856386018
1978,48.702,18.401,50.2534444761654,,93.9453755299829,5.0860453633597,88.8593301666232,35.067,220.7,7.279,27.5628785124396
1977,48.849,19.232,50.3537871718738,1.036,92.6868804816508,5.00010226526867,87.6867782163822,34.718,230.8,7.268,26.9127616475355
1976,49.0,20.104,50.439467114857,,91.1703802936478,4.89710381699819,86.2732764766496,34.372,241.6,7.258,26.2679997922402
1975,49.162,20.995,50.4955732897133,,89.3126775101802,4.77651189903828,84.5361656111419,33.693,252.0,7.252,25.6055991274087
1974,49.333,21.876,50.5150517344744,,89.6153570989546,4.78834225245726,84.8270148464974,32.937,261.4,7.252,24.9165688464135
1973,49.502,22.714,50.4996431886363,,89.7715603554772,4.78980572206618,84.981754633411,32.189,269.6,7.255,24.2077857996156
1972,49.656,23.478,50.4562573542645,1.036,89.741508310774,4.77863736112527,84.9628709496487,31.451,276.9,7.258,23.4918869786527
1971,49.793,24.144,50.3979002318388,,89.4633023184915,4.75085425039501,84.7124480680965,30.72,283.2,7.261,22.7888640731315
1970,49.912,24.687,50.3354309610223,,88.8342850806675,4.70308809669014,84.1311969839774,30.0,288.3,7.262,22.1134628369605
1969,50.009,25.086,50.2714280322568,,89.6449011840298,4.75639892709632,84.8885022569335,29.247,292.2,7.259,21.4684568638654
1968,50.085,25.354,50.2038934188849,,90.3789031060749,4.79971126132984,85.5791918447451,28.507,294.9,7.251,20.8492338856282
1967,50.143,25.514,50.1347044656338,1.036,90.8875662599411,4.82779145930224,86.0597748006389,27.776,296.7,7.237,20.2547343271179
1966,50.185,25.587,50.0650106178291,,90.9123519243723,4.83429485193319,86.0780570724391,27.057,297.8,7.217,19.6820391627279
1965,50.214,25.605,49.9960221337709,,90.2560613551254,4.81281903058613,85.4432423245393,26.351,298.2,7.19,19.1288422583493
1964,50.235,25.604,49.9301304018361,,90.3724244277245,4.86932709435568,85.5030973333688,25.657,298.0,7.157,18.5957461174882
1963,50.251,25.62,49.8685107710301,,89.9589981695124,4.90723438152162,85.0517637879908,24.973,297.6,7.12,18.0836960473692
1962,50.268,25.683,49.8093629892261,1.036,89.1185020643967,4.92501275938974,84.1934893050069,24.303,296.8,7.079,17.5910559393341
1961,50.292,25.815,49.748792211891,,88.0982389325369,4.92444739744231,83.1737915350946,23.645,296.3,7.038,17.1156598971589
1960,50.326,26.023,49.6839642043348,,87.0197438789543,4.90529306718891,82.1144508117654,23.0,296.4,6.996,
