date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,48.997477035846,,51.5966414652803,27.8116090521764,23.7850324131039,56.092,5.5,,79.8317402241024
2017,9.2,14.8,49.0053199326857,1.073,50.8765241609325,26.9989770876223,23.8775470733102,55.942,5.8,1.46,80.275074319689
2016,9.2,14.3,49.0117363264337,1.073,50.1510270027644,26.1610593056736,23.9899676970908,55.81,6.0,1.46,80.7034301394923
2015,9.3,14.6,49.016349064531,1.072,49.5235419925573,25.3542378199699,24.1693041725874,55.696,6.3,1.46,81.1271781385776
2014,9.3,14.2,49.0193502477556,1.072,48.7611264542677,24.4250210606208,24.3361053936469,55.583,6.6,1.46,81.529567802424
2013,9.2,14.0,49.0208985600454,1.071,48.112867202639,23.5631569622205,24.5497102404185,55.469,6.9,1.43,81.9132403384404
2012,9.3,14.2,49.0202140553881,1.071,47.6110295159439,22.7966075456541,24.8144219702899,55.356,7.1,1.45,82.3127944203064
2011,9.1,14.2,49.0161551607634,1.071,47.3040810246881,22.1675557936606,25.1365252310274,55.215,7.4,1.4,82.7132289046421
2010,9.4,14.2,49.0083701301865,1.071,47.2220590108909,21.7009622468971,25.5210967639938,54.993,7.6,1.4,83.3688085982163
2009,9.6,14.2,48.996393137186,1.07,47.3723507606756,21.4878819733962,25.8844687872794,54.772,7.8,1.44,83.7046306883147
2008,9.4,13.97,48.9813859773148,1.07,47.7903298580532,21.4590104338832,26.33131942417,54.55,8.0,1.4,84.0409558655385
2007,9.22,13.92,48.9670195839247,1.07,48.392865076415,21.538034424203,26.854830652212,54.328,8.1,1.38,84.3994854790761
2006,9.58,13.88,48.9579334507118,,49.0123837054771,21.5929127744334,27.4194709310438,54.105,8.4,1.43,84.742385090327
2005,9.7,14.3,48.9575712723484,,49.5095327606075,21.5299234345064,27.9796093261011,53.883,8.9,1.45,85.0762520009147
2004,10.5,14.0,48.9664698723082,,50.2212511397695,21.5630289989553,28.6582221408141,53.661,9.7,1.57,85.3322318774297
2003,10.6,13.9,48.9836241712432,,50.8075934081331,21.4612865409835,29.3463068671496,53.437,10.5,1.59,85.5315687171278
2002,10.4,13.7,49.0083415503446,1.062,51.2332844993046,21.2345110659308,29.9987734333738,53.215,11.4,1.57,85.7137205579694
2001,10.5,13.2,49.0391380343094,,51.4913865055051,20.9151466916695,30.5762398138356,52.992,12.2,1.58,85.7927395380745
2000,9.8,13.8,49.0746565099837,,51.5944925085596,20.5209076211651,31.0735848873944,52.769,12.7,1.48,85.9403841756231
1999,9.6,13.5,49.1149613018671,,51.2964351519576,19.9418362357362,31.3545989162213,52.545,13.2,,86.2154241939172
1998,10.09,13.13,49.1590048144481,,50.9458770515411,19.3096585491951,31.636218502346,52.322,13.9,,86.5280699748457
1997,10.49,12.91,49.2030967974557,1.052,50.6227052916913,18.6360106095158,31.9866946821755,52.098,15.4,1.6,86.8568602789847
1996,10.8,12.9,49.2430954182116,,50.4229154518605,17.9330368893643,32.4898785624962,51.875,17.4,,87.1003201463526
1995,11.3,12.3,49.2764219869296,,50.3902666072365,17.2059096162418,33.1843569909948,51.651,19.6,1.7,87.1867939629545
1994,,,49.3019562382734,,50.4331744067677,16.6646309751598,33.768543431608,51.428,21.8,,88.4363023096273
1993,,,49.32078834513,,50.4564321028667,16.1022804994821,34.3541516033846,51.204,23.4,,88.0323233478161
1992,,,49.3350424099423,1.052,50.4389659044205,15.5265239759413,34.9124419284791,50.981,24.3,,87.4276697919049
1991,11.9,11.7,49.3478570332918,,50.3199895190519,14.9502530982719,35.36973642078,50.756,25.5,1.8,86.8469700434484
1990,,,49.3613305011296,1.052,50.0571269420787,14.3844571991024,35.6726697429762,50.393,27.9,,86.7367939629545
1989,,,,,,,,,31.3,,
1988,,,,,,,,,34.4,,
1987,,,,,,,,,36.2,,
1986,,,,,,,,,37.5,,
1985,,,,,,,,,39.1,,
1984,,,,,,,,,41.2,,
1983,,,,,,,,,,,
1982,,,,,,,,,,,
1981,,,,,,,,,,2.1,
1980,,,,,,,,,,,
1979,,,,,,,,,,,
1978,,,,,,,,,,,
1977,,,,,,,,,,,
1976,,,,,,,,,,,
1975,,,,,,,,,,,
1974,,,,,,,,,,,
1973,,,,,,,,,,,
1972,,,,,,,,,,,
1971,,,,,,,,,,2.3,
1970,,,,,,,,,,,
1969,,,,,,,,,,,
1968,,,,,,,,,,,
1967,,,,,,,,,,,
1966,,,,,,,,,,,
1965,,,,,,,,,,,
1964,,,,,,,,,,,
1963,,,,,,,,,,,
1962,,,,,,,,,,,
1961,,,,,,,,,,2.5,
1960,,,,,,,,,,,
