date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,52.3418745938995,,31.1332126035562,15.0322991301549,16.1009134734013,100.0,2.8,,7952.9984184018
2017,8.9,5.0,52.3381222492757,1.073,29.5208636427416,13.7031835033122,15.8176801394294,100.0,2.8,1.16,7915.73043612911
2016,9.4,4.8,52.3348824869,1.073,28.3001059617984,12.5329857865667,15.7671201752317,100.0,2.7,1.2,7908.72056321932
2015,9.7,4.8,52.3320666156069,1.073,27.6802638217007,11.5515418626179,16.1287219590828,100.0,2.7,1.24,7806.77275159112
2014,9.8,4.7,52.3379243047125,1.073,27.6059637674161,11.1285226965732,16.4774410708428,100.0,2.7,1.25,7714.70223171084
2013,9.3,4.6,52.3492536853663,1.073,27.6017610834033,10.7239240141055,16.8778370692978,100.0,2.7,1.19,7636.72168748833
2012,10.1,4.5,52.341246406302,1.073,27.4842199661014,10.2552522321702,17.2289677339312,100.0,2.8,1.29,7524.69846291471
2011,9.5,4.5,52.2784042981663,1.073,27.2250194812765,9.72677126220264,17.4982482190739,100.0,2.8,1.2,7363.19302222527
2010,9.3,4.4,52.1351075875483,1.073,26.9905508758106,9.21966868656548,17.7708821892451,100.0,2.8,1.15,7231.81228019572
2009,9.9,4.3,51.8831541972056,1.073,27.9927211380317,9.14671998271386,18.8460011553179,100.0,2.8,1.22,7125.10428571429
2008,10.2,4.4,51.5269242285602,1.073,29.2415963115613,9.2329274978989,20.0086688136624,100.0,2.8,1.28,6913.42285714286
2007,10.3,4.5,51.1207394178476,1.073,30.4784791172069,9.37616496153974,21.1023141556672,100.0,2.9,1.29,6602.30071942446
2006,10.3,4.4,50.7637102584907,,31.4902126912067,9.4723379541803,22.0178747370264,100.0,2.9,1.28,6342.02435623687
2005,10.2,4.4,50.5441905922438,,32.2780064536415,9.48972447056386,22.7882819830776,100.0,3.0,1.26,6191.23643763313
2004,10.3,4.4,50.5181219390396,,32.9234609207965,9.44228257589243,23.4811783449041,100.0,3.1,1.26,6047.40770351797
2003,10.5,4.5,50.6646885724616,,33.3924412724264,9.32548224298096,24.0669590294455,100.0,3.2,1.27,5989.5577624262
2002,11.4,4.4,50.9103507522524,1.073,33.568125197308,9.11095210968838,24.4571730876196,100.0,3.4,1.37,6186.59259259259
2001,11.8,4.3,51.1434703162749,,33.5355184732204,8.82509737608953,24.7104210971308,100.0,3.6,1.41,6176.13731343284
2000,13.7,4.5,51.2842304247938,,33.5010539852575,8.52229941135918,24.9787545738983,100.0,3.9,1.6,6011.77164179105
1999,12.8,4.5,51.3089984906723,,34.2335875325944,8.44679617378685,25.7867913588075,100.0,4.1,1.47,5908.54179104478
1998,13.1,4.6,51.2394446529547,,34.9818418539938,8.38959276671302,26.5922490872808,100.0,4.4,1.48,5861.51194029851
1997,14.5,4.5,51.0982958750641,1.073,35.567605095091,8.30789680537208,27.2597082897189,100.0,4.6,1.61,5665.72835820895
1996,15.2,4.7,50.9310019825863,,35.8414785604005,8.18008760282378,27.6613909575767,100.0,4.8,1.66,5478.66268656716
1995,15.6,4.8,50.7762132568568,,35.8143372181025,8.02195066687424,27.7923865512282,100.0,5.0,1.67,5260.45671641791
1994,16.2,4.7,50.6380681447234,,36.0671610755482,7.89592341504279,28.1712376605055,100.0,5.4,1.71,5103.05671641791
1993,16.8,4.6,50.5066699417176,,36.2757238796486,7.81588083145551,28.4598430481931,100.0,5.8,1.74,4945.47910447761
1992,16.8,4.7,50.3968568983655,1.073,36.4639903828486,7.75801003363553,28.7059803492131,100.0,6.3,1.72,4821.93731343284
1991,17.1,4.6,50.3267181401444,,36.7238943865315,7.71076182630376,29.0131325602278,100.0,6.9,1.73,4679.22835820895
1990,18.2,4.7,50.3103252341213,1.073,37.0987437133928,7.67580228760964,29.4229414257832,100.0,7.7,1.83,4547.95820895522
1989,17.5,4.9,50.3633807775024,,37.7547150035509,7.61572891438004,30.1389860891709,100.0,8.4,1.75,4374.47910447761
1988,19.8,4.9,50.484759746617,,38.741391757829,7.5793966686767,31.1619950891523,100.0,9.1,1.96,4247.9223880597
1987,16.6,4.7,50.6463318440284,1.073,39.9385131499251,7.55967507588774,32.3788380740374,100.0,9.7,1.62,4141.47611940299
1986,14.8,4.6,50.8046865780349,,41.0817063143665,7.53788893482582,33.5438173795407,100.0,10.3,1.43,4079.66119402985
1985,16.6,4.9,50.9272650863766,,41.9550260981456,7.49473367439061,34.460292423755,100.0,10.9,1.61,4083.51791044776
