date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,48.6616674769215,,45.0860619375329,22.6758642218813,22.4101977156516,53.726,5.6,,113.290578202995
2017,10.7,9.9,48.6384210585247,1.05,43.716889591369,21.6739777091151,22.0429118822539,53.751,5.7,1.48,113.128785357737
2016,10.6,9.6,48.6140483987416,1.05,42.4687224794415,20.7265204465043,21.7422020329372,53.806,5.9,1.48,112.953369384359
2015,10.3,9.9,48.590904357815,1.05,41.4524655073085,19.8699236352948,21.5825418720137,53.889,6.1,1.4,112.803144205344
2014,10.2,9.5,48.5698675839477,1.05,40.533949485419,19.1843730856553,21.3495763997637,54.0,6.2,1.37,112.700686356073
2013,10.1,9.6,48.5505986014404,1.05,39.8144706872002,18.5997823774272,21.214688309773,54.14,6.4,1.34,112.572642236492
2012,10.3,9.7,48.5334338954742,1.05,39.2759712731248,18.1005378819956,21.1754333911291,54.28,6.6,1.34,112.451738887712
2011,11.3,9.6,48.5180993216406,1.05,38.8519677869888,17.6565574466224,21.1954103403663,54.42,6.8,1.45,112.260526935178
2010,11.2,9.9,48.5046425129059,1.05,38.4800713432965,17.244010717933,21.2360606253634,54.685,7.0,1.43,112.108874644293
2009,11.4,9.8,48.4933113306076,1.05,38.4572002599283,16.9714500460632,21.485750213865,54.96,7.2,1.44,112.006778956124
2008,10.7,9.9,48.4846357773381,1.05,38.5969821228201,16.7455468082722,21.8514353145479,55.111,7.4,1.34,111.834365904366
2007,10.1,10.0,48.4791226320889,1.05,38.8856630688221,16.5576305029411,22.328032565881,55.261,7.7,1.27,111.738503118503
2006,10.0,9.9,48.4777187879839,,39.2904166926986,16.40051049308,22.8899061996186,55.412,7.9,1.25,111.705904365904
2005,10.1,10.0,48.4811154440428,,39.7821630200068,16.267398600307,23.5147644196998,55.563,8.2,1.27,111.700769230769
2004,10.0,9.7,48.489454518246,,40.6584683007369,16.282123350419,24.3763449503178,55.713,8.5,1.25,111.689812889813
2003,9.6,9.7,48.5026234091207,,41.6211101710774,16.3235894881384,25.2975206829389,55.863,8.8,1.2,111.689336936188
2002,9.5,9.6,48.5192191883001,1.05,42.6508284601683,16.3714733999738,26.2793550601945,56.013,9.1,1.19,111.786112266112
2001,9.5,9.7,48.5376190163139,,43.7540539565413,16.3937926859742,27.3602612705671,56.163,9.4,1.2,111.826756756757
2000,10.2,9.8,48.5566121098895,,44.9380531782728,16.3658061828208,28.5722469954521,56.233,9.8,1.3,112.031600831601
1999,10.4,9.7,48.5756457045017,,46.1358636012553,16.4178538581783,29.718009743077,56.294,10.2,1.33,112.183367983368
1998,10.7,9.9,48.5950890532844,,47.2904297435889,16.4068018166085,30.8836279269805,56.355,10.6,1.37,112.06893970894
1997,11.0,9.7,48.6153366169548,1.05,48.3879157076505,16.341304078173,32.0466116294775,56.416,11.0,1.43,111.918731808732
1996,11.2,9.5,48.6372918396848,,49.4298797410835,16.2455491074855,33.184330633598,56.476,11.5,1.47,111.712286902287
1995,11.5,9.8,48.6614937856597,,50.4043414745799,16.1335193612667,34.2708221133132,56.537,11.9,1.52,111.476070686071
1994,12.4,9.6,48.6881709763422,,51.6219939808717,16.1663961121831,35.4555978686886,56.598,12.5,1.67,111.150332640333
1993,13.8,9.9,48.7167705338782,,52.8474202268269,16.2003532654089,36.6470669614181,56.659,13.0,1.87,110.713201663202
1992,14.1,10.1,48.7469668489325,1.05,53.9878226622948,16.203330655124,37.7844920071708,56.719,13.5,1.93,110.291392931393
1991,14.8,10.3,48.7783631107266,,54.8611218586739,16.117275588698,38.743846269976,56.78,14.1,2.05,110.255592515593
1990,15.1,10.3,48.8103047109222,1.05,55.341382814907,15.9014832101502,39.4398996047568,56.491,14.7,2.09,110.170207900208
1989,15.2,10.2,48.8424386321499,,55.8703591055023,15.7115563070136,40.1588027984887,56.03,15.3,2.07,109.686943866944
1988,15.9,10.0,48.8747407531146,,56.0057320399103,15.3775964949343,40.6281355449761,55.568,16.0,2.13,109.16
1987,16.1,10.0,48.9073206784641,1.05,55.8674259629428,14.9755194397076,40.8919065232352,55.105,16.7,2.14,108.582952182952
1986,16.8,10.2,48.9403388559233,,55.7388124080388,14.6503698537347,41.0884425543041,54.641,17.4,2.2,107.98
1985,17.5,10.2,48.9738787374049,,55.8488663314246,14.5037416573194,41.3451246741052,54.176,18.2,2.26,107.313264033264
1984,17.7,10.1,49.0079782937468,,56.1085949429333,14.7040098163544,41.4045851265789,53.711,19.0,2.26,106.592453222453
1983,18.1,10.3,49.0424581401583,,56.5881968360517,15.15073237381,41.4374644622416,53.244,19.8,2.28,105.862182952183
1982,18.3,10.0,49.0759343634716,1.05,57.1813199489816,15.7373820541315,41.4439378948501,52.777,20.7,2.28,105.095613305613
1981,18.6,9.9,49.1068002371887,,57.6592306038574,16.255156191264,41.4040744125934,52.31,21.6,2.29,104.284927234927
1980,19.1,10.2,49.1338135140382,,57.8458498462213,16.5489487802783,41.296901065943,51.638,,2.32,103.530457380457
1979,20.3,9.7,49.1565371626295,,57.7873229514927,16.6681735191181,41.1191494323745,50.56,,2.45,102.681351351351
1978,20.5,9.8,49.1753150897596,,57.499049876645,16.5507301456426,40.9483197310024,49.482,,2.47,101.6658004158
1977,20.6,9.7,49.1914054916915,1.05,57.0690960961994,16.2549330481289,40.8141630480705,48.405,,2.49,100.634116424116
1976,20.8,9.5,49.2072457067646,,56.6032559827621,15.9101416767755,40.6931143059865,47.331,,2.55,99.5739501039501
1975,20.6,9.5,49.2242353925914,,56.1447121700203,15.6016016748197,40.5431104952006,46.257,,2.55,98.5260914760915
1974,20.8,9.6,49.2426306592291,,56.2129797106663,15.3757240837156,40.8372556269507,45.187,,2.61,97.4973596673597
1973,20.0,9.4,49.2617740345178,,56.3873438466587,15.1775185011975,41.2098253454613,44.122,,2.56,96.4957380457381
1972,19.1,9.0,49.282166559716,1.05,56.6951345517493,14.9890863448579,41.7060482068914,43.064,,2.49,95.5638669438669
1971,18.2,9.4,49.3039762110097,,57.2087621193531,14.773408155078,42.435353964275,42.009,,2.43,94.7494594594595
1970,17.8,9.3,49.3271302840834,,57.9528740232846,14.5055078920349,43.4473661312497,41.057,,2.41,94.3497505197505
1969,17.7,9.0,49.3519970032081,,58.8291389406278,14.2216257655234,44.6075131751044,40.243,,2.43,93.9419334719335
1968,17.0,8.5,49.3773829645939,,59.9108847050365,13.9219288960659,45.9889558089706,39.435,,2.39,93.2206860706861
