date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.7547929672987,,52.9722102393766,29.9930668036041,22.9791434357725,54.541,2.1,,102.639859503382
2017,9.8,9.9,49.7324449346102,1.057,51.3443380334506,28.7907329663472,22.5536050671034,54.273,2.2,1.58,102.59100635951
2016,9.9,9.5,49.711576242464,1.057,49.8346410644501,27.6906198892189,22.1440211752311,54.02,2.4,1.58,102.524180819215
2015,10.0,9.6,49.6934867195282,1.057,48.5514382673123,26.759014096877,21.7924241704353,53.781,2.5,1.57,102.446108744427
2014,10.3,9.2,49.681884489777,1.058,47.4192796546552,25.9930879562571,21.4261916983981,53.557,2.6,1.58,102.382323733863
2013,10.2,9.4,49.6742312613905,1.058,46.5408473949293,25.4050593290271,21.1357880659022,53.332,2.7,1.55,102.281678252234
2012,10.7,9.4,49.6591548556584,1.058,45.8343996546182,24.9460341000686,20.8883655545497,53.108,2.9,1.58,102.114051874416
2011,10.7,9.1,49.6215530025672,1.058,45.1168304569303,24.5259130759345,20.5909173809958,52.883,3.0,1.56,101.898293699867
2010,10.9,9.1,49.5503921038928,1.058,44.257538969416,24.0751277385627,20.1824112308533,52.658,3.2,1.57,101.685826853954
2009,10.7,9.2,49.4381226930579,1.058,43.6567708182933,23.672772835449,19.9839979828443,52.433,3.4,1.53,101.245373452163
2008,10.8,9.1,49.2913913602686,1.058,43.0148419264434,23.2531532991217,19.7616886273217,52.209,3.6,1.53,100.332370615751
2007,9.8,9.2,49.1323116620811,1.058,42.4088934552321,22.8197514416441,19.589142013588,51.983,3.8,1.38,100.204667328699
2006,9.4,9.1,48.9934963921282,,41.9768266127492,22.3920742431296,19.5847523696196,51.758,4.0,1.31,99.6458788480636
2005,9.1,9.4,48.8974570659641,,41.7862823089812,21.9805260158706,19.8057562931105,51.533,4.2,1.26,99.3284011916584
2004,9.0,9.3,48.8566625096848,,41.744245800222,21.6216523148819,20.1225934853402,51.308,4.4,1.25,99.156504468719
2003,8.7,9.7,48.8620145835587,,41.9046637134792,21.2785927089925,20.6260710044867,51.082,4.7,1.2,99.0929990069513
2002,8.8,9.4,48.8915167327961,1.059,42.1854092661148,20.9317014158445,21.2537078502702,50.857,4.9,1.21,99.0332671300894
2001,8.8,9.3,48.9116997248242,,42.4520901282674,20.5536013478193,21.898488780448,50.78,5.2,1.21,98.9106256206554
2000,9.1,9.3,48.9006947693577,,42.6192303003793,20.1236223352001,22.4956079651792,50.754,5.5,1.26,98.7549652432969
1999,8.8,9.5,48.8494056977549,,42.8926052773228,19.7146247947271,23.1779804825957,50.728,5.8,1.21,98.4630089374379
1998,9.0,9.6,48.7677771381877,,43.0919570441574,19.2479550338517,23.8440020103057,50.701,6.2,1.23,98.3927010923535
1997,9.1,9.5,48.672499581123,1.065,43.2644383960087,18.7373261184937,24.527112277515,50.675,6.6,1.25,98.6075471698113
1996,9.4,9.4,48.5886914280542,,43.5126843768515,18.2109735213227,25.3017108555288,50.649,7.0,1.28,98.7402184707051
1995,9.5,9.5,48.5342464515053,,43.8937402919712,17.6883538364973,26.205386455474,50.622,7.4,1.29,98.8019860973188
1994,9.8,9.7,48.5137766961389,,44.274610422009,17.2439750298783,27.0306353921307,50.596,7.9,1.32,98.780685203575
1993,9.9,10.0,48.5193145919143,,44.7531904997238,16.8250530538678,27.928137445856,50.569,8.5,1.33,98.8950347567031
1992,10.0,9.7,48.54334800075,1.056,45.2370681345829,16.4118497330587,28.8252184015242,50.543,9.1,1.33,99.1309831181728
1991,10.8,9.7,48.5750430824094,,45.5780772526814,15.9746214071081,29.6034558455733,50.517,9.7,1.42,99.2765143992056
1990,11.2,9.3,48.604867215177,1.056,45.7050374296144,15.5034294072952,30.2016080223192,50.39,10.4,1.46,99.2135551142006
1989,11.7,9.4,48.6336683939481,,46.2581779552365,15.2608520458625,30.997325909374,50.229,11.1,1.52,99.1236842105263
1988,12.6,9.6,48.6628666351643,,46.5910101148881,14.9755742386649,31.6154358762232,50.068,11.8,1.63,99.0663356504469
