date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,52.3736595148498,,56.4220379545555,9.29763728330608,44.9030989740206,58.7244240705329,42.935514240078,,16.2244628233256
2017,22.2986799564995,7.3575786594535,52.296072437349,1.03801384799501,56.603792396457,9.17593426312164,45.1924756056683,58.2818794349659,44.3259717834285,2.90163506205107,15.9487810912889
2016,22.5553962942926,7.47313779689832,52.2113058504871,1.03806457621305,56.8004599635985,9.06928017160552,45.4883881523138,57.833585795942,45.8537487568551,2.92033227272997,15.6747551810397
2015,22.7863710436461,7.59731699775025,52.126637908692,1.03803631737638,56.9943171498627,8.96947794051737,45.7738787950414,57.3772147691502,47.5367178542155,2.93807808719451,15.4054879853105
2014,22.9842141235192,7.77184665768926,52.0494394783334,1.03805811033128,57.2632520514036,8.90457815307551,46.0737684591947,56.9121851866075,48.8997270222631,2.95809192014072,15.1401113813003
2013,23.2297230839952,7.95689307086374,51.9756549138451,1.03804654460557,57.5784128962529,8.8482925903966,46.412374949827,56.4393163500603,50.3096202173138,2.97434763324404,14.8806232176405
2012,23.4678131957551,8.17165677030627,51.890762612267,1.03812355639065,57.9766134687827,8.8047655542455,46.8319018573158,55.950375849839,51.9998890938369,2.99789962660184,14.6288928793308
2011,23.6969913974675,8.3856603487162,51.7727636132758,1.03824236715257,58.4741173028707,8.77931052234466,47.346584926775,55.4038027227389,53.6815917186556,3.0180642978876,14.3662666967668
2010,23.9110017155781,8.64926852447236,51.605832644035,1.03843182090889,59.0413352681594,8.77282333502936,47.9161893182831,54.7873202307851,55.6445849097375,3.04261192682291,14.0968764902302
2009,24.1727175139826,8.92259532498447,51.3796418988782,1.03857049347656,60.0293914745147,8.81292295231141,48.9328301152007,54.1106560860139,58.5660289146921,3.06663177349209,13.8132307760229
2008,24.444478407736,9.18511853063765,51.1016949860007,1.03877347572144,61.2002725827374,8.88402287979426,50.1265334018136,53.3784652630662,61.4336319849143,3.09496208647943,13.5208981088401
2007,24.7049692186225,9.42902103587122,50.7982529035336,1.03890705598619,62.5077026492499,8.97278303925449,51.464517219525,52.6162134683907,63.9443586541242,3.122593748756,13.2280771047412
2006,24.9156818573574,9.65466581148869,50.5109908152316,,63.8550966291391,9.05953037669671,52.8614282749069,51.8842352571613,66.6990198063965,3.14878301207632,12.9514931246654
2005,25.2042013670403,9.79976954014557,50.2735364290328,,65.1650207596511,9.1259366901164,54.2408518463226,51.2569828856025,69.4993815728263,3.1830103093905,12.7000233647125
2004,25.4202523419954,9.89913547302493,50.10233912261,,66.282767277604,9.16546466935799,55.3344550203199,50.6927422938961,71.8121185681987,3.21461846520728,12.4772578368163
2003,25.6426154075133,9.96636223451083,49.9919601043319,,67.3276596046968,9.17981313799771,56.3786631611222,50.1937737917826,73.5000096831446,3.24370485000085,12.2720962053717
2002,25.852525779826,9.94556264989254,49.9309170937085,1.03916183694814,68.3222169839258,9.17333202811894,57.3929629854071,49.7411093991357,74.8979033033842,3.28264047294203,12.0933896112835
2001,26.1127320761368,9.87570230918313,49.8966185691491,,69.3337632606833,9.15682549486338,58.4381938989767,49.3170923339392,76.1580678864646,3.32049105191314,11.9215485362975
2000,26.4597741339942,9.78843044691647,49.8705310200178,,70.400992490443,9.13548774165194,59.550120884897,48.8956405733822,77.0601587034254,3.37466561363675,11.750720501708
1999,26.7887194055123,9.68954670732126,49.8522060586833,,71.3081016952967,9.12899179935883,60.4485384568283,48.4736392533375,77.618428612449,3.42384410592978,11.5730494472028
1998,27.0635055059782,9.59778371337896,49.8438070286731,,72.2311834809771,9.12216385892758,61.3707599391371,48.0789694040456,78.0492398178269,3.47498842671936,11.3956438460612
1997,27.4855945819989,9.45906098245759,49.8370315082638,1.03956271464947,73.1147320146328,9.11751658332703,62.2573998155391,47.7184349771488,78.3966179707564,3.53722552606304,11.2264465106734
1996,27.9459214975092,9.35296726205339,49.8267752916329,,73.8595914447781,9.09790550664633,63.0218877099687,47.364990950998,78.5477596754593,3.60825374608146,11.0580067567976
1995,28.3618348624046,9.3476489583091,49.8076384398913,,74.3603598989967,9.05579778863257,63.5585786868181,47.0188071202848,78.7016229047447,3.66597118693949,10.8931422279673
1994,28.8566755671701,9.33583351092175,49.7741352851927,,75.0819090526469,9.05860308130234,64.2349449088455,46.7044445433097,78.8402965414753,3.73349561265899,10.7305660350603
1993,29.361337152013,9.2798735778437,49.7254486793707,,75.5981923593376,9.04467634312727,64.7198104819622,46.4226432672891,79.0845390361997,3.79649141572645,10.5364230252537
1992,29.8607493630312,9.20823008078846,49.6676413925851,1.04023743883222,75.9417133615057,9.01822995201153,65.0436740292168,46.1384431410519,79.517927104604,3.8725031722714,10.3736636466823
1991,30.2829648649093,9.21947049216594,49.6133194448926,,76.255229200629,8.97967812272355,65.3590764435688,45.8025346145815,80.1924287320047,3.93249656201557,10.2035399577185
1990,30.7900285161878,9.24770669243985,49.571459590645,1.04028726218348,76.6328215583724,8.92783958450847,65.7650067391747,45.2843733960703,81.1406009632665,4.00800060626264,10.025896876424
1989,31.2343109445614,9.28945472409685,49.5437625292397,,77.122839950264,8.92327176868673,66.2066289768318,44.7166135319175,,4.06540481757372,9.84047191266301
1988,31.613245842672,9.38838466953889,49.5264578027449,,77.6586928732012,8.93161888595296,66.6996384988341,44.1266149588944,,4.1166520282372,9.64945288696422
1987,31.9261607673223,9.48024942371678,49.514996964601,1.04033215188803,78.2141997574099,8.95448048675831,67.2126210104699,43.5256605341987,,4.15812839684552,9.45609435946387
1986,32.2412501082294,9.62530455213326,49.5008102680089,,78.661938595321,8.98844732456583,67.6105451019411,42.9489253404592,,4.20373760712867,9.26208324458971
1985,32.5960238110045,9.85718250360939,49.4779049775944,,78.8821701218907,9.02409772596139,67.7749778392687,42.4356854405212,,4.25503759222179,9.07096529366555
1984,32.9581287656777,10.0032121144412,49.4431827827877,,79.3486012618203,9.11057871169806,68.1838817863315,41.9653892296992,,4.316993704004,8.88305164248086
1983,33.2335050346387,10.1619601412816,49.3986986941129,,79.7019094225357,9.19951162947324,68.4810474358697,41.5280402321014,,4.36926524378278,8.69981420265504
1982,33.4191135778415,10.3489575251358,49.3485691748183,1.04067863716047,80.0102747142711,9.28278495749751,68.7465069302672,41.1141443777446,,4.40083553812066,8.51994540608825
1981,33.602584512836,10.5933670167402,49.2995910496669,,80.3848821643873,9.35086029458187,69.1048204282614,40.6227830038431,,4.44006744590243,8.34437546901259
1980,33.6979109770615,10.8335970004995,49.2563867065523,,80.8671244373993,9.39138659162773,69.6038186208016,40.1379436931039,,4.47225429118076,8.17770920111218
1979,33.6736627643629,11.0323503655598,49.2207403926587,,81.3285658987323,9.44190285917748,70.0586799186753,39.5702203558325,,4.50080533701524,8.01915411405388
1978,33.6213034913819,11.251768671772,49.1914994269076,,81.9288272660869,9.46763602078389,70.6821714633932,39.0015960583675,,4.53030943664228,7.86951234601917
1977,33.5872312322151,11.4546268887789,49.1674524838246,1.04125121257637,82.6466626153648,9.47114450097063,71.4406543158307,38.4189523656422,,4.57021116289487,7.7278313794794
1976,33.6314997323598,11.6646528271048,49.1452510182719,,83.3673770038726,9.45884153103264,72.1920120405296,37.8359658189188,,4.61570886214006,7.58969803136311
1975,33.7244010905601,11.8485701324386,49.1219616529505,,83.9833438652643,9.42505465399463,72.8143401364377,37.2248445940761,,4.66303591722085,7.45427066968543
1974,33.9810127739912,11.9294550042788,49.0979255564352,,84.7421546285904,9.45942011391393,73.558387312404,36.6270103243117,,4.70470327153468,7.32073753970112
1973,33.9524053281323,12.1441920354833,49.0736306732919,,85.3767561419267,9.47524984254551,74.1839595516454,36.0533843284445,,4.75976635519196,7.19014725537035
1972,34.3192538168132,12.3173877340113,49.0478606794526,1.04201588453043,85.9112174988057,9.47333328497179,74.7214821678884,35.5240571461964,,4.82773641103909,7.06166994430611
1971,34.5771064577515,12.4761611792506,49.0197373068035,,86.4228784212769,9.45275255687132,75.2557193414332,34.9900280364048,,4.88576144598382,6.93482094301606
1970,34.7424958776322,12.6850343924215,48.9887308207341,,86.9545194252332,9.41098942548498,75.82587357073,34.4628240577447,,4.93632549115139,6.81055761148504
1969,35.0085607290993,12.9063308245259,48.9529093075388,,87.0270364724819,9.32490311598213,76.0276854563113,33.940102789956,,4.98336825433316,6.69041611358872
1968,35.429329670826,13.0800198305834,48.9128539909118,,86.9999594647954,9.23000139073692,76.1467126242865,33.4243790216894,,5.02798273544144,6.5731957603461
1967,35.666533111569,13.2284810263631,48.8700723753714,1.04243241477485,86.85642147293,9.1265466070958,76.1540043856736,32.9200546573762,,5.07354093092387,6.45808199797011
1966,36.2651852878243,13.4554914147468,48.8276479902009,,86.5173117399262,9.01760487617328,75.9660694906426,32.4294515457406,,5.12760203239666,6.34491606426325
1965,36.6767687310815,13.6594909216416,48.7888437819357,,85.9292160391802,8.89923544122219,75.5400523076438,31.8999909498914,,5.18227720961089,6.23122797046466
1964,37.2965668976105,13.8420603337022,48.754693291211,,85.7666074105827,8.88324391770293,75.4588983910049,31.3672474887998,,5.23792318988842,6.11649515758263
1963,37.7161626306008,14.1931900575022,48.7246129419152,,85.3722548130983,8.85079614023348,75.1745744714404,30.8447025110641,,5.26940305865348,6.00175875460066
1962,38.0385293590599,14.4466394412244,48.6978149136159,1.04375780609442,84.7466769745585,8.79499863497667,74.6760897687605,30.346125417741,,5.30295989543373,5.88861675489342
1961,38.3386699977202,14.7087382707402,48.6740270617087,,83.9279621165227,8.71627691330597,73.985553185759,29.8589219480778,,5.31282122810621,5.77738109825598
1960,38.8077060513221,14.9453795647422,48.6529016826058,,82.9356787823433,8.62404520788292,73.1138171054512,29.3882586502514,,5.31941644345883,
