date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.0436956378342,,82.5437294873803,6.20372135135234,76.340008136028,19.615,98.6,,
2017,35.37,10.574,50.0376325272616,1.04,83.3940121902311,6.26431037722751,77.1297018130036,19.346,98.6,4.775,
2016,35.738,10.694,50.0313223515858,1.04,84.1508238200888,6.302192654613,77.8486311654758,19.092,98.6,4.855,
2015,36.116,10.826,50.0248001592436,1.04,84.8341467663773,6.30660575477646,78.5275410116008,18.852,98.6,4.937,
2014,36.509,10.983,50.0180674686842,1.04,85.8660140358131,6.34462564796287,79.5213883878502,18.626,98.6,5.022,
2013,36.918,11.171,50.0109608567044,1.04,86.7175493510528,6.35630849779176,80.3612408532611,18.415,99.1,5.108,
2012,37.34,11.399,50.0030355021254,1.04,87.3943183483673,6.34255743065529,81.051760917712,18.217,100.8,5.197,
2011,37.776,11.669,49.9936576203412,1.04,87.8665909393198,6.31041689280402,81.5561740465158,18.032,104.3,5.286,
2010,38.219,11.984,49.9822577408625,1.04,88.1395867894184,6.26444432484455,81.8751424645738,17.86,109.2,5.376,
2009,38.66,12.344,49.9682572948608,1.04,89.011021953767,6.22426549941574,82.7867564543513,17.701,114.8,5.465,
2008,39.096,12.742,49.9515276071738,1.04,89.535843285282,6.18860434089356,83.3472389443884,17.555,120.7,5.552,
2007,39.525,13.166,49.9325327378576,1.04,89.8475172058566,6.15632214770004,83.6911950581565,17.42,127.0,5.638,
2006,39.952,13.608,49.912354328037,,90.1118084698432,6.12584433366311,83.9859641361801,17.287,133.8,5.721,
2005,40.389,14.055,49.8924021464634,,90.3795802920999,6.09492993584231,84.2846503562576,17.154,141.0,5.803,
2004,40.855,14.493,49.8734153349468,,90.8680195859744,6.05881878210802,84.8092008038664,17.023,148.6,5.885,
2003,41.359,14.915,49.8556519093699,,91.4923294572916,6.02795543122575,85.4643740260658,16.891,156.7,5.969,
2002,41.904,15.319,49.8392772372341,1.04,92.042011216046,5.99809515004067,86.0439160660053,16.761,165.4,6.054,
2001,42.483,15.704,49.8239009297913,,92.2424634539757,5.96161586647545,86.2808475875003,16.632,174.4,6.139,
2000,43.081,16.075,49.8090297829014,,91.9506601425961,5.91188417679641,86.0387759657997,16.504,183.4,6.223,
1999,43.679,16.439,49.7949235273221,,91.9347628779013,5.86486540687162,86.0698974710297,16.376,192.3,6.303,
1998,44.253,16.81,49.78154107766,,91.6008137872783,5.80994304030494,85.7908707469733,16.249,201.0,6.377,
1997,44.786,17.2,49.7686196805301,1.04,91.1379721271142,5.74669001533581,85.3912821117783,16.123,209.2,6.444,
1996,45.27,17.614,49.7559424924716,,90.7162735659554,5.67682958006764,85.0394439858878,15.997,217.1,6.503,
1995,45.703,18.062,49.7435368391765,,90.203136479872,5.60064455445508,84.6024919254169,15.873,224.4,6.554,
1994,46.096,18.551,49.7319799325856,,89.6607574608424,5.63023283082326,84.0305246300191,15.749,231.2,6.601,
1993,46.462,19.079,49.7218896845795,,89.7651510799054,5.61204643185312,84.1531046480523,15.626,237.7,6.644,
1992,46.807,19.635,49.7134738266262,1.04,89.9548157722314,5.55146598114579,84.4033497910856,14.912,243.4,6.686,
1991,47.128,20.212,49.7070668699318,,89.7357260750623,5.45129949119525,84.284426583867,14.074,249.1,6.726,
1990,47.406,20.795,49.7021457883487,1.04,88.9494645032366,5.31571656254182,83.6337479406948,13.276,254.1,6.761,
1989,47.616,21.372,49.6986346206951,,89.4821468536926,5.32914552219692,84.1530013314957,12.517,258.7,6.789,
1988,47.747,21.928,49.696314942807,,89.4634057379073,5.31762071065331,84.145785027254,11.797,263.4,6.808,
1987,47.799,22.45,49.6951552527322,1.04,89.0862347347606,5.28075062205284,83.8054841127077,11.111,267.7,6.816,
1986,47.787,22.927,49.6951578281987,,88.6030353959622,5.2182460740768,83.3847893218854,10.461,272.2,6.816,
1985,47.74,23.346,49.6966143548779,,88.1615391574092,5.12940742281165,83.0321317345976,9.844,276.2,6.81,
1984,47.694,23.695,49.6994591166684,,88.7044973033656,5.12649336819741,83.5780039351682,9.261,280.4,6.806,
1983,47.686,23.982,49.7037645104513,,89.0652035585773,5.11735388545204,83.9478496731253,8.708,283.9,6.806,
1982,47.74,24.219,49.7093512048814,1.04,89.2474280015914,5.09853264686248,84.148895354729,8.497,287.5,6.813,
1981,47.865,24.42,49.7161075550126,,89.1551727436786,5.06529156182334,84.0898811818552,8.508,290.9,6.829,
1980,48.06,24.607,49.72392635993,,88.6723763622124,5.01259812098805,83.6597782412244,8.519,293.9,6.85,
1979,48.309,24.806,49.7324731666846,,88.879489421711,5.00796698453956,83.8715224371714,8.531,297.1,6.874,
1978,48.58,25.037,49.7419872868753,,88.9052636160816,4.98828081798425,83.9169827980974,8.542,300.5,6.897,
1977,48.85,25.314,49.7524219746791,1.04,88.6954482852818,4.95213813355794,83.7433101517238,8.553,303.5,6.913,
1976,49.107,25.642,49.764015565373,,88.2192938012018,4.898518383298,83.3207754179038,8.565,,6.922,
1975,49.35,26.021,49.7770582753812,,87.4364511255599,4.82593398002481,82.6105171455351,8.576,,6.924,
1974,49.584,26.436,49.7916023905763,,87.4089367853217,4.83247488646807,82.5764618988536,8.587,,6.92,
1973,49.819,26.868,49.8075866886354,,87.2474620778138,4.82533454145169,82.4221275363621,8.599,,6.912,
1972,50.057,27.301,49.8253147257283,1.04,86.8508720360572,4.80191390685218,82.048958129205,8.61,,6.903,
1971,50.293,27.728,49.8447941439013,,86.0508917529179,4.75821812787819,81.2926736250397,8.622,,6.892,
1970,50.515,28.148,49.8663856524779,,84.7310009881564,4.69080855936948,80.0401924287869,8.633,,6.881,
1969,50.712,28.564,49.8902380040591,,84.2065353978244,4.71931442501119,79.4872209728132,8.645,,6.869,
1968,50.873,28.983,49.9162981009009,,83.3235097516884,4.72865511325657,78.5948546384318,8.656,,6.855,
1967,50.99,29.412,49.9449576427797,1.04,82.1805671757763,4.71938583548815,77.4611813402882,8.667,,6.838,
1966,51.058,29.851,49.9759951090035,,80.9906634896282,4.69314651261198,76.2975169770163,8.679,,6.819,
1965,51.078,30.295,50.010005888633,,79.8491360135101,4.65185962451043,75.1972763889997,8.69,,6.8,
1964,51.056,30.738,50.0470236030146,,79.7860539755423,4.74406128473036,75.041992690812,8.702,,6.781,
1963,50.999,31.177,50.0871866672028,,79.9852617299045,4.82726197155466,75.1579997583498,8.714,,6.763,
1962,50.914,31.613,50.1306826980716,1.04,80.2608399263085,4.8959865517966,75.3648533745119,8.725,,6.747,
1961,50.8,32.055,50.177251141297,,80.1917038279781,4.94014155939359,75.2515622685845,8.737,,6.733,
1960,50.657,32.512,50.2269658826517,,79.4569684420512,4.95072818751697,74.5062402545342,8.748,,6.721,
