date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.8867016125869,,84.3462124460886,5.48402695772095,78.0945092572138,40.175341337803,77.4816145481853,,50.7586283354254
2017,35.6695812419232,8.78194364626846,49.8751397330204,1.03858976962211,85.0847023386403,5.47496453997928,78.8274241314048,39.6431453667406,79.8188626680861,4.76542065063241,49.4333265651216
2016,36.1332854586445,9.00284125703461,49.8629413864504,1.03857629553343,85.7197901232459,5.46023208820596,79.4662265573408,39.1146168225524,82.1971886869456,4.83890848076443,48.1327854789015
2015,36.6070436953574,9.25499524372193,49.8503165579984,1.03852944246645,86.2300416685881,5.43710230138464,79.9937836928933,38.5894951510559,84.779592192467,4.91314984316162,46.8585678370848
2014,37.0853389776274,9.54341069388423,49.8372682083157,1.03849883452532,86.8532578925816,5.44990009368462,80.5937168406389,38.0675104625981,87.4790731044984,4.98653978284398,45.611192143171
2013,37.5576203772899,9.86575501445106,49.8238987079524,1.03844538867208,87.3881338623362,5.45958905188059,81.1122629920503,37.5494923302212,90.4346846350961,5.05861340525604,44.3910891495677
2012,38.0156976958295,10.2200824760556,49.8106816901753,1.03841960618432,87.8227326342391,5.46384095953285,81.5387293737735,37.0355854852706,93.6762147854827,5.12860894257978,43.1994709887179
2011,38.451426201169,10.6034429998087,49.7982668652334,1.03828886539641,88.138453084741,5.46004657424412,81.8546284014619,36.5221717237434,97.2644119576619,5.19553254757593,42.0376190052637
2010,38.8590020936495,11.0146327458767,49.7871679653847,1.03812156480139,88.3128580234196,5.44540773394186,82.0387806870347,35.9965915388542,101.221686062617,5.25835190454332,40.9071660705264
2009,39.2344515288456,11.4537535209259,49.7777909456772,1.03799319663676,88.6825884714888,5.47716805037507,82.3728468957756,35.4762319209756,105.484552971623,5.316866573591,39.8084206383218
2008,39.5805192787065,11.9133632154588,49.7701485230946,1.03783143049286,88.9587945955226,5.50114212645325,82.6245957710402,34.9637276051512,110.100740130987,5.37175423157027,38.7392860038779
2007,39.8985949663083,12.3836305538541,49.7638876920067,1.03771128870143,89.1387457119456,5.51564564978142,82.796087431569,34.4562094778847,115.02661267273,5.42365037388023,37.7019020963676
2006,40.191113990001,12.8541313473269,49.7583616379658,,89.2261003898017,5.51990965920582,82.8956730289361,34.0374450370209,120.107040949554,5.4732722981426,36.6971777271797
2005,40.4608489537786,13.3078833252698,49.753045212968,,89.2137389402171,5.51269109102132,82.9186835375099,33.5772804867188,125.308279662404,5.52145065775278,35.7254502167452
2004,40.7098039965068,13.7328812040069,49.7477710827384,,89.5632778803249,5.57095235404588,83.2432560102701,33.1136480904987,130.748498803033,5.56778800068996,34.7866475343231
2003,40.94307524417,14.1206289427289,49.7427179799849,,89.8977118369642,5.62366222638623,83.5656976041732,32.6630072269975,136.369264046977,5.61355315201209,33.8795614936997
2002,41.1676019655194,14.4639253664219,49.7381203033776,1.0374592867923,90.1918456154776,5.66728464037773,83.860046582821,32.218133561539,141.979012634807,5.66013556121305,33.0014933901902
2001,41.3851723911752,14.7588553497418,49.7343908088358,,90.388588951911,5.69633643157991,84.0715631888059,31.7780841571666,147.484770134106,5.7072187209193,32.1490083461049
2000,41.5995584505983,15.0059040461035,49.7318431043599,,90.432899162674,5.70537556701132,84.1502284940441,31.3513223579953,152.716777805215,5.75582996111249,31.3190815411099
1999,41.807436479962,15.2090396239881,49.7305538264065,,90.987752164269,5.75698909726213,84.697540789631,30.991123420983,157.449405347575,5.80557550100384,30.5103343162377
1998,42.0068367586936,15.376160068354,49.7304184118922,,91.4684851129899,5.79449882687205,85.1832501753241,30.6343796182774,162.026904851231,5.85620634807589,29.7219462743034
1997,42.2034596530295,15.51413545643,49.7313934693212,1.03740945417295,91.8547503761278,5.81742831772207,85.5871001954475,30.2772137001366,165.467917886364,5.90833312871741,28.9524527902394
1996,42.4018122989026,15.6271898911023,49.7334122061819,,92.1216950692613,5.82597878261219,85.88577130718,29.9078156697475,168.394343368067,5.96199419695584,28.199863838279
1995,42.6092833846247,15.7227895595366,49.7363605914565,,92.2321599469804,5.81863031204447,86.0437149625476,29.5406745869033,171.715887815191,6.01831693347303,27.4629185038228
1994,42.8422562977009,15.8080250401972,49.7402442789533,,92.9646804198229,5.84697475835896,86.7848631934417,29.1631486070466,174.537283477139,6.0774551124866,26.7407206867895
1993,43.1037413729323,15.8856008675707,49.7449946562357,,93.6101570823482,5.86947043388014,87.4398651912473,28.7640631550618,175.304238474357,6.14067309677601,26.0321974116112
1992,43.3964947486964,15.9506681755549,49.7503042850275,1.03751868069031,94.1273410442309,5.88267097580064,87.9677379024158,28.3084879624722,176.786950534798,6.20801956802743,25.336728696047
1991,43.7138808637893,15.9964039687935,49.7557179254536,,94.4557726271821,5.88248566066541,88.3137883587461,27.8394360329459,178.28132420127,6.27741230460177,24.6531789966502
1990,44.0530009932087,16.0231068099604,49.7608623103529,1.0374820355967,94.5412068402872,5.86543356031477,88.4287739509858,27.3610920295561,179.724550028206,6.34773000454865,23.9811684336499
1989,44.398698511363,16.0447933537489,49.7654650118794,,94.9922682313868,5.88707654119702,88.8616254318734,26.8025467311846,,6.41472989003035,23.3199864920505
1988,44.7397080493905,16.0820663724134,49.7694214728678,,95.2555471139703,5.8986009932651,89.1175262078865,26.2688080463384,,6.47841916384121,22.6697001651489
1987,45.0645254539652,16.1536071704862,49.7727724981071,1.03759096292314,95.3166356176078,5.8974293539054,89.1836001644303,25.7315852654417,,6.5368514501827,22.0322107820347
1986,45.3676887142442,16.2684802468304,49.775661207834,,95.1445446745821,5.88081244204034,89.0284711402797,25.1955654511423,,6.58927033897194,21.4100774113288
1985,45.6458101117402,16.4263777315695,49.7781870862125,,94.6957661281692,5.84587440074345,88.6091318275025,24.6569610861777,,6.63513062887206,20.8052446476442
1984,45.8944806359351,16.6196456963568,49.7804205356418,,94.7694406814651,5.87007648006183,88.65717466948,24.1342165082608,,6.67435824376664,20.2183803054003
1983,46.1127829602912,16.8368498168922,49.7821734563094,,94.6616252454079,5.88244391285201,88.5323260094503,23.6492091802555,,6.70745058792778,19.6489196259242
1982,46.3043635616898,17.0680328677812,49.782836435273,1.03778879418628,94.3626769365266,5.88096024724854,88.2268318869603,23.1967448151121,,6.73459880046758,19.0963611716847
1981,46.4710264192074,17.3086526725912,49.7816409839603,,93.871258751229,5.86362094324326,87.743363340577,22.7628294918789,,6.75663786078044,18.559352271276
1980,46.6085282149959,17.5571743598905,49.7779402615642,,93.1709930609071,5.82787611016465,87.0700824656269,22.3349606093021,,6.77340965735134,18.0371082133311
1979,46.7199509787949,17.8113006527027,49.7711978556073,,93.0841122240165,5.8329379601382,86.9773229967344,21.9600289702545,,6.78510318027152,17.52943404406
1978,46.8112948721438,18.0738172639448,49.7615842692202,,92.937017393599,5.83021595744257,86.8327159789648,21.5650939166683,,6.79309357419971,17.0367867114186
1977,46.885565200407,18.3476639117463,49.7501153304731,1.03788171399633,92.6965557463667,5.81751160185181,86.6051963256636,21.1162046740491,,6.79791325062741,16.5598619005442
1976,46.9491600223088,18.6295803508069,49.7384356235814,,92.2811933260375,5.79060330011647,86.2163284782339,20.6730593001644,,6.7998072291391,16.0990272506896
1975,46.9965550315746,18.922757242455,49.7278304331643,,91.6053701614693,5.7443048141473,85.5842811728331,20.2233766967765,,6.79862083254724,15.654878498454
1974,47.0316171395184,19.2229713800904,49.7190769478026,,91.5300528456423,5.76287127055771,85.4881574933461,19.7890078436197,,6.79394868448347,15.2270237208332
1973,47.0283781707255,19.5361739373194,49.711998779795,,91.2974388654528,5.76571399929307,85.250834825664,19.3667749476902,,6.78564091812637,14.8153780404759
1972,47.024282410423,19.8557632978684,49.7057071490195,1.03785766565574,90.8940135894289,5.75110468394756,84.8595814639413,18.944190300315,,6.77375887699045,14.4198815529262
1971,47.0027514234086,20.1796965403069,49.6987335308639,,90.3239772470421,5.71819518560204,84.3186006492628,18.5250181466398,,6.75917041564098,14.039786729205
1970,46.9783918716509,20.5075098662098,49.6898768927848,,89.5741294028057,5.66556129378379,83.6154434902645,18.1212124171242,,6.74342626833474,13.6746195024862
1969,46.9561954957422,20.8359232842667,49.6785138807769,,89.460890202565,5.69081219822809,83.4779538411524,17.7530862640772,,6.72697797433993,13.3241362956337
1968,46.9572448526383,21.1655311596754,49.6651659380053,,89.2736546281591,5.70354313819528,83.2766213558571,17.3762863692475,,6.71112387596206,12.9879288085894
1967,46.9618391344922,21.4914957903585,49.6509019696977,1.03791402411392,88.9609214802325,5.700365794648,82.9635739153777,17.0107466318156,,6.69643142875387,12.6648017997793
1966,47.0001841931207,21.8221230971171,49.6375292648639,,88.4201513717352,5.67708034213098,82.4423236085155,16.6554009044612,,6.68299200335263,12.3533116486244
1965,47.0384567507615,22.1551305540967,49.6263655484402,,87.5524223746425,5.62966980301476,81.6203582191404,16.3086730689369,,6.6709386114614,12.0523280800074
1964,47.0938973610627,22.4961433319043,49.6183438618092,,87.4159605505732,5.65901749619271,81.4660691445231,15.957997924123,,6.65906790567489,11.761161131326
1963,47.1449029698675,22.8512964052807,49.6130347072757,,87.0910970357108,5.67132709688562,81.1440434757613,15.6182622245105,,6.64646681670591,11.4796788453492
1962,47.1797726433849,23.2157119657798,49.6089845247202,1.03797325604084,86.5698396303482,5.66441425261576,80.6445819467622,15.2942184035658,,6.63219520282168,11.2080157685509
1961,47.2128590902874,23.5972173016447,49.6037757401687,,85.8561688313918,5.63643788028485,79.9708724969981,14.9881001126984,,6.61700818495267,10.9465725274146
1960,47.2467279338587,23.9915134355431,49.5956279087373,,84.9275368964905,5.58516915097975,79.1039502314488,14.6877268629032,,6.60086875967416,
