date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.0542238330143,,60.4551945668974,32.2443062074751,28.2108883594223,87.431,2.7,,25.0010434312931
2017,11.5,9.1,50.0331603717152,1.06,59.9656519988911,31.9793950164861,27.986256982405,87.146,2.8,1.85,24.6929807763129
2016,11.8,9.2,50.0097651454559,1.06,59.3080345603839,31.6070212459218,27.7010133144621,86.852,2.8,1.85,24.3624880312293
2015,11.7,9.3,49.9834254126673,1.059,58.4856890090749,31.0766924200349,27.40899658904,86.553,2.9,1.85,24.0582995752621
2014,11.9,9.2,49.9542051458827,1.059,57.4185312415222,30.5308090158094,26.8877222257128,86.247,2.9,1.88,23.8052343423928
2013,11.8,9.4,49.9222604745095,1.058,56.1561219641646,29.8572025054909,26.2989194586737,85.936,2.9,1.89,23.5684661462169
2012,11.9,9.7,49.8875122513614,1.058,54.893819964102,29.1351522948982,25.7586676692038,85.62,3.0,1.91,23.3696027888251
2011,11.8,9.5,49.849805185648,1.058,53.881282033786,28.4700469189672,25.4112351148188,85.297,3.0,1.9,23.027764780426
2010,12.3,9.6,49.8092843389094,1.059,53.2015057914553,27.9111162224787,25.2903895689767,85.056,3.1,1.98,22.8545255154262
2009,12.0,9.7,49.7658187378296,1.059,52.8312818346627,27.4705177534487,25.360764081214,84.902,3.1,1.94,22.6605132329288
2008,11.9,9.9,49.7199297607637,1.06,52.8332704238936,27.1260033806986,25.707267043195,84.746,3.2,1.91,22.4682872739679
2007,11.7,10.0,49.67354913668,1.06,53.0614918526696,26.8603150578835,26.2011767947861,84.588,3.3,1.88,22.2939318613832
2006,11.7,10.0,49.6289867053936,,53.2329769402258,26.6563302034257,26.5766467368,84.43,3.5,1.85,22.1292221084954
2005,11.2,10.2,49.5881730709764,,53.165597481791,26.5077728855575,26.6578245962335,84.319,3.6,1.77,22.0050982112395
2004,11.2,10.1,49.5521737964973,,53.5496765198649,26.4483190694071,27.1013574504578,84.258,3.7,1.75,21.917266169518
2003,11.1,10.4,49.5208535744923,,53.902209483075,26.499846754564,27.4023627285109,84.196,3.9,1.71,21.8312350733538
2002,10.7,10.6,49.4941710311396,1.061,54.2566479743025,26.6286942912673,27.6279536830352,84.133,4.0,1.65,21.750153531218
2001,10.3,10.5,49.4717796597407,,54.7764656593392,26.7826254284819,27.9938402308574,84.071,4.1,1.57,21.6794853048691
2000,10.2,10.5,49.4532655110395,,55.5838610733155,26.9217448396403,28.6621162336752,84.026,4.1,1.54,21.6213603353317
1999,10.0,10.7,49.4386350663043,,56.0220744960519,27.0755167798333,28.9465577162186,83.998,4.1,1.5,21.5866695910708
1998,10.1,10.5,49.4279806656721,,56.5072625524463,27.2225652625355,29.2846972899108,83.97,4.2,1.5,21.5698542671931
1997,10.2,10.6,49.4204946590074,1.056,56.9375917540039,27.3497052783778,29.5878864756261,83.942,4.3,1.52,21.5578837061949
1996,10.8,10.6,49.4151264563989,,57.1649435878875,27.4477498884948,29.7171936993927,83.914,4.5,1.6,21.5455427206707
1995,11.7,10.6,49.4109889060288,,57.1087343413019,27.5072472177394,29.6014871235625,83.824,4.8,1.73,21.5112808890189
1994,12.8,10.5,49.408318827583,,57.0445580546014,27.6498704671321,29.3946875874693,83.671,5.2,1.88,21.3987059511625
1993,13.5,11.1,49.4069239273469,,56.8203279884509,27.7608620498001,29.0594659386508,83.516,5.7,1.99,21.2471633279719
1992,14.2,10.9,49.4057088192514,1.054,56.4951774468118,27.8254359056205,28.6697415411913,83.361,6.2,2.09,21.1241092752352
1991,14.4,11.0,49.4031285289282,,56.1062563143104,27.8241418470602,28.2821144672502,83.204,6.6,2.11,21.0005726958132
1990,14.5,11.1,49.398491369877,1.056,55.6387823171732,27.7406428538437,27.8981394633295,83.1,7.0,2.13,20.8579105132329
1989,13.7,10.8,49.3905595872497,,55.412620151135,27.6502053878067,27.7624147633282,83.1,7.2,2.01,20.6973826582834
1988,13.3,11.5,49.3803390279026,,55.1885930841323,27.4786936142558,27.7098994698766,83.1,7.3,1.96,20.5597528878491
1987,12.5,11.1,49.3713971264411,1.058,54.9989903975176,27.2474360342076,27.75155436331,83.1,7.4,1.84,20.4654774089779
1986,12.2,11.1,49.3686752287153,,54.8862044276893,26.9960141432314,27.8901902844579,83.1,7.5,1.8,20.3973022371692
1985,11.8,11.3,49.3757934347574,,54.8625903771537,26.7477429125358,28.1148474646179,83.1,7.6,1.74,20.3499195788858
1984,11.3,10.9,49.3941809332932,,55.0079785384567,26.502971824287,28.5050067141697,83.1,7.7,1.66,20.316335234196
1983,11.0,10.9,49.4224081514649,,55.2579360826061,26.2848245447088,28.9731115378973,83.1,7.8,1.61,20.2978822439928
1982,11.1,10.9,49.4576818480213,1.059,55.5483996210157,26.0668648281333,29.4815347928824,83.1,8.0,1.62,20.2886947409465
1981,11.3,11.1,49.4955914322431,,55.8167533688182,25.8047438458451,30.0120095229731,83.1,8.2,1.63,20.2770946044743
1980,11.7,11.0,49.5330933797609,,56.0320665814522,25.4664141273801,30.565652454072,83.087,8.5,1.68,20.2527928059658
1979,11.6,11.0,49.568686539126,,56.2145930135424,25.1949414944783,31.0196515190641,83.016,8.7,1.66,20.2117219866452
1978,11.3,10.8,49.6032581158723,,56.3057879196365,24.8695389719091,31.4362489477274,82.944,9.0,1.6,20.167663401082
1977,11.6,10.7,49.638066722161,1.058,56.2899412004919,24.4907603478725,31.7991808526194,82.873,9.4,1.64,20.1090315348248
1976,12.0,11.0,49.6755357099209,,56.1398897905687,24.0639813261516,32.075908464417,82.802,9.8,1.68,20.03773943559
1975,12.6,10.8,49.7169021027672,,55.8313018522238,23.5899276579686,32.2413741942552,82.73,10.3,1.77,19.9649973192962
1974,13.5,10.6,49.7629606992253,,55.3995542141692,23.0938504103637,32.3057038038055,82.517,11.0,1.87,19.8858385728908
1973,13.5,10.5,49.8117424338148,,54.8470639374332,22.5721288256854,32.2749351117479,82.203,11.6,1.87,19.8282205000731
1972,13.8,10.3,49.8592415816573,1.062,54.197219730516,22.0313148140238,32.1659049164923,81.886,12.3,1.91,19.794073207584
1971,14.1,10.2,49.899787519402,,53.4908536643151,21.481881889319,32.008971774996,81.563,12.9,1.96,19.7356679826485
1970,13.7,9.9,49.9295150323858,,52.7626355676271,20.9297232616004,31.8329123060267,81.034,13.4,1.92,19.6003338694741
1969,13.5,10.5,49.9469336336804,,52.2467268591108,20.5369743303823,31.7097525287285,80.287,13.9,1.93,19.418219037871
1968,14.3,10.4,49.9531307701247,,51.7174233932065,20.1598500365666,31.5575733566398,79.519,14.4,2.07,19.2822366817761
1967,15.4,10.1,49.9506469227271,1.062,51.2392384303275,19.7980588615668,31.4411795687606,78.727,14.9,2.28,19.1741750743286
1966,15.8,10.0,49.9431751607263,,50.8814270724029,19.4484220615716,31.4330050108314,77.914,15.5,2.37,19.0276283082322
1965,15.9,10.1,49.93391153105,,50.6384139931606,19.1037447816549,31.5346692115057,77.056,16.3,2.39,18.8474265243457
1964,16.0,10.0,49.9233029368126,,50.7064542697566,18.8316924117367,31.8747618580199,76.153,17.1,2.47,18.6707462104596
1963,14.8,10.1,49.9107837000372,,50.9955866870686,18.5855953564307,32.4099913306379,75.223,17.9,2.33,18.5317736511186
1962,14.2,10.2,49.8981472563747,1.059,51.4155481923959,18.353717742596,33.0618304498,74.271,18.6,2.25,18.4276161232149
1961,13.9,9.8,49.8868752592068,,51.7825778582262,18.1196555664862,33.6629222917399,73.295,19.2,2.21,18.3262611492908
1960,13.7,10.0,49.8780226383141,,51.9566048024961,17.8689284100244,34.0876763924717,72.49,19.6,2.17,
