date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.1857886386016,,56.0662996502183,7.02786003600007,49.0384396142182,54.162,16.7,,92.0671077710614
2017,24.115,5.584,50.2602910713819,1.05,56.6118586397379,6.76305678271126,49.8488018570266,53.5,17.1,2.847,92.9477863094266
2016,24.525,5.726,50.3253229626041,1.05,57.5050539159569,6.52978033852078,50.9752735774361,52.835,17.6,2.889,95.0494635952731
2015,24.95,5.771,50.3737898745547,1.05,58.8495237402588,6.34093293581105,52.5085908044477,52.168,17.3,2.94,98.009083483091
2014,25.438,5.697,50.3996774895406,1.05,60.7908477853757,6.18070197655244,54.6101458088232,51.5,17.6,3.005,101.920557643087
2013,26.01,5.51,50.4075600202794,1.05,63.2222100448096,6.06337357019003,57.1588364746196,52.529,17.7,3.085,106.650732451125
2012,26.67,5.229,50.4131859402537,1.05,65.652632350043,5.97088895457987,59.6817433954632,53.555,17.8,3.181,111.324625605838
2011,27.398,4.878,50.4355412679383,1.05,67.5835781023559,5.87721476486594,61.70636333749,54.58,16.3,3.29,114.812209333987
2010,28.145,4.495,50.4858012911479,1.05,68.9296741087089,5.76630429109653,63.1633698176123,55.6,16.1,3.404,116.334634863584
2009,28.842,4.127,50.5742630826847,1.05,70.5434147618812,5.78011815063756,64.7632966112436,55.237,16.3,3.514,115.475239599216
2008,29.43,3.813,50.6982057765382,1.05,71.392316157528,5.79048505661477,65.6018311009133,54.875,16.7,3.613,112.524711391854
2007,29.876,3.581,50.8384864930562,1.05,71.9578392931877,5.80006432549322,66.1577749676945,54.511,17.3,3.696,108.245774341102
2006,30.178,3.443,50.9579885511801,,72.8736529207714,5.81856775223937,67.0550851685321,54.146,18.1,3.762,103.7916353537
2005,30.363,3.399,51.0222328872363,,74.469886867896,5.85202556447276,68.6178613034232,53.782,18.9,3.814,100.022748815166
