date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.9489890904204,,87.6156325184207,4.88044482732659,82.7351876910941,33.776,53.0,,63.5790787988259
2017,37.075,6.622,49.9355062614405,1.03,88.3243069757629,4.86566160257701,83.4586453731859,33.053,54.5,4.953,61.7113411605329
2016,37.461,6.868,49.9228838962812,1.03,88.9333299998939,4.8437012204021,84.0896287794918,32.333,57.0,5.015,59.8902573944457
2015,37.866,7.161,49.9122403168229,1.03,89.4658649691963,4.80841465111561,84.6574503180806,31.617,59.1,5.079,58.1199288778505
2014,38.302,7.503,49.9045817398015,1.03,89.8275549584266,4.81306136778916,85.0144935906375,30.904,61.4,5.146,56.4007925039512
2013,38.77,7.887,49.8996104459588,1.03,90.0247769282763,4.80256160867582,85.2222153196004,30.196,63.7,5.215,54.7327455407541
2012,39.262,8.305,49.8955104551921,1.03,90.0833320978232,4.77863690734041,85.3046951904827,29.493,66.0,5.287,53.1186283585459
2011,39.763,8.751,49.8892990949679,1.03,90.054892596665,4.74745477382,85.307437822845,28.798,68.8,5.358,51.5616820952811
2010,40.249,9.212,49.8786782244889,1.03,89.9579014308099,4.71310275505946,85.2447986757505,28.114,72.3,5.427,50.0638123729962
2009,40.693,9.68,49.8623642244026,1.03,89.9592265682865,4.74269254592165,85.2165340223649,27.439,76.1,5.489,48.6270422217205
2008,41.071,10.146,49.8410567950299,1.03,90.0168256869097,4.77157430925859,85.2452513776511,26.776,79.9,5.542,47.2498803341612
2007,41.371,10.605,49.8169065698205,1.03,90.083544140556,4.79656908324791,85.2869750573081,26.121,84.4,5.584,45.9261842402348
2006,41.587,11.053,49.7934797598483,,90.0226747237083,4.81154158427668,85.2111331394316,25.478,89.2,5.616,44.6473955746218
2005,41.716,11.496,49.7736703018073,,89.7228879737858,4.8112485147338,84.911639459052,24.845,94.2,5.638,43.4074508918492
2004,41.764,11.945,49.7586260973383,,89.8532939904201,4.85768431172216,84.995609678698,24.223,100.0,5.651,42.1988789794536
2003,41.755,12.408,49.7479124893107,,89.8648413170694,4.89317935542647,84.971661961643,23.611,106.7,5.659,41.0225581395349
2002,41.718,12.882,49.7412295361031,1.03,89.8093139535258,4.91601283631125,84.8933011172146,23.044,114.1,5.666,39.8902551365997
2001,41.673,13.356,49.7375708245564,,89.8153214936639,4.92477488938019,84.8905466042837,22.674,122.0,5.675,38.8189839692933
2000,41.648,13.808,49.7360606799385,,89.9582438877454,4.91782176864754,85.0404221190979,22.309,130.0,5.689,37.8179950327388
1999,41.663,14.211,49.7368540222457,,90.4495899087746,4.96456644918363,85.485023459591,21.947,137.4,5.711,36.8957315421088
1998,41.73,14.544,49.7401610771715,,91.0164996339631,4.99901422832028,86.0174854056428,21.59,144.0,5.741,36.0399593587717
1997,41.854,14.796,49.7450265289937,1.03,91.5450639876312,5.01963602279564,86.5254279648356,21.237,149.3,5.78,35.2143339354256
1996,42.041,14.963,49.7502588560839,,91.8850368561147,5.02486949471399,86.8601673614007,20.888,153.5,5.828,34.3695258523369
1995,42.289,15.05,49.7547617589293,,91.954651284295,5.01298531792178,86.9416659663732,20.543,156.6,5.883,33.4715906525175
1994,42.592,15.068,49.7579191133126,,92.6607659928909,5.04197665880169,87.6187893340892,20.203,158.9,5.946,32.5046726123278
1993,42.93,15.043,49.7595886629581,,93.1564302884699,5.06601985672714,88.0904104317427,19.867,160.8,6.013,31.4825050801535
1992,43.285,14.999,49.7599884634232,1.03,93.4775207903751,5.08291535863442,88.3946054317407,19.536,162.5,6.081,30.437115601716
1991,43.642,14.951,49.7597135160164,,93.6308524140883,5.08985021743589,88.5410021966524,19.208,164.2,6.148,29.4158884624069
1990,43.986,14.914,49.7591955006236,1.03,93.5726704183827,5.08386370169841,88.4888067166843,18.884,166.1,6.213,28.4532004967261
1989,44.304,14.897,49.7585137710767,,94.0655775707009,5.10489686160826,88.9606807090926,18.565,168.3,6.273,27.5589726800632
1988,44.594,14.899,49.7572600714458,,94.474819656847,5.12023958611387,89.3545800707332,18.221,170.8,6.328,26.7225197561526
1987,44.856,14.92,49.7547625706058,1.03,94.7602479913696,5.12766685511442,89.6325811362552,17.725,173.2,6.379,25.9327161887559
1986,45.091,14.963,49.7501108032272,,94.9010292925601,5.12484528792857,89.7761840046316,17.241,175.3,6.424,25.1707902461052
1985,45.306,15.027,49.7425717970293,,94.8812428413078,5.1089382367288,89.7723046045789,16.767,176.7,6.465,24.4228900428991
1984,45.515,15.109,49.7316456782136,,95.3218693383096,5.12322761338182,90.1986417249278,16.305,177.2,6.504,23.6868096635809
1983,45.73,15.203,49.717486992831,,95.673965386337,5.13198500437523,90.5419803819618,15.851,177.1,6.542,22.967427184466
1982,45.96,15.306,49.7005650722949,1.03,95.8999640248397,5.1331150456225,90.7668489792172,15.409,176.8,6.58,22.2661119891623
1981,46.204,15.419,49.6819386629651,,95.9289622917791,5.12424139147243,90.8047209003066,14.976,176.9,6.618,21.5857755701061
1980,46.455,15.549,49.6624791653889,,95.6928642456461,5.10275368040586,90.5901105652403,14.555,177.7,6.653,20.9282671031836
1979,46.7,15.703,49.6425193751812,,95.9376787230724,5.11159295605332,90.8260857670191,14.141,179.6,6.685,20.2937706028449
1978,46.926,15.887,49.6219587998593,,96.0345326058,5.11454511494095,90.9199874908591,13.659,182.9,6.711,19.6802404606006
1977,47.124,16.102,49.6008511452852,1.03,95.9704215345177,5.10939022033613,90.8610313141815,12.773,186.8,6.73,19.0846850304809
1976,47.295,16.349,49.5790675881707,,95.7379344080066,5.09389000231922,90.6440444056874,11.937,191.3,6.743,18.5032275908783
1975,47.443,16.625,49.5565565694115,,95.3157479151251,5.06528751268581,90.2504604024393,11.146,195.8,6.751,17.9332004967261
1974,47.581,16.924,49.5334341893619,,95.440821279046,5.06915070202269,90.3716705770234,10.403,200.2,6.755,17.3729239105893
1973,47.719,17.24,49.5098163226263,,95.4659699516053,5.06755799604615,90.3984119555591,9.704,204.3,6.758,16.8235075637842
1972,47.866,17.562,49.4856095711634,1.03,95.3527768943242,5.05806625617554,90.2947106381486,9.048,208.1,6.761,16.288484985324
1971,48.023,17.884,49.46054516781,,95.0170873983717,5.03773967302519,89.9793477253465,8.431,211.7,6.765,15.7729679385866
1970,48.185,18.201,49.4344828523717,,94.3819369518348,5.00350190993033,89.3784350419045,7.852,215.0,6.771,15.2805159178144
1969,48.345,18.508,49.4073321567092,,94.300523122147,4.99808595789107,89.3024371642559,7.311,218.4,6.778,14.8121246331
1968,48.492,18.804,49.3791176611343,,94.0318110681878,4.98424023156613,89.0475708366217,6.804,221.8,6.785,14.3661345676225
1967,48.619,19.09,49.3505119941485,1.03,93.6021186157002,4.96109594556521,88.641022670135,6.373,225.1,6.791,13.940154662452
1966,48.723,19.361,49.3223195273065,,93.0969994456217,4.92848906701887,88.1685103786028,6.199,228.3,6.795,13.5306389704222
1965,48.805,19.614,49.2950180565486,,92.5468800914574,4.88521739907527,87.6616626923821,6.03,231.5,6.798,13.1348295326259
1964,48.87,19.846,49.2691671812442,,92.694380572255,4.87450714069185,87.8198734315632,5.865,234.5,6.801,12.7519541657259
1963,48.923,20.058,49.2445156888152,,92.9616518405977,4.86003843682729,88.1016134037704,5.704,237.0,6.803,12.3822476857078
1962,48.97,20.255,49.2201524715559,1.03,93.2214089069002,4.83873337581607,88.3826755310841,5.547,239.0,6.804,12.0252449762926
1961,49.01,20.442,49.1946752078804,,93.1883566017571,4.80598817421854,88.3823684275385,5.394,241.1,6.806,11.6806242944231
1960,49.041,20.626,49.1669792863239,,92.642257889503,4.7578966895814,87.8843611999216,5.246,243.0,6.806,
