date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.7319527778535,,79.2242718887728,5.14278249806897,74.0814893907038,41.702,69.8,,145.046773303916
2017,33.55,8.568,49.7171258311385,1.018,80.1405749213835,5.13441499927579,75.0061599221077,41.162,72.1,4.384,141.542103327818
2016,34.016,8.695,49.7020220635232,1.018,80.9397216305303,5.11785611803031,75.8218655125,40.628,74.4,4.449,138.075969847398
2015,34.51,8.841,49.6869794768981,1.018,81.6156725264543,5.08986595004052,76.5258065764138,40.1,76.8,4.516,134.641625298768
2014,35.032,9.02,49.6723380522575,1.018,82.3089496926185,5.09019673948301,77.2187529531355,39.579,79.3,4.585,131.23730465159
2013,35.574,9.244,49.6580380435103,1.018,82.8577220456382,5.08433221125266,77.7733898343855,39.061,81.8,4.656,127.867641110498
2012,36.125,9.514,49.6432213081949,1.018,83.2513899800241,5.07020778821661,78.1811821918075,38.546,84.3,4.727,124.541404669976
2011,36.673,9.826,49.6266718051819,1.018,83.4821519226431,5.04652603474563,78.4356258878974,38.032,86.9,4.798,121.271244714102
2010,37.207,10.175,49.6075166693295,1.018,83.5446641482081,5.01140280349764,78.5332613447105,37.533,89.6,4.868,118.067273395845
2009,37.717,10.548,49.5849837781802,1.018,83.7377915198553,5.04326667432873,78.6945248455265,37.058,92.3,4.936,114.926181283324
2008,38.193,10.926,49.5594498946891,1.018,83.8140581607596,5.06824037460066,78.7458177861589,36.587,95.1,5.001,111.848133848134
2007,38.626,11.291,49.5321737191657,1.018,83.803400653456,5.08446371779444,78.7189369356615,36.116,98.0,5.064,108.850137892995
2006,39.007,11.629,49.5054470151301,,83.7459120226787,5.09161819973721,78.6542938229415,35.649,100.9,5.123,105.954771097628
2005,39.321,11.929,49.4810343423486,,83.6466741194735,5.08817700329093,78.5584971161826,35.185,103.9,5.179,103.174112888399
2004,39.555,12.185,49.4607307915293,,83.9480617174177,5.14333121050608,78.8047305069116,34.724,107.1,5.231,100.528883986027
2003,39.714,12.398,49.4438836392478,,84.3440145520943,5.19639102528634,79.1476235268079,34.265,110.2,5.279,98.0077036219893
2002,39.805,12.567,49.428232224497,1.018,84.7969912085943,5.24426339796863,79.5527278106256,33.809,113.5,5.326,95.5512226512226
2001,39.842,12.69,49.4090255721846,,85.2241557640446,5.28312669603627,79.9410290680083,33.356,116.7,5.372,93.0790034932892
2000,39.833,12.756,49.3833570993131,,85.5670468269834,5.30876642279379,80.2582804041896,32.907,120.0,5.419,90.5387387387387
1999,39.791,12.754,49.3482105782818,,87.0748847718879,5.41444943698867,81.6604353348992,32.46,123.2,5.466,87.8920389777533
1998,39.737,12.687,49.3053461331809,,88.6273388841112,5.5226005264118,83.1047383576994,32.016,126.4,5.515,85.1709137709138
1997,39.697,12.569,49.2605682860579,1.018,90.2213860192115,5.62897774181935,84.5924082773921,31.576,129.4,5.569,82.4774958632102
1996,39.695,12.414,49.224132221979,,91.878485923059,5.72872751371426,86.1497584093447,31.139,132.2,5.628,79.9559661702519
1995,39.762,12.246,49.2038767780653,,93.5849734171075,5.81594387246808,87.7690295446394,30.705,134.8,5.695,77.7034565177422
1994,39.926,12.09,49.2044998137414,,94.396738397146,5.84876873737436,88.5479696597716,30.275,137.2,5.772,75.7605442176871
1993,40.194,11.97,49.2240342870418,,95.1584957735591,5.87032326908704,89.288172504472,29.848,139.4,5.861,74.0770913770914
1992,40.564,11.904,49.2570773425189,1.018,95.7779707268668,5.87804515008683,89.89992557678,29.425,141.5,5.96,72.5483544769259
1991,41.031,11.903,49.2936832998619,,96.1425390026413,5.87047761797264,90.2720613846687,29.005,143.4,6.068,71.0239382239382
1990,41.585,11.973,49.3266318876828,1.018,96.189130648353,5.84459092437779,90.3445397239752,28.589,145.4,6.185,69.3934914506343
1989,42.208,12.11,49.3536477655565,,97.1547737276822,5.86865770513558,91.2861160225466,28.176,147.5,6.309,67.6331494760066
1988,42.869,12.297,49.3759973880976,,97.8514057668601,5.88427234551829,91.9671334213418,27.768,149.8,6.437,65.774370288656
1987,43.537,12.52,49.3936466403859,1.018,98.2614838406456,5.8887287982178,92.3727550424278,27.362,152.3,6.566,63.8304651590366
1986,44.188,12.771,49.4065785717684,,98.3605232688792,5.87913666179275,92.4813866070865,26.96,155.0,6.69,61.8319911748483
1985,44.801,13.046,49.4160000762374,,98.1189324823075,5.85179726421185,92.2671352180957,26.562,158.1,6.808,59.8086780658209
1984,45.365,13.344,49.4201551177392,,98.4635225621943,5.85524532393603,92.6082772382583,26.169,161.3,6.915,57.7467549181835
1983,45.879,13.663,49.4183311419302,,98.532473171314,5.85003745062879,92.6824357206852,25.778,164.9,7.011,55.6531163816878
1982,46.343,14.002,49.4118228108072,1.018,98.3728044153907,5.834866455114,92.5379379602767,25.391,168.6,7.094,53.6058098915242
1981,46.751,14.358,49.4035867997576,,97.9993128512309,5.80556224399132,92.1937506072396,25.02,172.6,7.163,51.706324692039
1980,47.1,14.727,49.3956450868943,,97.3424285942237,5.75888129741648,91.5835472968072,24.663,176.7,7.216,50.0246184960471
1979,47.392,15.106,49.389316125634,,97.0220379924254,5.76126502251513,91.2607729699102,24.308,181.0,7.254,48.5879021879022
1978,47.633,15.494,49.3839404136098,,96.6870838718839,5.74259663181007,90.9444872400738,23.958,185.5,7.277,47.3670159955874
1977,47.832,15.89,49.3798973497233,1.018,96.2208244609776,5.70214907739187,90.5186753835857,23.611,190.0,7.288,46.3036771465343
1976,47.992,16.294,49.3760813885922,,95.5031676548565,5.64124979969125,89.8619178551653,23.268,194.7,7.287,45.3102224673653
1975,48.115,16.704,49.3719640017573,,94.4579258001956,5.55998360724508,88.8979421929505,22.927,199.4,7.276,44.3178157749586
1974,48.202,17.12,49.3671020359668,,94.1711303528187,5.56446782232263,88.606662530496,22.591,204.2,7.254,43.3282220996507
1973,48.254,17.543,49.3624052681666,,93.6698856064205,5.55849375480844,88.1113918516121,22.258,209.0,7.222,42.348685420114
1972,48.275,17.975,49.3577975936764,1.018,92.931455392613,5.53999951929845,87.3914558733145,21.929,213.9,7.182,41.3234418091561
1971,48.271,18.418,49.3526232495618,,91.9640183070301,5.50519551124691,86.4588227957832,21.602,218.7,7.136,40.1849972421401
1970,48.245,18.87,49.3469224144206,,90.8220552101862,5.45129330095721,85.370761909229,21.28,223.7,7.084,38.8954219525648
1969,48.202,19.332,49.3407053509211,,90.5704075115331,5.46882462787906,85.101582883654,20.098,228.6,7.029,37.4132561132561
1968,48.146,19.804,49.3334539363966,,90.0522849387535,5.49358134737496,84.5587035913785,18.7,233.5,6.971,35.7745909174481
1967,48.079,20.289,49.3255544477081,1.018,89.4083191183331,5.521238792608,83.8870803257251,17.374,238.3,6.911,34.1136605993749
1966,48.007,20.787,49.3168622676182,,88.6823296675246,5.54604241560486,83.1362872519198,16.125,243.0,6.851,32.6168229453944
1965,47.93,21.299,49.3083058893348,,87.756380319222,5.56171533749073,82.1946649817313,14.95,247.6,6.792,31.4144144144144
1964,47.847,21.825,49.3003014909694,,87.3383122709095,5.70049278407221,81.6378194868373,13.847,252.0,6.734,30.5584298584299
1963,47.757,22.368,49.2932162734915,,87.1469269975548,5.81374811335037,81.3331788842044,12.811,256.4,6.677,30.001176686891
1962,47.663,22.93,49.2862860647052,1.018,86.9449048905169,5.89748345292052,81.0474214375964,11.844,260.8,6.622,29.6516822945394
1961,47.568,23.516,49.2800416645019,,86.5227127842163,5.94936472390417,80.5733480603121,10.94,265.3,6.57,29.371685971686
1960,47.479,24.13,49.2742206935998,,85.777691579832,5.96552473978995,79.8121668400421,10.098,269.8,6.521,
