date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.0130815221078,,70.5594578960417,10.1545326832493,60.4049252127923,23.131,15.6,,143.329166666667
2017,24.626,7.194,49.9960785082645,1.05,71.6675642924465,10.2396660832099,61.4278982092366,23.169,16.1,3.595,141.663888888889
2016,24.977,7.223,49.9826977645512,1.05,72.7233911736576,10.3173247711436,62.406066402514,23.222,16.4,3.636,140.4625
2015,25.354,7.24,49.9831315737249,1.05,73.6166620727674,10.4086273428886,63.2080347298787,23.275,16.8,3.678,139.973611111111
2014,25.756,7.245,50.0064341783554,1.05,74.0451702930384,10.2830464968043,63.7621237962341,23.328,17.1,3.722,140.316666666667
2013,26.178,7.239,50.0402877132301,1.05,74.5172685804438,10.2068114003498,64.310457180094,23.382,17.3,3.768,141.344444444444
2012,26.606,7.225,50.0788428593677,1.05,74.9161488039499,10.147271643824,64.768877160126,23.435,17.5,3.815,142.690277777778
2011,27.027,7.205,50.11587709303,1.05,75.2762968604553,10.0888550393501,65.1874418211052,23.443,17.5,3.864,143.836111111111
2010,27.421,7.179,50.1341591252248,1.05,75.8242873085117,10.0520780494403,65.7722092590714,23.389,17.4,3.913,144.425
2009,27.77,7.147,50.136192575339,1.05,76.6626422024589,10.2147703504685,66.4478718519904,23.335,17.2,3.963,144.291666666667
2008,28.063,7.109,50.1267120637623,1.05,77.5264884172205,10.3738430099772,67.1526454072433,23.281,17.0,4.012,143.581944444444
2007,28.293,7.068,50.1155229729861,1.05,78.3118079577257,10.4868848754541,67.8249230822716,23.227,16.8,4.059,142.473611111111
2006,28.458,7.024,50.1327250919244,,78.7985865724382,10.547966879384,68.2506196930542,23.184,16.7,4.104,141.258333333333
2005,28.547,6.982,50.1962183374955,,78.91591900422,10.5588850668463,68.3570339373737,23.155,16.7,4.144,140.145833333333
2004,28.555,6.947,50.3153252040633,,78.8074507564944,10.5213388524122,68.2861119040822,23.127,16.7,4.177,139.191666666667
2003,28.498,6.918,50.4704240343003,,78.3087445391392,10.4329298861276,67.8758146530115,23.098,16.8,4.202,138.318055555556
2002,28.404,6.896,50.64681942579,1.05,77.7646129541864,10.3116472784719,67.4529656757145,23.069,17.0,4.221,137.530555555556
2001,28.302,6.879,50.8062387035194,,77.8096734008558,10.1680839155789,67.6415894852769,23.041,17.3,4.236,136.7875
2000,28.248,6.862,50.8993283109777,,78.8742423135909,10.0361498575915,68.8380924559994,23.012,17.6,4.25,136.073611111111
1999,28.299,6.839,50.9310079507566,,78.9514263685428,9.97540110878584,68.976025259757,22.984,17.9,4.27,135.391666666667
1998,28.482,6.804,50.9048188301249,,79.7554649870322,9.91293071507966,69.8425342719526,22.955,18.2,4.3,134.766666666667
1997,28.804,6.755,50.8419494726819,1.05,80.9615672759964,9.83480671261612,71.1267605633803,22.927,18.4,4.34,134.193055555556
1996,29.248,6.691,50.7775250085699,,81.7466160729456,9.71286175454494,72.0337543184006,22.897,18.7,4.391,133.7125
1995,29.762,6.615,50.7272954611762,,81.5698367354661,9.54047560491118,72.0293611305549,22.864,19.0,4.447,133.3
1994,30.267,6.53,50.7118311242023,,81.5542449699429,9.21813665067415,72.3361083192688,22.832,19.4,4.501,132.970833333333
1993,30.695,6.441,50.7158106241366,,80.8113682378096,8.87434010104259,71.937028136767,22.8,20.0,4.547,132.718055555556
1992,31.008,6.357,50.7348162435271,1.05,79.5171427496143,8.50363177900719,71.0135109706071,22.768,20.6,4.583,132.498611111111
1991,31.206,6.283,50.7396869061243,,78.3766574275227,8.13731365645367,70.239343771069,22.736,21.4,4.612,132.286111111111
1990,31.341,6.225,50.7305220418854,1.05,78.0051677651288,7.80594667465548,70.1992210904733,22.704,22.2,4.644,132.040277777778
1989,31.499,6.192,50.6990131578947,,77.8133963219167,7.55675533809497,70.2566409838217,22.672,23.0,4.691,131.7375
1988,31.757,6.182,50.6417033152909,,78.0603505073132,7.33015831184233,70.7301921954709,22.641,23.8,4.763,131.376388888889
1987,32.154,6.195,50.588434869272,1.05,78.7567516346063,7.13541173126125,71.621339903345,22.609,24.5,4.864,131.001388888889
1986,32.68,6.226,50.5564354120386,,79.6463894298698,6.95574139840379,72.690648031466,22.496,25.1,4.989,130.677777777778
1985,33.278,6.268,50.5548692170061,,80.4477755356971,6.78773902181224,73.6600365138849,22.268,25.7,5.128,130.411111111111
1984,33.859,6.309,50.5943940379346,,80.7717512817548,6.65356000154196,74.1181912802128,22.042,26.3,5.266,130.261111111111
1983,34.329,6.341,50.6667662370914,,81.2834845173394,6.49285341276135,74.7906311045781,21.817,26.9,5.385,130.179166666667
1982,34.624,6.359,50.7550514759281,1.05,81.837776957881,6.3091053847797,75.5286715731013,21.594,27.7,5.475,130.056944444444
1981,34.726,6.361,50.8515762993095,,82.0731731087851,6.12049977584157,75.9526733329435,21.373,28.6,5.532,129.734722222222
1980,34.621,6.348,50.9401286491836,,81.7401673313003,5.92892329345531,75.811244037845,21.154,29.6,5.553,129.126388888889
1979,34.319,6.324,51.0181963997356,,83.8630611960226,5.86453579897575,77.9985253970468,20.935,30.7,5.541,128.15
1978,33.899,6.298,51.0806253832005,,86.0107531261456,5.83275630320557,80.17799682294,20.719,32.1,5.509,126.854166666667
1977,33.454,6.283,51.1317430948714,1.05,88.3355587081699,5.82700492364183,82.5085537845281,20.504,33.6,5.471,125.379166666667
1976,33.062,6.287,51.1767606580894,,91.1447176762917,5.83283351897867,85.311884157313,20.367,35.2,5.438,123.936111111111
1975,32.834,6.32,51.2143204900307,,94.597333920899,5.84554368183321,88.7517902390658,20.337,37.0,5.426,122.663888888889
