date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.5628481402358,,48.1169879440149,12.3169301838911,35.8000577601239,68.945,17.0,,74.4413233779609
2017,18.01,6.274,49.550730060372,1.055,47.414264707494,11.8702887250443,35.5439759824497,68.642,17.1,2.219,73.5932221936148
2016,18.405,6.287,49.5501569275568,1.057,46.6875244934559,11.4848419571926,35.2026825362633,68.346,17.1,2.238,72.7596936148301
2015,18.707,6.298,49.5675338827514,1.059,45.8895814398376,11.1824482810593,34.7071331587783,68.056,17.2,2.251,71.9615666838311
2014,18.874,6.301,49.6066823372453,1.062,45.3412810872691,10.9759904191843,34.3652906680848,67.772,17.3,2.252,71.2100991246138
2013,18.892,6.294,49.6650719363342,1.064,44.8852678947599,10.8662717413202,34.0189961534396,67.495,17.5,2.24,70.5004570030896
2012,18.763,6.274,49.7347329347405,1.066,44.5636443092619,10.8298634022415,33.7337809070204,67.218,17.7,2.216,69.8184989701339
2011,18.506,6.241,49.8035537939756,1.069,44.4398442743054,10.8250952712567,33.6147490030487,66.938,18.0,2.182,69.1418640576725
2010,18.149,6.194,49.8628193332641,1.072,44.5490885461441,10.8212252180793,33.7278633280648,66.657,18.4,2.14,68.4554840370752
2009,17.734,6.135,49.9084383153562,1.075,45.0262580112252,10.8507623193578,34.1754956918674,66.376,18.9,2.095,67.7503475798146
2008,17.316,6.067,49.9429013123624,1.078,45.7296984609322,10.891673630542,34.8380248303902,66.093,19.4,2.054,67.0341979917611
2007,16.947,5.995,49.9720662231874,1.081,46.6384187504082,10.9365712564265,35.7018474939817,65.809,20.2,2.02,66.3280509783728
2006,16.664,5.922,50.0051121381569,,47.7315122619217,10.9790986235234,36.7524136383983,65.524,21.1,1.999,65.6617790937178
2005,16.494,5.849,50.0486208364327,,48.9924392031621,11.0115676299774,37.9808715731847,65.237,22.1,1.991,65.05388130793
2004,16.448,5.776,50.1042577346188,,50.3660626785004,10.9683624865196,39.3977001919807,64.95,23.3,1.997,64.510021884655
2003,16.511,5.706,50.1685623394088,,51.9292104453502,10.9085801178553,41.020630327495,64.585,24.7,2.016,64.014398815654
2002,16.672,5.639,50.2370365852954,1.083,53.6171076957553,10.8257857289585,42.7913219667968,64.202,26.2,2.046,63.5379183831102
2001,16.934,5.579,50.3027338914009,,55.3162319915278,10.7120100250849,44.6042219664429,63.818,28.0,2.088,63.0400553553038
2000,17.297,5.53,50.360457861673,,56.9409008192867,10.5600056644117,46.3808951548749,63.432,30.0,2.142,62.4893795056643
1999,17.759,5.493,50.4093425274042,,58.653470392218,10.3220602136682,48.3314101785497,63.043,32.3,2.208,61.8794284243048
1998,18.311,5.47,50.4501116840602,,60.246061443072,10.0403502617055,50.2057111813666,62.653,34.7,2.287,61.2117469104017
1997,18.949,5.466,50.4809784740353,1.08,61.739648539783,9.73176187690595,52.007886662877,62.262,37.4,2.379,60.4732427909372
1996,19.668,5.484,50.499998111647,,63.2522128609557,9.43054777766171,53.821665083294,61.87,40.1,2.485,59.6507466529351
1995,20.479,5.531,50.5058956319723,,64.8955637709618,9.16320370969021,55.7323600612716,61.474,42.8,2.606,58.737113800206
1994,21.401,5.615,50.497250420276,,66.5522197544149,8.9382252253574,57.6139945290575,61.078,45.5,2.747,57.7234552008239
1993,22.432,5.735,50.474753448582,,68.2663894088536,8.77786885794714,59.4885205509064,60.362,48.1,2.907,56.6164521112255
