date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,69.3633120499024,,18.6077964237707,1.28689575930064,17.32090066447,86.522,7.6,,135.609110109828
2017,10.456,1.429,69.5197511258847,1.045,18.3979811747869,1.22503783550109,17.1729433392858,86.248,7.7,1.448,133.584947901999
2016,10.603,1.398,69.841378702539,1.045,18.164904329899,1.16627659078943,16.9986277391096,85.965,7.8,1.491,131.807659814137
2015,10.772,1.377,70.3975732859356,1.045,17.7818275033899,1.09933859379466,16.6824889095953,85.674,7.8,1.541,130.426640382991
2014,10.958,1.366,71.2518702148492,1.045,17.4160922235298,1.06226795821066,16.3538242653191,85.375,7.9,1.595,129.740566037736
2013,11.159,1.363,72.3333718928261,1.045,17.0820991836887,1.00672751312413,16.0753716705646,85.066,8.0,1.651,129.511546043368
2012,11.377,1.369,73.4369964638568,1.045,16.801401372113,0.937429527324393,15.8639718447886,84.749,8.1,1.708,128.718614474796
2011,11.616,1.382,74.3144403493638,1.045,16.5040946734282,0.864472293093949,15.6396223803342,84.423,8.3,1.763,125.975457617573
2010,11.888,1.403,74.8066373816696,1.045,16.0656853966628,0.795736595955642,15.2699488007072,84.087,8.5,1.819,120.388453956632
2009,12.208,1.431,74.806135069129,1.045,16.7554395937332,0.808932514338626,15.9465070793945,83.742,8.7,1.877,111.480878625739
2008,12.581,1.467,74.2805049618548,1.045,17.6331786071323,0.837761489353759,16.7954171177786,83.387,8.9,1.939,99.8238101943115
2007,13.01,1.508,73.2334378261347,1.045,18.957695727573,0.889014703973839,18.0686810235991,83.023,9.2,2.006,86.8605744860603
2006,13.49,1.555,71.8348008328786,,20.9845904931604,0.971839592482493,20.0127509006779,82.648,9.4,2.081,74.6293156857223
2005,14.001,1.605,70.3867206076777,,23.8066185801739,1.09890525021715,22.7077133299568,82.262,9.7,2.161,64.6046888200507
2004,14.518,1.658,69.1945365664703,,25.2451912953858,1.14194805946405,24.1032432359217,81.871,10.0,2.247,57.2876654463531
2003,15.024,1.71,68.3796385223756,,27.2289292077318,1.20338424183262,26.0255449658991,81.472,10.3,2.337,52.2660095747677
2002,15.514,1.763,67.9824386154988,1.045,29.8656351411535,1.28604711673463,28.5795880244188,81.067,10.6,2.432,48.9830611095466
2001,15.996,1.816,67.784663680443,,33.2185773239705,1.38659141576647,31.8319859082041,80.655,10.9,2.533,46.5040692762602
2000,16.494,1.869,67.5523209937758,,37.2417408074156,1.49946991754711,35.7422708898685,80.236,11.2,2.644,44.1292875246409
1999,17.043,1.924,67.2545683133914,,37.4719995550519,1.509301037517,35.9626985175349,79.81,11.5,2.768,41.7633624331174
1998,17.675,1.98,66.9944767799392,,37.687948351125,1.49702840815376,36.1909199429713,79.378,11.9,2.907,39.6115742044495
1997,18.41,2.041,66.7625229237082,1.045,38.1555552107737,1.47492488066239,36.6806303301113,78.938,12.3,3.062,37.6142213460997
1996,19.253,2.106,66.563350072722,,38.9109028432376,1.46295081572597,37.4479520275116,78.493,12.7,3.232,35.7522669670515
1995,20.21,2.175,66.3985617152754,,39.6408559463105,1.47227437278151,38.168581573529,78.319,13.2,3.418,34.005773021684
1994,21.282,2.247,66.2495309184149,,41.1065224677813,1.52688046396207,39.5796420038192,78.467,13.7,3.618,32.3061813573641
1993,22.437,2.323,66.0900036122928,,42.6755903785159,1.58843646615233,41.0871539123635,78.614,14.3,3.827,30.5989721205294
1992,23.631,2.401,65.9138425206976,1.045,44.2937000120193,1.65387775643364,42.6398222555856,78.76,15.0,4.041,28.9058152633061
1991,24.828,2.481,65.7271808870619,,45.9513930589282,1.71677118030467,44.2346218786235,78.906,15.7,4.253,27.2761616446072
1990,25.984,2.562,65.5379430628455,1.045,47.6337352199288,1.77175145257297,45.8619837673558,79.051,16.6,4.454,25.7453111799493
1989,27.059,2.644,65.3178812245172,,48.6541128636281,1.77797686218095,46.8761360014472,79.196,17.5,4.636,24.2985215432273
1988,28.026,2.725,65.0597270673383,,49.4168662484021,1.77511423911606,47.6417520092861,79.339,18.6,4.797,22.9099690228105
1987,28.859,2.808,64.837766037224,1.045,49.9026901696055,1.77347288081085,48.1292172887947,79.482,19.8,4.934,21.5930160518164
1986,29.537,2.895,64.7763460099863,,50.0632361775261,1.7867981121485,48.2764380653776,79.624,21.2,5.047,20.365812447198
1985,30.022,2.988,64.9813163124513,,49.7591097089475,1.82254470035879,47.9365650085887,79.804,22.8,5.139,19.2363277949873
1984,30.282,3.09,65.5479647905284,,48.1197301275873,1.83402434529383,46.2857057822935,80.026,24.6,5.215,18.2198113207547
1983,30.343,3.202,66.4609343265576,,46.4237909353676,1.87884025149736,44.5449506838702,80.247,26.7,5.283,17.2973669388905
