date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.3647254392421,,56.4307434535186,28.7767887600227,27.6539546934959,83.398,4.3,,274.82739222089
2017,11.4,9.2,49.341126606297,1.051,56.0698960446915,28.5469551928961,27.5229408517953,83.143,4.3,1.79,273.049472988054
2016,11.8,9.1,49.3158988459733,1.051,55.6373574273721,28.261213397657,27.3761440297151,82.886,4.4,1.79,271.134481048237
2015,11.9,9.2,49.2885280292943,1.051,55.1110287394349,27.8799814511306,27.2310472883043,82.626,4.5,1.8,269.205394122267
2014,12.0,8.8,49.258548760981,1.051,54.4638466133551,27.3833961374309,27.0804504759243,82.365,4.5,1.81,267.073781672385
2013,12.1,9.0,49.22622740377,1.051,53.7606426082592,26.8002738851751,26.9603687230841,82.102,4.6,1.83,265.06934237176
2012,12.8,8.9,49.1925275822042,1.051,53.0424564923608,26.1796580720878,26.8627984202729,81.837,4.8,1.92,263.30054147894
2011,12.8,8.7,49.1588303144039,1.051,52.3437484760247,25.6061348716061,26.7376136044187,81.57,5.0,1.91,261.47612119208
2010,12.9,8.9,49.1260286177071,1.051,51.6650449382949,25.1305096871298,26.5345352511652,81.302,5.2,1.92,259.440189310958
2009,12.7,9.0,49.0949204359415,1.051,51.3955148313646,24.7941603924403,26.6013544389244,81.031,5.4,1.89,257.414417393461
2008,12.9,9.4,49.065017163542,1.051,51.2666092375454,24.5821512582024,26.684457979343,80.757,5.6,1.91,255.474703426611
2007,12.6,9.4,49.0343462486482,1.051,51.2670884921574,24.4647840459198,26.8023044462376,80.479,5.8,1.86,253.471925763651
2006,12.3,9.4,49.0001874177437,,51.3720233909737,24.3857724952884,26.9862508956853,80.199,5.9,1.82,251.50589013351
2005,12.0,9.6,48.9608346795254,,51.5457914065015,24.3013100721544,27.2444813343471,79.915,6.0,1.76,249.663977183483
2004,11.9,9.7,48.9155702860533,,51.9363621993545,24.326967933976,27.6093942653785,79.629,6.2,1.75,247.955627660894
2003,11.7,10.2,48.8659145501697,,52.3944815066067,24.3625794093078,28.0319020972989,79.339,6.3,1.7,246.548906708552
2002,11.3,10.2,48.8151543732025,1.051,52.8723483446829,24.397539879676,28.4748084650069,79.047,6.3,1.63,245.40354234696
2001,11.3,10.2,48.76779127464,,53.3140617805665,24.4218073862155,28.892254394351,78.751,6.4,1.63,244.366854048692
2000,11.5,10.3,48.7270087786148,,53.6701126633823,24.4230199744092,29.2470926889731,78.651,6.5,1.64,243.427908899268
1999,11.9,10.8,48.6939005695208,,54.020669555999,24.4886383425594,29.5320312134395,78.591,6.6,1.68,242.559690819659
1998,12.3,10.8,48.6677723927128,,54.3293775778508,24.548695119457,29.7806824583937,78.532,6.8,1.71,241.752329186128
1997,12.5,10.8,48.6478850339889,1.051,54.569297271182,24.5927401804871,29.9765570906949,78.472,6.9,1.72,241.048873641136
1996,12.6,10.9,48.6327785080912,,54.6963728354138,24.6068931658755,30.0894796695382,78.413,7.0,1.73,240.428843053776
1995,12.6,11.1,48.621266664883,,54.6814998096709,24.5760224306325,30.1054773790383,78.353,7.2,1.71,239.817426528335
1994,13.0,10.8,48.61339836369,,54.5470225396446,24.5789953202755,29.9680272193691,78.293,7.4,1.74,239.183834166908
1993,13.2,11.4,48.6092902678382,,54.2739851490885,24.5457782292423,29.7282069198462,78.232,7.7,1.76,238.575678915389
1992,13.6,11.0,48.6079101604234,1.051,53.9104995577042,24.4670892840924,29.4434102736118,78.172,8.2,1.79,238.0043896995
1991,13.8,11.3,48.6079368565894,,53.5316308745939,24.3299639017547,29.2016669728393,78.112,8.7,1.82,237.361621130079
1990,13.9,11.2,48.6083886063902,1.051,53.1741742433552,24.1230944028547,29.0510798405006,78.14,9.3,1.83,236.628719050965
1989,13.6,11.5,48.6084960182654,,52.8652667315158,23.9685874306871,28.8966793008288,78.19,9.9,1.79,235.92241970818
1988,13.8,11.4,48.6083089723128,,52.5808102373075,23.7425134237136,28.8382968135939,78.24,10.4,1.82,235.3090852726
1987,13.7,11.3,48.6085929924428,1.051,52.3584123753482,23.4760497464451,28.8823626289032,78.29,10.8,1.81,234.787128508246
1986,13.3,11.7,48.610596787952,,52.2256504377655,23.2274131555657,28.9982372821999,78.34,11.1,1.78,234.288414004051
1985,13.3,11.9,48.6150925960968,,52.181348500122,23.0340166893843,29.1473318107377,78.39,11.4,1.79,233.746405985202
1984,12.9,11.4,48.622137378969,,52.7098920655157,23.0523112586417,29.6575808068741,78.44,11.7,1.77,233.216517174389
1983,12.8,11.7,48.6309125195145,,53.4506467278624,23.1545074005208,30.2961393273416,78.489,12.1,1.77,232.847716281569
1982,12.8,11.8,48.6403523183488,1.051,54.3445017332828,23.2920148397947,31.0524868934881,78.539,12.7,1.78,232.768325548712
1981,13.0,11.7,48.6489727571884,,55.2856390286302,23.3772382608055,31.9084007678247,78.588,13.4,1.82,232.85177117348
