date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.4799853460876,,52.7106770866542,24.1399754701329,28.5707016165213,82.256,6.5,,35.766088580168
2017,11.8,8.5,49.4766177256456,1.047,52.1558054989553,23.4614602474452,28.6943452515101,82.058,6.6,1.7655,35.5452270694906
2016,12.2,8.493,49.4706871974314,1.047,51.6461677717009,22.7979978451848,28.8481699265161,81.862,6.7,1.8205,35.3183019911625
2015,12.4,8.44,49.4617788315964,1.047,51.2095510574753,22.1414402461905,29.0681108112848,81.671,6.8,1.8435,35.0637308661896
2014,12.5,8.237,49.4493265271429,1.048,50.7930399261871,21.5146978996873,29.2783420264998,81.483,6.9,1.8625,34.8061443554576
2013,12.4,8.215,49.4337037143922,1.048,50.4259157721803,20.9167902492084,29.5091255229719,81.299,7.0,1.8575,34.5515704974736
2012,12.6,8.102,49.4165950723734,1.048,50.1154434274166,20.3578038894141,29.7576395380025,81.119,7.1,1.8805,34.3128683279001
2011,12.7,8.073,49.4003966204291,1.048,49.869752135793,19.8581350417914,30.0116170940016,80.944,7.2,1.8945,34.0620643853677
2010,13.0,7.995,49.3868109471367,1.048,49.670515300289,19.4298859710879,30.2406293292011,80.772,7.3,1.931,33.815664416852
2009,13.5,7.9,49.3766518629731,1.048,49.5258139285031,19.0834540755858,30.4423598529173,80.606,7.5,2.002,33.5363992251367
2008,14.0,8.1,49.3692898976415,1.048,49.5214275340227,18.8323953287694,30.6890322052533,80.438,7.6,2.072,33.2436868537795
2007,14.3,8.0,49.3632152857991,1.048,49.6149866977895,18.659783891621,30.9552028061685,80.269,7.7,2.12,32.8786113609374
2006,14.3,8.1,49.3561035441091,,49.6971103492389,18.5338733535182,31.1632369957207,80.099,7.9,2.108,32.5673998463204
2005,14.0,8.3,49.3461979870208,,49.6845677496855,18.4287320889428,31.2558356607427,79.928,8.0,2.057,32.2548765979183
2004,14.0,8.2,49.3330079021178,,50.1106892502882,18.4374737131615,31.6732155371267,79.757,8.1,2.0515,31.9589450682826
2003,14.1,8.4,49.3170133956262,,50.4796955067234,18.4754161700177,32.0042793367057,79.583,8.1,2.0475,31.6645346171981
2002,14.0,8.5,49.2985537364417,1.048,50.801811319259,18.5359034820816,32.2659078371774,79.409,8.2,2.0205,31.3935499327652
2001,14.1,8.5,49.2782911732148,,51.1542889678744,18.613032400062,32.5412565678124,79.234,8.3,2.0305,31.1036283879362
2000,14.4,8.5,49.256731317126,,51.5992648229178,18.6978580097721,32.9014068131456,79.057,8.4,2.056,30.7973013298523
1999,14.2,8.6,49.2342156947315,,52.002160539884,18.8478419261201,33.1543186137638,78.742,8.6,2.0075,30.4663411566379
1998,14.3,8.6,49.2106891756048,,52.4147508752781,19.0107093941593,33.4040414811188,78.377,8.7,1.999,30.1184850681737
1997,14.2,8.7,49.1858951030775,1.048,52.792626709104,19.1690669408753,33.6235597682288,78.008,8.9,1.971,29.7694279699879
1996,14.4,8.8,49.159458910408,,53.0414165201833,19.3000250075471,33.7413915126362,77.636,9.2,1.976,29.4131648134723
1995,14.6,8.8,49.1314153694943,,53.0872508390412,19.384689378846,33.7025614601952,77.257,9.5,1.978,29.0729515141457
1994,15.0,8.8,49.1011431597912,,53.1788075082869,19.4415666504786,33.7372408578083,76.875,9.8,2.0015,28.7288076375484
1993,15.4,8.8,49.0695148226927,,53.1200597316629,19.4501433494283,33.6699163822346,76.488,10.1,2.0195,28.3786587123429
1992,15.8,8.5,49.0399520748245,1.049,52.9175936951267,19.4132162163351,33.5043774787915,76.097,10.5,2.046,28.0068916121481
1991,16.2,8.6,49.0170901695204,,52.6054419930296,19.3370261395958,33.2684158534337,75.701,10.9,2.0625,27.6211491261017
1990,16.7,8.6,49.0041256454275,1.049,52.2122880402135,19.2210388000996,32.9912492401139,75.3,11.2,2.081,27.2545136128993
1989,16.4,8.8,49.0034135798915,,51.9622779608306,19.0761386303995,32.8861393304311,75.089,11.6,2.014,26.9483653165862
1988,16.0,8.9,49.0136965964874,,51.6866445101928,18.905279523336,32.7813649868569,74.942,11.9,1.934,26.6950614480247
1987,15.7,8.6,49.0300579328257,1.05,51.4064047066971,18.7153180089723,32.6910866977248,74.793,12.1,1.872,26.4537676766794
1986,15.6,8.7,49.0451484815011,,51.1418728748516,18.5152429108704,32.6266299639813,74.644,12.4,1.8375,26.2183697712404
1985,15.8,8.7,49.0536783016829,,50.9029775938533,18.3070471197091,32.5959304741442,74.494,12.7,1.844,25.9771851825972
1984,15.6,8.7,49.0529311079742,,50.9331727816976,18.1368071846558,32.7963655970417,74.344,13.0,1.8065,25.7480106911702
1983,15.6,8.6,49.044835086298,,51.0470890165749,17.9835711093782,33.0635179071967,74.194,13.4,1.799,25.526042258073
1982,15.9,8.5,49.0343188669736,1.051,51.2637470864716,17.8472638760038,33.4164832104678,74.042,13.9,1.8275,25.293701468289
1981,15.8,8.6,49.0289433124328,,51.6006137966402,17.7158001367105,33.8848136599297,73.89,14.4,1.812,25.0537178893674
1980,15.9,8.8,49.0341497485841,,52.0443180765662,17.5710651027506,34.4732529738156,73.738,15.0,1.8395,24.8090394542612
1979,15.6,8.5,49.0524241514736,,52.5906009871555,17.3764729233977,35.2141280637578,73.692,15.6,1.808,24.5721129909946
1978,15.0,8.7,49.0815997120582,,53.2849135684437,17.1937157076354,36.0911978608083,73.682,16.3,1.76,24.3024317171382
1977,15.1,8.6,49.1168791627339,1.052,54.0845251063521,17.0268272351678,37.0576978711843,73.673,17.1,1.79,24.0462890983256
1976,14.6,8.8,49.1509300116375,,54.887857206147,16.8678172385656,38.0200399675813,73.663,17.9,1.738,23.8056504231922
1975,14.6,8.8,49.178426268793,,55.607045110682,16.6973405773145,38.9097045333675,73.653,18.8,1.774,23.5805156917379
1974,14.8,9.1,49.1968367827066,,56.8355601146168,16.6231026185688,40.2124574960481,73.643,19.7,1.835,23.3491575462716
1973,14.8,9.3,49.2080681164883,,58.0471560760278,16.5398340526125,41.5073220234153,73.633,20.6,1.879,23.1367971909474
1972,15.6,9.4,49.2165067624083,1.053,59.2413382611842,16.4545617348669,42.7867765263173,73.623,21.5,2.01,22.9170124118896
1971,17.2,9.3,49.2289218243347,,60.4453639270556,16.3637967899647,44.0815671370909,73.613,22.4,2.266,22.6729890729952
1970,18.4,9.5,49.2501350987961,,61.6769779906992,16.2498537391526,45.4271242515466,73.602,23.2,2.48,22.3881314035655
1969,17.9,9.5,49.2822213179846,,62.6262953135837,16.1597420831384,46.4665532304453,73.333,24.1,2.456,22.1288224863958
1968,17.6,9.8,49.3230505175958,,63.45836481971,16.0456823071448,47.4126825125652,72.974,24.9,2.464,21.9136233808205
1967,17.8,9.4,49.3682754281145,1.052,64.1800460367091,15.917687326507,48.2623587102021,72.612,25.7,2.558,21.6959130731
1966,18.4,9.5,49.411344745427,,64.8140334487465,15.784293479191,49.0297399695555,72.247,26.4,2.721,21.4609518984688
1965,19.4,9.4,49.4474669942869,,65.3668336343763,15.6444737078794,49.7223599264969,71.879,27.1,2.913,21.2145265401312
1964,21.1,9.4,49.4749833387364,,65.9242908824572,15.5780071839738,50.3462836984834,71.508,27.7,3.19,20.9509594975849
1963,21.7,9.6,49.4955056214359,,66.3929316143002,15.5093798847842,50.883551729516,71.134,28.3,3.319,20.6619528854804
1962,22.4,9.5,49.5114642012565,1.05,66.6921583715086,15.430128642974,51.2620297285346,70.757,28.9,3.461,20.3667228593639
1961,23.3,9.3,49.526885208803,,66.648032380909,15.3161254867277,51.3319068941813,70.377,29.5,3.62,20.0558797068663
1960,23.7,9.5,49.5449440840931,,66.1317353094272,15.1441107356828,50.9876245737444,69.996,30.1,3.654,
