date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.862641084717,,49.4884431934934,6.6061023930108,42.8823408004826,50.478,21.4,,77.4692054536906
2017,22.1,5.0,49.8466822700311,1.062,48.7720743618762,6.34477165508117,42.427302706795,50.55,22.7,2.455,76.1368124118477
2016,22.8,4.9,49.8297025614316,1.062,48.2144082094882,6.13848689963506,42.0759213098531,50.65,24.2,2.455,74.8657733897508
2015,23.5,4.9,49.8126549246294,1.062,47.9585213725323,6.00509581383687,41.9534255586954,50.75,25.9,2.491,73.575223319229
2014,23.3,4.9,49.7959797667775,1.062,47.9642498183141,6.02780521580271,41.9364446025114,50.85,27.8,2.457,72.3030089327692
2013,22.5,4.8,49.7798121982599,1.062,48.3294350296063,6.14580947471726,42.1836255548891,50.95,29.8,2.35,71.093559003291
2012,21.0,4.9,49.7642041446324,1.062,49.0147047327264,6.33898929748659,42.6757154352398,51.05,31.9,2.193,69.9917724494593
2011,21.5,4.9,49.7490492979157,1.063,49.855504467665,6.56583817113297,43.289666296532,51.15,34.1,2.236,68.9689703808181
2010,22.7,4.9,49.7343763347813,1.064,50.6995225927932,6.7927061650553,43.906816427738,50.956,36.4,2.342,67.1424541607898
2009,23.3991666396563,4.8,49.7200314022901,1.065,52.1068191098229,7.00770268281944,45.0991164270034,50.472,38.9,2.53,65.2736248236953
2008,23.6641797331399,5.08345328483996,49.7064228624908,1.066,53.728883167783,7.22015288205339,46.5087302857296,49.989,41.4,2.637,64.1814762576399
2007,22.6632700376803,5.11500451010303,49.6948488076201,1.067,55.5587321928588,7.41927959076729,48.1394526020915,49.505,44.0,2.554,63.1593794076164
2006,20.9883961591959,5.27109080475307,49.687068010985,,57.5989297558573,7.59470542107098,50.0042243347863,49.021,46.6,2.39,62.2666901739539
2005,20.3894065963455,5.37260271465002,49.6842092517402,,59.8430926886522,7.73610147907547,52.1069912095767,48.537,49.3,2.36,61.5115185707569
2004,20.8928609746569,5.04001931613684,49.686639276124,,62.2471618734853,7.85979158822798,54.3873702852573,48.054,52.0,2.46,60.8000705218618
2003,19.8867217547415,5.31659854872148,49.6936418265968,,64.7005675251617,7.92654877694562,56.774018748216,47.571,54.7,2.36,60.1026093088858
2002,21.0713259939233,5.42216340750768,49.7037723393657,1.064,67.1469104588677,7.94727724244046,59.1996332164272,47.088,57.5,2.52,59.407263751763
2001,20.5472325477457,5.30923344642423,49.7150692150571,,69.5967042147255,7.94904663356543,61.6476575811601,46.606,60.2,2.46,58.6846497414198
2000,21.4024802991138,5.50084067553592,49.7255969984604,,72.0916305693166,7.94993883341361,64.141691735903,46.126,62.9,2.58,57.9464033850494
1999,22.4085271424328,5.36899241425033,49.7356899672215,,74.2929409554089,7.98603944488419,66.3069015105247,45.644,65.2,2.72,57.150094029149
1998,23.4,5.9,49.7449847867889,,76.350949755194,8.03629760232806,68.3146521528659,45.164,67.1,2.815,56.5373765867419
1997,25.5,5.8,49.7495377316043,1.061,78.1855207380933,8.08350318440647,70.1020175536868,44.685,68.6,3.082,55.6346967559944
1996,27.3,6.2,49.7442121637767,,79.6716584572127,8.09359512506114,71.5780633321515,44.208,69.7,3.32,54.5956746591443
1995,29.8,6.4,49.7253634795755,,80.7177392874082,8.04114986762436,72.6765894197839,43.731,70.6,3.596,53.5613540197461
1994,29.4,6.6,49.689669711977,,81.4383765072127,7.98563185142307,73.4527446557897,43.255,71.4,3.537,52.6022566995769
1993,31.5,6.6,49.6383034761637,,81.7462399393285,7.86715544273333,73.8790844965951,42.78,71.9,3.8,51.5796897038082
1992,33.1,6.5,49.5778642396948,1.069,81.7358950278471,7.70803671015765,74.0278583176895,42.308,72.2,4.004,50.420780441937
1991,34.5,6.2,49.5188093653671,,81.5200432279691,7.55482746542417,73.9652157625449,41.836,72.2,4.199,49.2524682651622
1990,33.7,6.1,49.4693663167903,1.061,81.1413565853715,7.44270179178035,73.6986547935911,41.365,72.5,4.072,48.2134461683122
1989,33.3,6.3,49.4335584600132,,81.2110847244553,7.48922797606587,73.7218567483895,40.897,73.4,4.179,46.8220944992948
1988,35.3,6.9,49.409650023735,,81.2859912216942,7.59552066974393,73.6904705519503,40.685,75.3,4.28,45.7073037141514
1987,37.2,7.0,49.3932440649604,1.05,81.3513012692496,7.7524639716037,73.5988372976459,40.697,78.0,4.5,44.6084085566526
1986,37.9,7.1,49.3764359191792,,81.3497208682497,7.93665034455861,73.4130705236911,40.71,81.5,4.509,43.5251010813352
1985,37.4,7.2,49.353022152413,,81.2596105423372,8.13211701995059,73.1274935223866,40.722,85.8,4.585,42.4571791255289
1984,36.3,7.5,49.3209693513559,,81.6779704177573,8.36510928655435,73.312861131203,40.734,90.7,4.669,41.4081805359662
1983,35.4,7.5,49.2820822017524,,82.1220078045334,8.64195266431537,73.480055140218,40.746,96.3,4.763,40.3800282087447
1982,35.1,7.4,49.2377874381666,1.05,82.6939244988317,8.94949465639045,73.7444298424413,40.758,102.5,4.868,39.3686553831688
1981,35.0,7.2,49.190966230707,,83.5636506611372,9.25955396193677,74.3040966992005,40.77,109.4,4.984,38.3678796426892
1980,33.9,7.5,49.1439143681646,,84.8102570969781,9.54416182925777,75.2660952677203,40.782,116.9,5.112,37.3736647860837
1979,34.4,7.0,49.0970494919922,,86.6318941369651,9.92203674702478,76.7098573899404,40.794,124.8,5.251,36.3820451339915
1978,35.861,9.26,49.0494464252579,,88.8149526878676,10.2645740039648,78.5503786839028,40.536,,5.399,35.3954489891866
1977,35.812,9.387,49.001087894664,1.05,91.2070761323769,10.568407187327,80.63866894505,40.051,,5.55,34.4237776210625
1976,35.81,9.514,48.951846853343,,93.4581611247514,10.8474428010338,82.6107183237175,39.568,,5.699,33.4808862247297
1975,35.863,9.643,48.9016067797085,,95.2865096865504,11.1104706852746,84.1760390012758,39.087,,5.842,32.575171603197
1974,35.972,9.779,48.8506286434167,,97.7010980514792,11.40343408709,86.2976639643892,38.608,,5.973,31.7139562764457
1973,36.134,9.924,48.7993384267332,,99.7980398477126,11.6759666962646,88.1220731514481,38.131,,6.088,30.8904489891866
1972,36.354,10.084,48.7476031458042,1.05,101.557176128675,11.907831351963,89.6493447767125,37.657,,6.185,30.0822284908322
1971,36.644,10.263,48.6949284470328,,103.123529177528,12.0670600392589,91.0564691382686,37.184,,6.263,29.2582110954396
1970,37.044,10.469,48.640825554905,,104.581194502668,12.1267401434842,92.454454359184,36.714,,6.326,28.3975481899389
1969,37.603,10.71,48.5850216202133,,105.275031770215,12.2680247702364,93.0070069999789,36.354,,6.377,27.4914127879643
1968,38.33,10.986,48.5272871282781,,105.578389161454,12.343889211963,93.2344999494912,36.087,,6.421,26.5507099200752
1967,39.201,11.292,48.4673812817284,1.05,105.379003585902,12.348851494855,93.0301520910468,35.82,,6.461,25.5982816173014
1966,40.173,11.625,48.4051704297951,,104.314989103199,12.2944303357282,92.0205587674708,35.554,,6.495,24.667221438646
1965,41.177,11.974,48.3409789786762,,102.128803075226,12.1877822087606,89.9410208664658,35.289,,6.516,23.7820169252468
1964,42.128,12.33,48.2748579073319,,99.6218910599687,12.0315401580239,87.5903509019448,35.025,,6.518,22.9497320169252
1963,42.945,12.681,48.2074802739576,,96.0708498858789,11.8058328176259,84.265017068253,34.762,,6.494,22.1648001880583
1962,43.563,13.015,48.140877799612,1.05,91.8128246342219,11.5187414668252,80.2940831673966,34.5,,6.441,21.4236483309826
1961,43.941,13.323,48.0779121493679,,87.5419801457291,11.1986633593947,76.3433167863343,34.238,,6.36,20.7184203102962
1960,44.07,13.599,48.0209291276321,,83.7343302821923,10.8756725213493,72.858657760843,33.978,,6.255,
