date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.7111984282908,,73.8779147482549,6.32942224862617,67.5484924996287,25.274,26.4,,24.0098441345365
2017,30.015,5.334,50.7227696068988,1.065,74.0224910858501,6.39319781793801,67.6292932679121,25.163,27.2,3.82,23.4216570959803
2016,30.424,5.396,50.7336720248917,1.066,74.2175763645468,6.45405608412619,67.7635202804206,25.062,27.9,3.859,22.8326497128794
2015,30.814,5.45,50.7409784308518,1.067,74.8154357006996,6.51149295593024,68.3039427447693,24.961,28.6,3.898,22.2420016406891
2014,31.174,5.489,50.7442551385436,1.068,73.7602802415239,6.49507141022855,67.2652088312954,24.861,29.1,3.939,21.647908121411
2013,31.502,5.514,50.7440470392032,1.069,73.1610056273025,6.50850842745908,66.6524971998435,24.761,29.5,3.979,21.0529122231337
2012,31.794,5.527,50.7452756457786,1.07,73.151367519588,6.57630835640871,66.5750591631793,24.661,29.7,4.019,20.4675143560295
2011,32.048,5.529,50.7524994024512,1.07,73.2666409608272,6.68137611927509,66.5852648415521,24.561,29.6,4.06,19.9059064807219
2010,32.262,5.526,50.7725979611881,1.07,72.7698946752487,6.74517261556466,66.024722059684,24.462,29.4,4.1,19.3774405250205
2009,32.437,5.523,50.8078386407463,1.07,72.815293508365,6.50814738090413,66.3071461274609,24.286,29.2,4.14,18.8881870385562
2008,32.578,5.526,50.8558077436582,1.07,72.7575363845344,6.23899622508053,66.5185401594538,23.985,29.0,4.18,18.4334700574241
2007,32.696,5.541,50.9094885721576,1.07,72.89972899729,6.00066175080355,66.8990672464864,23.687,28.8,4.221,18.0042657916325
2006,32.797,5.571,50.9662793463912,,73.67457385443,5.82993065007453,67.8446432043554,23.392,28.7,4.261,17.5857260049221
2005,32.887,5.621,51.0134650853872,,75.2692494514513,5.7300303167345,69.5392191347168,23.099,28.5,4.301,17.1683347005742
2004,32.971,5.692,51.0515718463867,,76.2115640268642,5.74921013104056,70.4623538958236,22.809,28.4,4.34,16.7454470877769
2003,33.054,5.781,51.078608765581,,77.3221511203009,5.78153687100052,71.5406142493004,22.521,28.3,4.378,16.3214930270714
2002,33.144,5.885,51.1022188761751,1.07,78.5882027904407,5.82861352857209,72.7595892618686,22.235,28.4,4.416,15.9081214109926
2001,33.25,5.999,51.1212468751486,,79.9053024900881,5.89197257955637,74.0133299105318,21.953,28.5,4.454,15.522477440525
2000,33.384,6.118,51.1472502757293,,81.1373228747417,5.96472673501963,75.1725961397221,21.673,28.8,4.492,15.1740771123872
1999,33.558,6.237,51.1770450019034,,82.0331800196831,6.07865191106469,75.9545281086184,21.382,29.0,4.531,14.8699753896637
1998,33.774,6.351,51.2121671807492,,83.0238153998026,6.18213228035538,76.8416831194472,21.073,29.3,4.573,14.6010664479081
1997,34.029,6.458,51.2500214387395,1.07,84.0634305977923,6.27781928382772,77.7856113139646,20.766,34.2,4.616,14.3495488105004
1996,34.319,6.556,51.2808567385468,,85.0372828757381,6.35532951165898,78.6819533640791,20.464,30.0,4.662,14.0871205906481
1995,34.632,6.646,51.3038100391886,,85.8345858014322,6.40526920696667,79.4293165944656,20.164,30.5,4.708,13.7947497949139
1994,34.951,6.731,51.3215295379216,,86.7415321250185,6.46596352300008,80.2755686020184,19.868,31.1,4.754,13.4642329778507
1993,35.262,6.816,51.3355827798401,,87.5347788826147,6.54488677052394,80.9898921120907,19.574,31.9,4.798,13.1045118949959
1992,35.555,6.906,51.3481466206114,1.07,88.3016807232571,6.61731691038165,81.6843638128754,19.285,32.9,4.841,12.7292863002461
1991,35.828,7.005,51.3774068127231,,89.1563543261628,6.68942493536484,82.466929390798,18.998,34.2,4.883,12.3639048400328
1990,36.084,7.117,51.4282790380351,1.07,90.1520458732259,6.75514387275888,83.396902000467,18.715,35.7,4.926,12.02403609516
1989,36.337,7.241,51.5143451376391,,89.9462594445036,6.65105884856869,83.2952005959349,18.435,37.5,4.971,11.7140278917145
1988,36.6,7.379,51.6246886641449,,89.8438351684291,6.55456230240925,83.2892728660198,18.011,39.5,5.022,11.4286300246103
1987,36.883,7.53,51.7582215689877,1.07,89.9563074947304,6.46453648254394,83.4917710121864,17.573,41.9,5.078,11.1631665299426
1986,37.186,7.697,51.9069389719373,,90.3272893799104,6.38836813257581,83.9389212473346,17.143,44.7,5.141,10.9101722723544
1985,37.509,7.88,52.0574817869204,,90.8890651158692,6.31920580374189,84.5698593121273,16.722,47.9,5.209,10.6631665299426
1984,37.843,8.081,52.2178847455493,,90.4782608695652,6.18440779610195,84.2938530734633,16.31,51.6,5.282,10.4223954060705
1983,38.18,8.3,52.3793805801325,,90.1546233925291,6.06246172688304,84.092161665646,15.905,55.7,5.356,10.1894175553733
1982,38.509,8.535,52.5404042900213,1.07,90.0092347665482,5.9368592402448,84.0723755263034,15.508,60.0,5.43,9.95857260049221
1981,38.825,8.786,52.6799723314157,,90.1005500585339,5.81490450149943,84.2856455570345,15.12,64.3,5.503,9.72444626743232
1980,39.12,9.052,52.7976262565096,,90.480663074464,5.70468139799298,84.7759816764711,14.74,68.7,5.575,9.48293683347006
1979,39.385,9.332,52.8766782474254,,90.7480848756016,5.69961358551963,85.048471290082,14.368,72.9,5.645,9.23289581624282
1978,39.623,9.626,52.9264970703036,,91.0670625218302,5.69856793573175,85.3684945860985,14.074,77.0,5.716,8.97497949138638
1977,39.843,9.928,52.9433365346591,1.07,91.441035440026,5.68734902837365,85.7536864116523,13.845,80.9,5.787,8.71205906480722
1976,40.056,10.237,52.9611075513097,,91.7853618574168,5.67688841721127,86.1084734402056,13.619,84.6,5.858,8.45004101722724
1975,40.275,10.545,52.978580655498,,91.9737778034104,5.63661879770075,86.3371590057097,13.395,88.3,5.929,8.19187858900738
1974,40.52,10.843,53.0116871441414,,92.3706913688228,5.66334035701507,86.7073510118077,13.175,91.9,5.999,7.93880229696473
1973,40.805,11.13,53.0512325464805,,92.6532541460307,5.69038860689258,86.9628655391381,12.958,95.7,6.067,7.69048400328138
1972,41.144,11.408,53.0792273297945,1.07,92.8987169683066,5.72478545330954,87.173931514997,12.744,99.9,6.134,7.44946677604594
1971,41.549,11.68,53.0518565650139,,93.1441613448329,5.75416419777471,87.3899971470582,12.533,104.0,6.202,7.21985233798195
1970,42.035,11.957,52.9306346194392,,93.3224645064873,5.77179992301248,87.5506645834749,12.325,108.5,6.272,7.00385561936013
1969,42.614,12.253,52.7050168837434,,93.7184638385348,5.55503644178658,88.1634273967483,12.12,113.0,6.348,6.80287120590648
1968,43.276,12.578,52.3787087895057,,94.0969799061485,5.33750451209241,88.7594753940561,11.918,117.8,6.433,6.61665299425759
1967,44.003,12.938,52.0017833259028,1.07,94.3718120140643,5.1082058138959,89.2636062001684,11.718,122.5,6.526,6.43962264150943
1966,44.774,13.333,51.6624777463609,,94.5080965475099,4.90121193604237,89.6068846114676,11.522,127.3,6.626,6.26702214930271
1965,45.559,13.76,51.4205310497119,,94.4902715583837,4.68745908293398,89.8028124754498,11.329,132.0,6.73,6.09269893355209
1964,46.326,14.208,51.2965222696766,,94.9633674876315,4.72843277731217,90.2349347103193,11.138,136.6,6.836,5.91591468416735
1963,47.048,14.664,51.3039002630676,,95.1890609739082,4.75233710059997,90.4367238733082,10.95,141.1,6.938,5.73798195242002
1962,47.703,15.119,51.3946867670703,1.07,95.253592926471,4.77520808732467,90.4783848391463,10.765,145.5,7.033,5.56144380639869
1961,48.277,15.567,51.5098934550989,,95.1672310342779,4.79118398384126,90.3760470504367,10.583,149.7,7.12,5.39007383100902
1960,48.771,16.007,51.6164486803059,,94.8271642704191,4.77821963903334,90.0489446313857,10.404,153.7,7.197,
