date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,47.562863038826,,63.9393753639624,31.6210500505716,32.3183253133908,95.721,,,305.648571428571
2017,12.8,7.8,47.5917704902382,1.06,62.9702218170769,30.5120024308721,32.4582193862048,95.603,,2.08,306.48
2016,13.0,7.6,47.6270879241431,1.06,61.9053356023071,29.3540954474948,32.5512401548123,95.48,,2.09,307.171428571429
2015,13.2,7.3,47.6531681753216,1.06,60.7213202817238,28.1156738689268,32.6056464127969,95.35,,2.11,307.742857142857
2014,13.2,7.1,47.6894973693474,1.06,58.9334119033589,26.5674720094284,32.3659398939305,95.213,,2.09,308.24
2013,13.1,6.9,47.7132872445491,1.06,57.1000668857417,24.9789164509844,32.1211504347573,95.07,,2.07,308.697142857143
2012,13.1,6.7,47.7445889086843,1.06,55.3062601380934,23.4041026082712,31.9021575298221,94.919,,2.05,309.117142857143
2011,13.8,6.6,47.7909900372422,1.06,53.6056737588652,21.8921985815603,31.713475177305,94.761,,2.16,309.405714285714
2010,14.8,6.6,47.8545708199008,1.06,52.0216616627851,20.4958051572715,31.5258565055136,94.594,,2.3,309.594285714286
2009,15.3,6.6,47.9439182077883,1.06,51.0471094762363,19.3788404464323,31.668269029804,94.419,,2.37,309.728571428571
2008,15.8,6.7,48.0529821175986,1.06,50.3349282296651,18.341307814992,31.993620414673,94.239,,2.44,309.711428571429
2007,16.4,6.7,48.1599731137624,1.06,49.8464730290456,17.3941908713693,32.4522821576764,94.053,,2.51,309.54
2006,13.2,5.8,48.256192656282,,49.4614313100804,16.5211634738715,32.9402678362089,93.861,,2.03,309.631428571429
2005,14.8,6.1,48.3168059665495,,49.1699332920707,15.7348187882539,33.4351145038168,93.664,,2.24,309.868571428571
2004,14.5,5.8,48.3441258094357,,49.255559225011,15.0456847203875,34.2098745046235,93.461,,2.17,309.905714285714
2003,14.0,5.8,48.3397013492811,,49.4737712144589,14.4754242891779,34.998346925281,93.251,,2.07,310.017142857143
2002,15.1,5.7,48.3188400456907,1.06,50.012442281638,14.000331794177,36.0121104874609,93.036,,2.21,310.028571428571
2001,13.1,5.6,48.2955956904563,,51.117205663293,13.597193412315,37.520012250978,92.814,,1.9,310.14
2000,14.4,6.0,48.285661730893,,52.7587176602925,13.2269403824522,39.5317772778403,92.586,,2.06,310.405714285714
1999,16.1,5.3,48.2898550724638,,53.2498871076993,12.711673063897,40.5382140438022,92.228,,2.129,310.282857142857
1998,18.0,5.0,48.3072472846865,,54.1083928495364,12.2761930454784,41.832199804058,91.811,,2.185,310.105714285714
1997,17.2,5.3,48.3293787449337,1.06,54.9130055613536,11.9318912891189,42.9811142722347,91.374,,2.266,309.591428571429
1996,17.6,5.2,48.3754713310296,,54.9349271872492,11.6572067423461,43.2777204449031,90.917,,2.367,308.842857142857
1995,18.7,5.025,48.4346481916043,,53.8074179743224,11.3808844507846,42.4265335235378,90.437,,2.481,308.051428571429
1994,19.8,4.85,48.5052793458487,,53.6458258765588,11.029822325941,42.6160035506178,89.934,,2.599,306.622857142857
1993,20.9,4.675,48.5935874397049,,52.8533524560775,10.6360702760846,42.2172821799928,89.409,,2.712,304.508571428571
1992,22.0,4.5,48.6883916217377,1.06,52.1320534776289,10.2306906327802,41.9013628448487,88.86,,2.812,302.034285714286
1991,21.1,4.5,48.7721927599723,,52.404426413064,9.87363492271227,42.5307914903518,88.285,,2.895,299.448571428571
1990,21.4,4.625,48.8275263842706,1.06,53.8611809974841,9.57969513097528,44.2814858665088,87.685,,2.954,297.037142857143
1989,21.7,4.75,48.8618856878755,,56.1757113931094,9.35592067638376,46.8197907167257,87.059,,2.987,288.688571428571
1988,22.0,4.875,48.8702487657576,,59.2227497121587,9.18253079507279,50.0402189170859,86.407,,2.999,288.434285714286
1987,22.3,5.0,48.8525965544528,1.06,62.0925637359636,9.03789619110347,53.0546675448602,85.726,,2.997,288.288571428571
