date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.7223557252367,,72.6539033436178,5.40975708371987,67.2441462598979,76.164,20.3,,758.984551495017
2017,29.905,3.469,50.730478154327,1.05,73.4810108836353,5.36763228360071,68.1133786000346,75.894,20.8,3.738,740.000830564784
2016,30.572,3.478,50.7375458512345,1.05,74.3446637116101,5.32684674067482,69.0178169709353,75.628,21.3,3.844,725.429900332226
2015,31.246,3.488,50.741969813387,1.05,75.1909109446035,5.28433453283898,69.9065764117645,75.368,21.7,3.955,709.317607973422
2014,31.885,3.495,50.7428024081466,1.05,76.3251644784095,5.24083221934736,71.0843322590622,75.113,22.1,4.067,693.255481727575
2013,32.45,3.501,50.7404717780299,1.05,77.5978873181147,5.18738855772955,72.4104987603851,74.863,22.4,4.174,677.194019933555
2012,32.921,3.505,50.7369201795938,1.05,78.9915127398847,5.12676023400229,73.8647525058824,74.619,22.6,4.272,661.129235880399
2011,33.291,3.508,50.7348323498778,1.05,80.4649625846499,5.06623499935166,75.3987275852982,74.381,23.0,4.36,645.014285714286
2010,33.564,3.511,50.7366052935769,1.05,81.9752176184555,5.01117230633027,76.9640453121253,74.149,23.3,4.437,628.930398671096
2009,33.754,3.515,50.7433893155694,1.05,83.8839902103967,4.97236081965497,78.9116293907418,73.923,23.8,4.504,612.807142857143
2008,33.903,3.521,50.7544029961428,1.05,85.9229253441175,4.94510528367144,80.977820060446,73.704,24.3,4.567,596.673920265781
2007,35.855,3.675,50.7676777518402,1.05,88.0691052972619,4.92451396378651,83.1445913334754,73.491,24.9,4.631,580.481063122924
2006,36.7,3.9,50.7795253467583,,90.2675885305476,4.89782079511318,85.3697677354345,73.276,25.6,4.699,565.836212624585
2005,37.3,4.0,50.7874887226115,,92.4690955842885,4.85700440191565,87.6120911823729,73.061,26.2,4.776,551.560797342193
2004,38.1,4.1,50.790056257346,,94.4059064882115,4.82160586852754,89.5843006196839,72.845,26.9,4.867,537.645514950166
2003,38.8,4.2,50.7877117890634,,96.1707467059468,4.77026034694272,91.4004863590041,72.627,27.6,4.973,524.08122923588
2002,39.6,4.3,50.7821373005605,1.05,97.6836853283144,4.70532954855165,92.9783557797627,72.409,28.4,5.094,510.859302325581
2001,40.2,4.4,50.7751877091448,,99.0190402846748,4.63333510369918,94.3857051809756,72.189,29.2,5.231,497.970764119601
2000,40.9,4.5,50.7687788712749,,100.325426080566,4.55788464135605,95.76754143921,71.969,30.0,5.383,485.407475083056
1999,41.4,4.6,50.7630130505521,,101.432087066594,4.49589488646409,96.93619218013,71.747,31.0,5.55,473.161295681063
1998,42.1,4.8,50.7573757991671,,102.203169627967,4.44231472270489,97.7608549052622,71.524,32.1,5.727,461.223920265781
1997,42.7,4.9,50.7517741954578,1.05,102.731937951631,4.39677818284779,98.335159768783,71.187,33.2,5.907,449.587707641196
1996,43.06,5.16,50.7456972274546,,102.978486443244,4.35886777358609,98.6196186696575,70.705,34.5,6.085,429.899833887043
1995,43.42,5.42,50.7384470977836,,102.822190676952,4.32721151103666,98.4949791659154,70.216,35.8,6.251,411.074086378738
1994,43.78,5.68,50.7303236285923,,102.898702332098,4.3070672911204,98.5916350409776,69.724,37.3,6.396,393.072757475083
1993,44.14,5.94,50.7218159746659,,102.89455325422,4.30156797268288,98.5929852815375,69.227,38.8,6.515,375.859800664452
1992,44.5,6.2,50.7123386353662,1.05,102.837830236439,4.30587066169164,98.5319595747473,68.726,40.5,6.607,359.40049833887
1991,44.86,6.46,50.7025102692834,,102.750418957457,4.31266476543282,98.4377541920246,68.219,42.3,6.674,343.66196013289
1990,45.22,6.72,50.6926900299556,1.05,102.623118058749,4.3127297532876,98.3103883054616,67.709,44.4,6.718,328.612624584718
1989,,,,,,,,,46.7,,
1988,,,,,,,,,49.3,,
1987,,,,,,,,,52.2,,
1986,,,,,,,,,55.2,,
1985,,,,,,,,,58.6,,
1984,,,,,,,,,62.2,,
1983,,,,,,,,,66.1,,
1982,,,,,,,,,70.2,,
1981,,,,,,,,,74.5,,
1980,,,,,,,,,79.2,,
1979,,,,,,,,,84.1,,
1978,,,,,,,,,89.5,,
1977,,,,,,,,,95.0,,
1976,,,,,,,,,101.0,,
1975,,,,,,,,,107.4,,
1974,,,,,,,,,,,
1973,,,,,,,,,,,
1972,,,,,,,,,,,
1971,,,,,,,,,,,
1970,,,,,,,,,,,
1969,,,,,,,,,,,
1968,,,,,,,,,,,
1967,,,,,,,,,,,
1966,,,,,,,,,,,
1965,,,,,,,,,,,
1964,,,,,,,,,,,
1963,,,,,,,,,,,
1962,,,,,,,,,,,
1961,,,,,,,,,,,
1960,,,,,,,,,,,
