date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.3883425069152,,73.886313625798,5.00143874673079,68.8848748790672,36.642,55.0,,53.9778529083092
2017,31.04,5.978,50.3948059859289,1.05,74.9874141528291,4.99000550457931,69.9974086482498,36.016,55.0,3.89,52.7204594958047
2016,31.627,5.972,50.4004790893474,1.05,76.0248697997486,4.97384980545282,71.0510199942958,35.394,55.0,3.994,51.4578669242571
2015,32.197,5.969,50.4047701021829,1.05,76.9528232901823,4.94744750259607,72.0053757875863,34.777,55.0,4.103,50.1882474383014
2014,32.735,5.974,50.4075165988421,1.05,78.0700719431505,4.93746081108039,73.1326111320701,34.165,55.0,4.214,48.9108945584029
2013,33.229,5.992,50.4088183167912,1.05,79.1121469233186,4.92024568891958,74.1919012343991,33.559,55.0,4.326,47.6298066178003
2012,33.68,6.03,50.4088680602795,1.05,80.1697247861765,4.89875805781203,75.2709667283645,32.958,55.0,4.439,46.3533496221376
2011,34.091,6.094,50.4080128073464,1.05,81.412294156957,4.88078991303367,76.5315042439233,32.364,55.1,4.554,45.0926908725875
2010,34.472,6.189,50.4066447579415,1.05,82.9364168919117,4.87175646289848,78.0646604290133,31.776,56.0,4.674,43.856383885448
2009,34.834,6.32,50.4047393942495,1.05,84.9210311510343,4.91287265043765,80.0081585005967,31.194,58.0,4.801,42.6472337443415
2008,35.201,6.488,50.4024250885557,1.05,87.3160852294483,4.97388826736771,82.3421969620806,30.619,61.0,4.94,41.4647536791863
2007,35.591,6.691,50.4004602087892,1.05,89.9974164119086,5.0493881342066,84.948028277702,30.051,64.6,5.09,40.3100839062826
2006,36.021,6.927,50.3999149637503,,92.6482501050653,5.12753154310555,87.5207185619598,29.49,68.4,5.253,39.1833740553441
2005,36.491,7.197,50.4017124825985,,95.0191547841764,5.19797382837403,89.8211809558023,28.936,72.5,5.425,38.0843779002595
2004,36.996,7.499,50.40428665243,,97.7317629286983,5.3195041875613,92.412258741137,28.39,76.7,5.601,37.0098641968294
2003,37.532,7.827,50.4070134102179,,100.171081167396,5.43870679254231,94.7323743748542,27.849,81.1,5.778,35.9584824895354
2002,38.111,8.175,50.4129326874175,1.05,102.380068543077,5.55337622332319,96.826692319754,27.315,85.6,5.954,34.9332177964657
2001,38.754,8.534,50.4265594708983,,104.622501725803,5.66356754954295,98.9589341762597,26.787,90.3,6.13,33.9382408091369
2000,39.517,8.894,50.4502164417619,,107.106696089044,5.76790179502434,101.338794294019,26.267,94.9,6.313,32.9736007727712
1999,40.466,9.248,50.4905190584781,,109.227247154542,5.93822527496306,103.289021879579,25.752,99.3,6.514,32.0494516733905
1998,41.623,9.59,50.5442391162815,,111.266467878727,6.10674444893368,105.159723429793,25.244,103.3,6.738,31.1576604731329
1997,42.977,9.918,50.5902097663974,1.05,113.041629861013,6.26874954659702,106.772880314416,24.743,106.7,6.986,30.2586662120954
1996,44.49,10.229,50.5969963425562,,114.204783845183,6.41798451948164,107.786799325701,24.249,109.4,7.251,29.2995321703885
1995,46.095,10.52,50.5400309106367,,114.500012513315,6.54761373956253,107.952398773753,23.76,111.7,7.525,28.2465196886187
1994,47.704,10.787,50.3987063018963,,115.836613691821,6.31448629253974,109.522127399281,23.225,113.9,7.795,27.0803511563157
1993,49.224,11.038,50.174313166079,,116.672398372407,6.09129876214226,110.581099610265,22.636,116.4,8.048,25.8235808852776
1992,50.578,11.286,49.8938757651308,1.05,117.131001977018,5.88025085253153,111.250751124487,22.058,119.2,8.272,24.5357785480236
1991,51.72,11.546,49.6105998580571,,117.467702341299,5.68544503091662,111.782257310382,21.489,122.3,8.459,23.3008011818853
1990,52.621,11.833,49.3747174954165,1.05,117.884616350734,5.51227941495248,112.372336935781,20.931,125.9,8.606,22.1792772316609
1989,53.281,12.164,49.2158812281681,,117.426172652577,5.62353241112464,111.802640241452,20.385,130.0,8.713,21.1928272439722
1988,53.756,12.552,49.1316169881568,,116.963000569558,5.72647348603633,111.236527083522,19.849,134.8,8.786,20.3247570884709
1987,54.096,13.01,49.1052644224342,1.05,116.429696496462,5.81831136056173,110.6113851359,19.323,140.2,8.833,19.5504346837889
1986,54.329,13.548,49.0978867332817,,115.677178996862,5.89550933838751,109.781669658474,18.808,146.4,8.858,18.8289277799875
1985,54.477,14.177,49.0762909559692,,114.587730971267,5.95396087813469,108.633770093133,18.373,153.7,8.864,18.1301494403091
1984,54.56,14.903,49.0327228316096,,114.137501844894,6.07275216361044,108.064749681284,17.993,162.4,8.853,17.4500142053526
1983,54.593,15.719,48.9771475132994,,113.560540647527,6.17864657048456,107.381894077042,17.619,172.4,8.828,16.7990037312726
1982,54.599,16.612,48.9104331094683,1.05,112.843753449651,6.26806745031942,106.575685999332,17.251,183.5,8.793,16.1782014129591
1981,54.603,17.572,48.8387560352069,,111.996091730002,6.33692913402049,105.659162595981,16.889,195.4,8.752,15.5916245241207
1980,54.636,18.588,48.7682738003725,,111.006990792304,6.38053269454765,104.626458097756,16.534,207.9,8.71,15.042328162585
1979,54.722,19.648,48.6952095512484,,110.40414570314,6.49390160264675,103.910244100493,16.183,220.6,8.671,14.5267609902078
1978,54.863,20.74,48.618003883646,,109.679971945225,6.5859149193708,103.094057025855,15.84,233.3,8.636,14.0427637933974
1977,55.052,21.848,48.550163595718,1.05,108.76173011083,6.65351632146283,102.108213789367,15.502,246.0,8.605,13.5967479212834
1976,55.28,22.96,48.5117991763424,,107.554444035038,6.69437259972185,100.860071435316,15.171,258.5,8.578,13.1976078186261
1975,55.531,24.07,48.51879206432,,105.962432706301,6.70517542959593,99.2572572767051,14.844,270.6,8.554,12.8505312801864
1974,55.779,25.179,48.5799931010589,,103.737930907325,6.74520155615239,96.992729351173,14.524,281.9,8.531,12.5575297838892
1973,55.994,26.287,48.6908321718112,,101.457563952424,6.75411719825677,94.7034467541668,14.209,292.9,8.504,12.3128511089645
1972,56.151,27.39,48.8368883353652,1.05,99.0713951065855,6.7316534338133,92.3397416727722,13.901,304.0,8.471,12.1040475784609
1971,56.233,28.478,48.9954242733373,,96.4546214595325,6.67741430750017,89.7772071520324,13.598,315.5,8.432,11.9142470216111
1970,56.227,29.54,49.1485181191075,,93.5178507820848,6.59129114303748,86.9265596390474,13.3,327.3,8.386,11.7305604485103
1969,56.128,30.572,49.2908364416712,,91.9150315790799,6.64156918045481,85.2734623986251,12.815,339.4,8.334,11.5480709131201
1968,55.948,31.563,49.4241616512753,,90.1211838614115,6.66397200252403,83.4572118588874,12.347,351.9,8.278,11.3677898365437
1967,55.705,32.5,49.5454286170336,1.05,88.2462739475047,6.65968853307842,81.5865854144263,11.891,363.9,8.222,11.1897910866148
1966,55.413,33.365,49.6528255964634,,86.4737566005251,6.63075852738156,79.8429980731436,11.451,375.1,8.166,11.0162452412069
1965,55.089,34.136,49.7451091136215,,84.8561444909796,6.57694342181404,78.2792010691656,11.026,385.0,8.114,10.8486296569881
1964,54.75,34.79,49.8186506730894,,84.8064307535675,6.67142528628699,78.1350054672805,10.614,393.9,8.067,10.6854499308673
1963,54.413,35.321,49.8724708090154,,84.9942904702455,6.7459342488556,78.2483562213899,10.216,402.0,8.026,10.524776028941
1962,54.089,35.732,49.9125358466009,1.05,85.2090799184273,6.79826527770681,78.4108146407205,9.831,409.4,7.991,10.3673901926246
1961,53.786,36.031,49.9482480548055,,85.0400906083088,6.82581678031019,78.2142738279986,9.459,,7.962,10.2146637119533
