date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.50679223966,,88.8068442098964,3.96433176464188,84.8425124452545,43.521,57.8,,23.3414789007116
2017,36.699,6.633,49.5013293296011,1.031,90.4623107843285,3.97077308855825,86.4915376957702,42.976,59.4,4.718,22.6713945573656
2016,37.292,6.864,49.4930072504886,1.031,91.9718415609738,3.9751710189338,87.99667054204,42.438,62.0,4.814,22.0120085015941
2015,37.95,7.169,49.4803698131601,1.031,93.2039950061814,3.97366528445627,89.2303297217252,41.907,64.6,4.918,21.3607406610258
2014,38.645,7.565,49.4621064062355,1.031,94.4515884803011,4.01381032483785,90.4377781554632,41.382,66.9,5.026,20.7155772878301
2013,39.339,8.055,49.4390700169115,1.031,95.4412120350326,4.04803402023506,91.3931780147976,40.865,70.7,5.132,20.0789679710515
2012,40.002,8.637,49.4143025705648,1.031,96.2133378114547,4.07570991268613,92.1376278987686,40.354,74.3,5.233,19.4583206661376
2011,40.62,9.304,49.3929380878072,1.031,96.8820672571222,4.09742965946877,92.7846375976535,39.851,77.2,5.328,18.8638440118915
2010,41.194,10.051,49.3790894684149,1.031,97.5176562642901,4.1133107546066,93.4043455096835,39.355,80.3,5.415,18.3026190828502
2009,41.738,10.869,49.3747324092318,1.031,97.6789903474132,4.19706301323635,93.4819273341769,38.861,85.1,5.496,17.7768587148065
2008,42.272,11.736,49.3795594220071,1.031,97.7588359060315,4.27083285234729,93.4880030536842,38.371,90.4,5.574,17.2837003457136
2007,42.803,12.625,49.3924237768374,1.031,97.731903231709,4.33311556340181,93.3987876683071,37.881,95.4,5.65,16.8188407161786
2006,43.327,13.51,49.4110576745358,,97.5223856282855,4.38168676638046,93.140698861905,37.395,101.4,5.724,16.3756762937355
2005,43.823,14.376,49.4332353483953,,97.0640298488609,4.4144182178044,92.6496116310565,36.911,109.6,5.794,15.9488922369147
2004,44.268,15.211,49.4591598855856,,96.9125823215061,4.50122258016837,92.4113597413377,36.43,119.2,5.859,15.5377957734164
2003,44.642,16.007,49.4890883150895,,96.6525674079318,4.57115414649929,92.0814132614325,35.951,130.5,5.915,15.1424460915536
2002,44.935,16.743,49.5207672390724,1.031,96.2959305223526,4.62340451493067,91.672526007422,35.475,142.1,5.963,14.7590067124928
2001,45.143,17.395,49.551210102096,,95.8528199586028,4.65757514699687,91.1952448116059,35.002,153.1,6.003,14.3830196801141
2000,45.271,17.929,49.57817545451,,95.3200934001106,4.67283708461441,90.6472563154962,34.802,162.4,6.036,14.0114125828973
1999,45.328,18.313,49.5994700097549,,95.8439916591298,4.74800772594637,91.0959839331834,35.258,169.0,6.065,13.6409704192954
1998,45.338,18.538,49.6152830281618,,96.3271520922777,4.80882804752058,91.5183240447571,35.716,172.9,6.093,13.272274310927
1997,45.325,18.604,49.628709647506,1.03,96.7441594451088,4.85380112163909,91.8903583234698,36.176,175.4,6.121,12.9105973984046
1996,45.307,18.515,49.6447652718384,,97.0737093624082,4.88170175269792,92.1920076097103,36.638,177.9,6.153,12.5637054574315
1995,45.302,18.274,49.6673265463346,,97.2795841616925,4.89086695078294,92.3887172109096,37.104,180.8,6.189,12.2366550532022
1994,45.324,17.893,49.6981818530296,,97.8826162499632,4.9524978560229,92.9301183939403,37.572,183.6,6.231,11.9314760758148
1993,45.376,17.405,49.7359667042647,,98.4580018721315,5.00115432063244,93.4568475514991,38.042,185.7,6.278,11.6446091553559
1992,45.46,16.853,49.7763314861325,1.031,98.9362022658635,5.03489655789298,93.9013057079705,38.514,187.0,6.329,11.3686584430783
1991,45.578,16.275,49.8132456501794,,99.2050307950924,5.05106185517453,94.1539689399179,38.989,186.9,6.384,11.0933103754422
1990,45.725,15.711,49.8417103519053,1.031,99.1939145667913,5.04711149621631,94.146803070575,39.407,185.8,6.442,10.8110749404754
1989,45.894,15.199,49.8598692948862,,100.198375517251,5.0758429871477,95.1225325301032,39.456,183.8,6.502,10.5196532102934
1988,46.071,14.754,49.8686148294283,,101.003100912179,5.09692929803835,95.9061716141409,39.506,181.2,6.563,10.2211154306622
1987,46.249,14.39,49.8687546920554,1.032,101.600397467539,5.10880865284864,96.4915888146903,39.556,177.9,6.624,9.91785872825838
1986,46.428,14.119,49.8626200072338,,101.999113088056,5.10963593932256,96.8894771487335,39.606,173.6,6.685,9.61402359461386
1985,46.615,13.942,49.8520037416505,,102.211190044051,5.09758093676998,97.1136091072815,39.655,168.8,6.746,9.31294340790164
1984,46.82,13.846,49.8367914154747,,103.029350085768,5.12967564577278,97.899674439995,39.705,164.4,6.81,9.01483743391759
1983,47.053,13.806,49.8163117736802,,103.634364451174,5.15633271182474,98.4780317393497,39.755,160.8,6.877,8.71940165996314
1982,47.317,13.8,49.7933486959271,1.033,104.038858751311,5.17548992695016,98.8633688243609,39.805,158.3,6.946,8.42877090087303
1981,47.606,13.819,49.7710706265076,,104.275664732884,5.18548829728055,99.0901764356034,39.854,156.9,7.017,8.14561132111005
1980,47.912,13.862,49.7526238854318,,104.343547673497,5.18353930675461,99.1600083667427,39.815,156.3,7.087,7.8718102207455
1979,48.225,13.928,49.7399907534195,,104.578488608665,5.21069149519111,99.3677971134743,38.818,155.6,7.156,7.60857557944013
1978,48.53,14.025,49.7333794906203,,104.769385223234,5.23133001229381,99.5380552109402,37.832,154.5,7.219,7.35584551850307
1977,48.81,14.157,49.7311606295853,1.033,104.853759957352,5.24250397015574,99.6112559871963,36.855,153.7,7.276,7.11275104588439
1976,49.055,14.322,49.7299828294467,,104.669451196275,5.24092826193473,99.4285229343402,35.89,154.2,7.323,6.87771290977818
1975,49.25,14.52,49.7272154778235,,104.07949851253,5.22319478630058,98.8563037262296,34.934,156.2,7.359,6.64964957828327
1974,49.381,14.752,49.7220383048501,,104.053987118108,5.23538233189233,98.8186047862156,33.992,159.9,7.382,6.42828663285758
1973,49.451,15.017,49.715415942119,,103.770477196196,5.23776882040587,98.5327083757897,33.061,164.8,7.393,6.21416214907384
1972,49.469,15.305,49.7077809398209,1.032,103.260783984439,5.22859575754018,98.0321882268986,32.146,170.3,7.392,6.00784783222804
1971,49.447,15.61,49.700455590886,,102.638812585943,5.20546904065656,97.4333435452869,31.241,175.9,7.383,5.81017231870216
1970,49.41,15.919,49.6943572505026,,101.981650365171,5.16589150583872,96.8157588593319,30.351,180.7,7.367,5.62163467358991
1969,49.387,16.22,49.689549995798,,101.598842351633,5.16387311910793,96.4349692325248,29.37,184.2,7.349,5.44228466888174
1968,49.401,16.504,49.6858279627403,,101.150687265909,5.15212036379744,95.9985669021115,27.791,186.4,7.332,5.27162323948399
1967,49.459,16.768,49.6838365223518,1.032,100.574439476567,5.12881450099234,95.4456249755743,26.261,187.7,7.317,5.10885672392688
1966,49.559,17.012,49.6848547496397,,99.7589516921396,5.09277620050792,94.6661754916317,24.789,188.7,7.304,4.95292511333217
1965,49.68,17.241,49.6893122634412,,98.6137781110446,5.04140865064761,93.572369460397,23.372,190.1,7.291,4.80294865413847
1964,49.793,17.462,49.6983868438856,,97.8942670762592,5.03545078032859,92.8588162959306,22.015,192.1,7.274,4.65867579601555
