date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,47.6432479348024,,82.9511160396955,5.37788690267276,77.5732291370227,32.209,46.2,,37.3245909267158
2017,31.732,8.044,47.6030405857466,1.02,83.466235010062,5.31352836747823,78.1527066425838,32.237,49.3,3.707,36.8017190125372
2016,32.864,8.286,47.5698162082767,1.02,83.5767369337361,5.25356371682446,78.3231732169117,32.296,50.4,3.804,36.2682952048598
2015,33.981,8.673,47.5493899878115,1.02,83.1385878661296,5.20881872769948,77.9297691384301,32.385,54.3,3.896,35.7105570634613
2014,34.978,9.277,47.5458370716678,1.02,82.8400447805121,5.26310973176775,77.5769350487444,32.504,57.5,3.974,35.1213157554608
2013,35.768,10.115,47.5583612688719,1.02,82.3502640456828,5.34119007478346,77.0090739708993,32.654,62.3,4.03,34.5104200594546
2012,36.292,11.167,47.5826313524917,1.02,81.775796659295,5.4310711400853,76.3447255192097,32.834,69.8,4.058,33.9023678428331
2011,36.526,12.384,47.6109912866306,1.02,81.2300119889415,5.50796990536748,75.722042083574,33.015,79.0,4.059,33.3315652061523
2010,36.464,13.679,47.6386326750738,1.02,80.7720693230025,5.55316064749076,75.2189086755118,33.196,86.3,4.034,32.8233759855241
2009,36.134,14.942,47.6600954548923,1.02,80.287931802717,5.63499451377543,74.6529372889415,33.378,92.7,3.988,32.381977510663
2008,35.624,16.066,47.6790963292455,1.02,79.906227365577,5.66774672465729,74.2384806409197,33.56,97.0,3.931,32.0009021584594
2007,35.021,16.964,47.7108042480695,1.02,79.6756201091372,5.66016990126867,74.0154502078685,33.743,100.1,3.873,31.6813286803671
2006,34.384,17.586,47.7768245738389,,79.6946187072651,5.63278112423825,74.0618375830269,33.926,101.3,3.819,31.4217164275559
2005,33.764,17.91,47.8912901433231,,80.0440155005407,5.60131682737155,74.4426986731691,34.11,101.0,3.775,31.2180405842058
2004,33.196,17.954,48.0614789909842,,80.1294213891916,5.59198049552738,74.5374408936643,34.294,101.5,3.744,31.0712472534574
2003,32.694,17.788,48.2773432867485,,80.490273033507,5.57540630264107,74.9148667308659,34.479,101.9,3.725,30.9738244797725
2002,32.274,17.48,48.5152739689415,1.021,81.0293313707407,5.54944264489643,75.4798887258443,34.585,102.9,3.718,30.9016156132868
2001,31.963,17.057,48.7425764678118,,81.5600696523291,5.50675784730694,76.0533118050222,34.17,103.7,3.725,30.8230942225669
2000,31.776,16.534,48.935839822002,,81.9971861340898,5.4424639478217,76.5547221862681,33.758,104.8,3.748,30.7133953728835
1999,31.717,15.913,49.0867077818458,,83.1517883091139,5.42754403152337,77.7242442775905,33.347,105.4,3.786,30.5615070440739
1998,31.77,15.197,49.2010737307547,,84.061820074602,5.39882114665722,78.6629989279448,32.939,105.9,3.839,30.365960966783
1997,31.926,14.403,49.2879413767176,1.03,84.7897107267779,5.35566642320326,79.4340443035747,32.534,105.6,3.907,30.1234121752617
1996,32.185,13.563,49.3628790382988,,85.5514549542561,5.29727305101082,80.2541819032453,32.132,104.1,3.989,29.833829649735
1995,32.56,12.707,49.4372003311622,,86.5080875045766,5.2226352058162,81.2854522987604,31.732,101.2,4.088,29.4964818405067
