date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,550.0,,19362969582.3643,,,,,,,0.791838824045186
2017,550.0,2.58346697515129,20191764940.1602,,5.90481551542003,45.3320652802564,92.8442946350037,19.174225458679,36.6526417130882,1.94772264230163
2016,570.0,2.58346697515129,19362642266.6484,,5.93336084187306,41.7256945837375,95.0459668635448,17.8087896337255,40.871971837749,5.10271288797584
2015,600.0,2.58346697515129,19907111418.9938,,11.6879840129778,43.4375425849813,97.0518196357479,19.454687306501,37.0225695736427,2.44756300761806
2014,630.0,2.96506691517966,20484873230.2111,,15.7823773876924,51.4135473635928,95.1889025781649,18.1568547742439,44.5892994893339,0.566944539835859
2013,660.0,2.77723292183783,20561054090.3995,,19.5915817114032,55.1523271838943,95.6211164339328,17.3435142294074,42.0936844468805,4.82278547610282
2012,630.0,2.14040046141085,20001615788.6719,,18.9665412856843,62.6202604187823,98.9666649663947,16.9062545747092,42.3292514484608,7.30175647720745
2011,530.0,2.84362727858496,17804280538.1102,,21.9049520576614,66.8747089278908,109.256975176756,16.6745915347705,59.4847758807514,16.593346721495
2010,510.0,2.82280574228932,15856574731.4411,,18.5741706990603,62.750313922893,114.542405261751,17.9590715577026,50.8630045999057,3.81463032579354
2009,450.0,2.77913410863613,12439087076.7667,,22.7003233834436,66.6645503895639,113.64344003216,17.991435632502,44.3178392396772,-2.16340443766715
2008,,2.73546247498294,10109218067.7904,,26.9485914693821,73.1213663789153,129.527143105654,19.021320461268,50.7192978736512,2.09628874762085
2007,,2.69179084132976,9747886104.53251,,19.1176988860867,62.2757565321969,127.711915814153,20.0689206069945,24.2432588226125,22.5277562093884
2006,,2.64811920767656,6971286731.72065,,25.3178084241677,74.5044012766033,129.576804271896,26.4079729673325,20.5781737687622,7.19975129286274
2005,,2.60444757402337,6209140044.00519,,28.448347745716,70.7746463367921,133.764176088788,23.1937584422833,,10.9127735387642
2004,,2.56077594037019,5226775163.30205,,30.9215873752968,60.6639232936629,139.652624108861,19.0053396706726,,11.2714320716706
2003,,2.51710430671699,4515563413.82564,,44.3689481305496,71.9935934893108,147.518576003766,12.7588962980393,,11.6552382203402
2002,,2.4734326730638,4055176933.36905,,32.7798412726062,70.3293615651536,132.122532141816,12.5572857809519,,
2001,,2.42976103941062,,,,,,,,
2000,,2.38608940575742,,,,,,,,
1999,,2.34241777210423,,,,,,,,
1998,,2.29874613845105,,,,,,,,
1997,,2.25507450479785,,,,,,,,
1996,,2.21140287114466,,,,,,,,
1995,,2.16773123749148,,,,,,,,
1994,,2.12405960383828,,,,,,,,
1993,,2.08038797018509,,,,,,,,
1992,,2.03671633653191,,,,,,,,
1991,,1.99304470287871,,,,,,,,
1990,,1.94937306922552,,,,,,,,
1989,,1.90570143557234,,,,,,,,
1988,,1.86202980191914,,,,,,,,
1987,,1.81835816826595,,,,,,,,
1986,,1.77468653461277,,,,,,,,
1985,,1.73101490095957,,,,,,,,
1984,,1.68734326730638,,,,,,,,
1983,,1.64367163365319,,,,,,,,
1982,,1.6,,,,,,,,
1981,,1.7,3478787909.09091,,,,,,,
1980,,1.6,3641723321.99546,,,,,,,
1979,,1.4,3697940409.61098,,,,,,,
1978,,1.5168933,3300000108.88889,,10.8417502819894,13.8720537510231,89.1582441287852,13.8720537510231,,
1977,,1.4,2953333417.77778,,11.6629043316852,14.8231754979077,90.7449203549233,12.4153493064084,,
1976,,1.5168933,2555555566.66667,,13.2173912468809,14.8695654136106,88.0000023130435,13.6521735928166,,
1975,,1.2,2366666615.55556,,12.6760568934735,14.2723007777117,91.8309912789792,9.76525842685535,,
1974,,1.5168933,2155555497.77778,,14.0206189325114,14.8453612226592,92.0618589624828,8.76288652354129,,
1973,,1.3,1733333264.44444,,12.9487180787311,14.7435907141683,94.4871828578239,7.30769221351084,,
1972,,1.0,1595555475.55556,,14.7632312416105,18.1058497936081,96.7966654382729,6.54596174882259,,
1971,,1.0,1831108971.11111,,10.922342255116,16.1407951985264,99.7572720464235,5.46117106687832,,
1970,,1.0177784,1748886595.55556,,9.78400228346932,11.9441077843955,96.6963193019079,5.46379407704636,,
1969,,,1408888922.22222,,10.0946369851427,14.9842272480072,98.4227106051409,6.46687681860701,,
1968,,,1373333366.66667,,8.89967664482985,15.2103564269331,99.8381881916297,6.4724917522858,,
1967,,,1673333417.77778,,6.77290842314672,14.2098270385479,102.257630297756,5.1792826071544,,
1966,,,1399999966.66667,,8.57142877551021,18.571428537415,101.587304006047,8.41269813681027,,
1965,,,1006666637.77778,,11.2582791310323,21.4128034842526,98.8962500787003,11.2582791310323,,
1964,,,800000044.444444,,8.88889256172819,18.0555553858025,95.2777674845685,13.8888936728392,,
1963,,,751111191.111111,,9.171601094149,16.8639103340214,93.4911172613011,14.2011896117076,,
1962,,,546666677.777778,,4.87805112036481,9.34959330590257,85.365849890938,19.1057020506971,,
1961,,,548888895.555556,,4.45344326574765,8.09716629841498,87.0445260682851,16.5991981789571,,
1960,,,537777811.111111,,4.13223321494422,7.02479336623182,86.776852059286,16.115709744894,,
