date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,4860.0,,15102500898.238,,31.684671361915,45.3977304984143,90.7845100351186,,23.3498809150361,0.948346996304977
2017,4290.0,3.56614561464118,13025064966.5784,,31.5566461436108,46.6046658345331,91.2081653171189,25.0491546881442,23.8578046961991,1.47425449846867
2016,4320.0,3.56614561464118,11861353752.0672,80.7355748396923,28.9778966171154,45.8319596013561,92.2303679781187,25.2238237155864,23.956727318777,-0.632442183836105
2015,4390.0,3.12386722184533,11386927679.0875,79.8644448747259,27.2673995792754,44.533630789045,91.8054252448075,25.8190571426811,24.446183930057,0.563959683755755
2014,4540.0,3.15222306414807,13228244336.3241,73.3202469198429,28.2130089398471,47.194856652916,92.2392481418198,25.6746994382152,24.3826719044142,1.54987863303229
2013,4540.0,3.18057890645081,12776277648.9159,70.5807880900052,28.9163218930758,46.9574108831978,91.0548918221819,28.0525037301323,24.1607792110922,0.288750097139086
2012,4360.0,3.15806057935409,12319784701.3346,63.6691535959585,28.9374874447688,47.5727135741334,88.8116978147944,28.3285503845414,23.0075910689151,1.04242630814653
2011,4410.0,3.13554225225737,12890867535.5568,69.637669633181,29.2415353404806,51.9770285969179,89.273593950375,31.4135795486733,23.011105560955,2.3147855249635
2010,4360.0,3.11302392516065,11926962834.9645,,27.9794229573262,48.5639322813542,89.2666555548885,30.3086556401064,,4.49310579945856
2009,4280.0,3.09050559806393,12044223457.8287,,25.2407163937091,49.8541021639417,91.972025288865,34.5578017875208,,2.4226468843527
2008,4030.0,3.06798727096721,12881353984.6426,,25.3024171795277,52.149331449969,93.4726867822479,35.7784225511283,,4.11718476789898
2007,3460.0,3.04546894387049,10677321490.3807,,28.2478724381783,54.9542283486494,92.244376277695,34.4619785970732,,4.38989968361267
2006,3050.0,3.02295061677377,8896073938.31407,,25.2096048388566,49.0574768907541,88.1503562764921,35.6975146295823,,2.48066573879643
2005,2620.0,3.00043228967705,8052075642.10781,,23.0129851376812,47.8593431301091,87.9766931889361,36.8696660470205,,3.30349111296084
2004,2100.0,2.97791396258033,7184681398.5698,,22.2175743136482,44.8296538946938,88.415311184197,34.1967670412024,22.7939358918943,3.15694393888282
2003,1650.0,2.9553956354836,5611492282.86582,,20.8474012180999,46.1732072912239,91.4289207420595,33.8968868065619,22.9013925627137,5.19710539886991
2002,1370.0,2.93287730838688,4348070165.19261,,20.9456069096275,47.5794310075998,91.3697797687765,35.2640459672128,24.831867131436,3.64414991674875
2001,1280.0,2.91035898129016,3922099470.97313,,21.3334180260315,45.1576284276827,88.8355305959382,34.9886815804971,,3.81393291822263
2000,1100.0,2.88784065419344,3480355188.60063,,20.1152859466058,43.3387884520677,92.4272413238502,30.7962591863962,,5.6437820728261
