date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,,,3236543909.34844,,,,,,,0.895994650439661
2017,,2.44,3013387423.93509,,,,,,,1.06376941763638
2016,,2.44,2877311946.90265,,,,,,,0.699897362379005
2015,,2.44,2811489408.89431,,,,,,,-0.455465514725034
2014,,2.44,3350736367.25488,,,,,,,-0.100367069065967
2013,,2.44,3281585236.32501,,,,,,,0.000360615916989104
2012,,2.78,3164615186.94591,,,,,,,1.09991362054735
2011,,3.12,3442062830.13622,,,,,,,2.49986769633944
2010,,3.01,3355695364.23841,,,,,,,1.59994278580142
2009,,3.14,3660530702.97305,,,,,,,-1.37827172324023e-05
2008,,2.86466716052782,4007353156.58415,,,,,,,1.9800730558791
2007,,2.45733358026392,4016972351.49192,,,,,,,3.86981071081807
2006,,2.05,3543256805.92147,,,,,,,3.20049242714123
2005,,1.54,3255789080.96008,,,,,,,3.09959688839577
2004,,1.49,2935659299.72684,,,,,,,3.35036855287724
2003,,1.74857142857148,2398645598.19413,,,,,,,2.87986344921434
2002,,2.00714285714287,1733116883.11688,,,,,,,3.40040785278457
2001,,2.26571428571436,1496912751.67785,,,,,,,2.76951809893593
2000,,2.52428571428576,1434429703.33518,,,,,,,29.2262783030586
1999,,2.78285714285715,1239876305.13531,,,,,,,2.73197763564346
1998,,3.04142857142864,1211932397.81713,,,,,,,1.49955688927319
1997,,3.3,1180597272.72727,,,,,,,2.22816016825726
1996,,3.3,1223945356.62682,,,,,,,0.797176302646577
1995,,3.3,1178738991.19295,,,,,,,4.93312352666111
1994,,3.3,1017549124.33238,,,,,,,3.87985279924578
1993,,3.3,1007025755.00065,,,,,,,4.53723174638985
1992,,3.3,1210013651.87713,,,,,,,6.7107711637175
1991,,3.3,1106928582.86629,,,,,,,6.93514904139276
1990,,3.3,1029048481.88051,,,,,,,7.32624365429172
1989,,3.3,795449332.396346,,,,,,,6.89620714766018
1988,,3.3,721425939.15155,,,,,,,5.93612498877994
1987,,3.3,611316399.407088,,,,,,,5.94419881012041
1986,,3.3,482000594.03588,,,,,,,10.8788152564796
1985,,3.3,346737964.774951,,,,,,,8.59546376147419
1984,,3.3,330070689.298282,,,,,,,10.8647343709055
1983,,3.3,327861832.946636,,,,,,,11.8842352505511
1982,,3.3,375895956.383462,,,,,,,13.5823498290084
1981,,3.3,388958731.302938,,,,,,,12.3511732158075
1980,,3.3,446416105.825017,,,,,,,13.3548138463662
1979,,3.3,411578334.159643,,,,,,,16.931689072909
1978,,3.3,308008897.569444,,,,,,,20.631041405079
1977,,3.3,254020153.340635,,,,,,,23.3830925590869
1976,,3.3,227281024.620741,,,,,,,16.4898572117254
1975,,3.3,220127246.376812,,,,,,,16.7817954081357
1974,,3.3,186558696.279204,,,,,,,15.94520129743
1973,,3.3,150820102.798401,,,,,,,11.8494338564742
1972,,3.3,113408231.944085,,,,,,,8.51807771267011
1971,,3.3,89409820.3592814,,,,,,,7.84587099216796
1970,,3.3,78619206.0850963,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
