date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,3370.0,,105750987618.63,,,,,,,34.8448720732219
2017,3560.0,3.57,122123822333.591,,29.0041000519815,23.2527213968366,70.1183167626424,24.1303045822126,16.6711371453949,22.6145047599887
2016,3770.0,3.57,101123851090.455,,28.124484560559,25.2456707179877,69.9064777187567,27.2147084386719,17.5116635351029,21.7742995129639
2015,4520.0,3.57,116193649124.151,,29.7545994933756,33.1339212916755,69.1768326702311,34.2024891287855,20.8188318427411,-3.51839026018669
2014,5010.0,3.57,145712200312.505,,44.6950312503076,34.6378962589621,62.4424031366128,27.5004618720416,27.967359355335,3.56082279298968
2013,4780.0,3.57,136709862831.194,,50.7470843910637,36.0648463922967,59.1747926563501,26.1429693456408,28.2092383291269,2.83974416372304
2012,4170.0,3.57,128052853643.106,,55.9401314050624,35.8599672014052,53.2522569399204,26.6675788564223,23.4498303836786,7.25571028111005
2011,3420.0,3.57,111789686464.441,,60.6699484390186,39.3125594147723,52.2182572858415,26.4243536899122,26.6713218932877,31.7715427854015
2010,3240.0,3.57,83799496611.2004,,61.5431127231538,42.5805172359653,52.8400957822127,28.1973097641434,25.6491744238504,31.6891691992944
2009,3170.0,3.3125000000001,70307163678.238,,58.7573030189496,63.6888393251959,62.1106774918708,42.8208588143755,25.5005040191697,-16.7610820511749
2008,3030.0,3.05500000000007,88538611205.1433,,72.475028472181,48.8896794334592,45.6105973341597,30.8040531755393,22.3855332282409,19.3699205957861
2007,2460.0,2.79750000000005,65266452081.386,,67.9057833724671,40.1542845215112,46.5179217930882,25.730579355956,20.8230172371605,4.30841552965401
2006,1810.0,2.54,52381006892.038,,63.4678635039226,31.1572958281252,44.388661401761,23.3007709224417,19.0326436506387,17.1180976102743
2005,1370.0,2.61500000000001,36970918699.2523,,65.5262677696291,41.0646943598961,47.9818468001013,27.5565797901657,20.8255646807053,42.3755606018204
2004,1010.0,2.68999999999999,23552052407.5488,,58.3803455316586,45.1995788304369,55.925542659498,30.8936687341035,16.145436704097,33.4401786487082
2003,710.0,2.765,17812705294.325,,54.3213373807344,49.5798894342136,64.8074388096826,30.4511106101187,25.9032756131845,93.9268544397287
2002,590.0,2.84,15285594828.418,,57.0849959046266,48.2167466955221,60.6384273766316,30.4931731253335,21.1229588884631,196.98410524691
2001,390.0,2.915,8936063723.20121,,75.38894373114,74.946850958953,69.0646882869939,30.4932189408191,29.0157756429379,106.352125501451
2000,360.0,2.99,9129594818.60749,,89.6858311851382,62.8612782697202,42.6822281083192,30.4932189762628,21.8300194095745,418.018991534099
1999,330.0,2.99979,6152922942.98032,,,,,,19.6524460019801,557.501113091215
1998,410.0,2.8,6506229607.29432,,,,,,,39.3593483252693
1997,450.0,4.4182264,7648377412.83277,,,,,,,95.4530221791129
1996,360.0,4.4182264,7526446605.51712,,,,,,,4800.53164415744
1995,370.0,4.4182264,5538749259.94714,,,,,,,1825.49514900731
1994,180.0,4.4182264,4438321017.39068,,,,,,,2175.97895508759
1993,290.0,4.4182264,5768720421.61367,,,,,,,917.783468411763
1992,330.0,4.4182264,8307810973.58848,,,,,,,476.51575086326
1991,900.0,4.4182264,10603784541.197,,,,,,,106.309982271022
1990,780.0,4.4,11228764963.1618,,,,,0.0,,14.0074398234429
1989,850.0,5.0011017,10201099039.5655,,,,,0.0,,16.2796626876656
1988,650.0,5.0011017,8769250549.73596,,,,,0.0,,2.21377444879207
1987,660.0,5.3,8083872012.47326,,,,,0.0,,9.82331135214172
1986,680.0,6.7,7072063345.44786,,,,,0.0,,-9.01306192046172
1985,590.0,4.8,7553560459.10428,,,,,0.0,,19.0352057383646
1984,,5.0181138,6131475065.23832,,,,,,,0.00118811155769549
1983,,5.0181138,5784341596.36339,,,,,,,0.0127635595984543
1982,,5.0181138,5550483035.90815,,,,,,,0.0
1981,,5.0181138,5550483035.90815,,,,,,,-2.10030616508335
1980,,5.0181138,5930503400.83228,,,,,,,
1979,,5.0181138,,,,,,,,
1978,,5.0181138,,,,,,,,
1977,,5.0181138,,,,,,,,
1976,,5.0181138,,,,,,,,
1975,,5.0181138,,,,,,,,
1974,,5.0181138,,,,,,,,
1973,,5.0181138,,,,,,,,
1972,,5.0181138,,,,,,,,
1971,,5.0181138,,,,,,,,
1970,,5.0181138,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
