date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,15890.0,,1610574074.07407,,,,,,,2.16464421557525
2017,14440.0,2.25,1467977777.77778,,,,,,,-0.93103432387862
2016,13460.0,2.25,1436585185.18519,,42.3844610934366,47.8009709238472,,,,1.87238795788298
2015,12970.0,2.25,1336692592.59259,,45.0510131418897,50.1547074454084,,,,3.01750370241561
2014,12730.0,2.25,1249733333.33333,,47.2693433858482,59.4200836919283,,,,1.91150380003631
2013,12610.0,2.25,1181448148.14815,,46.1768513845218,61.0088591841149,,,,-0.946544450222504
2012,12780.0,2.25,1199948148.14815,,45.2797343095072,58.5011049860179,,,,2.03571198150144
2011,12370.0,2.25,1137637037.03704,,47.2695352940794,56.3771820733033,,,,1.01541519384145
2010,12690.0,2.25,1148700000.0,,45.6023233993984,59.1041950804291,,,,1.51797928736939
2009,13560.0,2.25,1224253000.0,,45.8747920992245,57.7067902721996,,,,1.78800965331556
2008,15230.0,2.42714285714283,1368431037.03704,,45.6996845102791,69.5839149447118,,,,4.3802137095918
2007,15070.0,2.6042857142857,1311401333.33333,,44.3258153364696,71.0973921139942,,,,3.73882516466873
2006,13800.0,2.78142857142853,1157005444.44444,,47.3783263032118,70.7354653441722,,,,0.408265974713373
2005,12410.0,2.95857142857141,1022191296.2963,,53.3431826651277,66.7898974479844,,,,4.46041552002252
2004,11440.0,3.13571428571429,919577148.148148,,58.067244514115,64.4142156642608,,,,1.64142497359063
2003,10530.0,3.31285714285712,855643111.111111,,54.0690294724817,62.4969894855782,,,,-0.963104283076532
2002,9670.0,3.49,814615333.333333,,52.5235996412576,58.2409402592835,,,,0.70149598731102
2001,9850.0,3.46,800740259.259259,,55.6152970859788,60.7653926896441,,,,1.48386455692646
2000,10140.0,3.43,830158777.777778,,56.2376666275398,60.0441227508151,,,,1.55207876991182
1999,9610.0,3.4,766198925.925926,,61.7110796727144,69.084177008282,,,,1.50361610721872
1998,9270.0,3.577647,727860592.592593,,64.0095101646449,67.3098979678445,,,,2.11012131746719
1997,9080.0,3.6947179,680617111.111111,,65.1304355491765,70.2728275679228,,,,1.82737735261323
1996,8700.0,3.6947179,633730629.62963,,63.5162959469811,73.7484736913867,,,,2.9771328688918
1995,8140.0,3.6947179,577280740.740741,,69.5688213835235,76.0333569006158,,,,2.40313856382149
1994,8450.0,3.6947179,589429592.592593,,74.0477344103989,71.5820737927484,,,,3.24532706328023
1993,7960.0,3.6947179,535172777.777778,,82.0828718174435,74.4619338925851,,,,1.81286883247496
1992,7470.0,3.6947179,499281148.148148,,81.5706076981343,77.402392817941,,,,2.46161027283209
1991,7230.0,3.6947179,481706333.333333,,76.7818351906583,74.292228606164,,,,2.6061698817371
1990,6820.0,3.6947179,459469058.888889,,75.1519592712122,74.120172549337,,,,1.65025687618774
1989,6450.0,3.6947179,438794788.518519,,66.3036673747456,77.2368131935569,,,,4.58070660707766
1988,6040.0,3.7,398637727.777778,,66.6083281695666,71.1924587725438,,,,12.3705948660197
1987,4880.0,2.9,337174861.851852,,67.3197236408799,89.9071902274969,,,,8.87644453181306
1986,3970.0,2.6581167,290440140.740741,,70.8898542975095,101.040772881638,,,,8.12494016857713
1985,3610.0,2.6581167,240923924.814815,,62.9582477531324,77.7008759689975,,,,7.41125986556004
1984,3170.0,2.4,208372846.296296,,62.2388623057332,70.7830195796554,,,,3.84423976878807
1983,2690.0,2.6,182144092.962963,,51.6237601231183,64.3507616439391,,,,5.17248241319943
1982,2470.0,3.0,164369278.888889,,56.9224149399658,89.9172261966327,,,,11.2726970971492
1981,2430.0,3.2,147841734.444444,,61.6449998909369,80.4614177468652,,,,8.35261346856635
1980,2180.0,2.9,131431026.666667,,56.3624736536927,72.5856005385639,,,,11.3987792060249
1979,1740.0,3.5,109079978.888889,,69.1609418237844,63.8063929870173,,,,14.8454882953594
1978,,3.0,87879341.4814815,,52.4709338210368,49.4448992440485,,,,8.63528208599602
1977,,3.9,77496753.7037037,,40.7137723116574,44.9194442959582,,,,
1976,,3.0105895,,,,,,,,
1975,,3.0105895,,,,,,,,
1974,,3.0105895,,,,,,,,
1973,,3.0105895,,,,,,,,
1972,,3.0105895,,,,,,,,
1971,,3.0105895,,,,,,,,
1970,,3.0105895,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
