date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,6367.23688163545,,2774314967156.43,,47.3689892164231,39.5637909145932,,25.862139786193,,7.67646295070851
2017,6190.11947109447,4.9671541923395,2586506133266.57,,44.8153441642637,41.9588536392147,,27.9481604947181,,5.59763888375429
2016,6654.8175132629,4.96024442655325,2510521024647.25,,40.9188853662409,41.8792716750981,,29.5950763323985,,0.530513585198534
2015,7084.89762885197,4.96333988074389,2557895226891.44,,44.0408012585799,44.9710548273974,,29.7336772117626,25.8775642006399,-3.93199880204979
2014,7544.46029866996,4.95482587976664,2908896274932.46,,51.1017429905637,42.2678992144471,,26.0542405089997,24.2993729297477,0.266076692589223
2013,7448.25814655791,4.94315117218566,2867811095547.36,,54.6292779611628,39.798393312431,,25.0057112453686,,1.71941431991975
2012,7000.06560561131,4.90902384215482,2787510179585.82,,56.5032072022853,37.6296676565132,,24.0904409320141,22.5692161307925,4.50061324459567
2011,6053.44500402669,4.95587949585626,2502201781996.08,,55.2672370723582,37.0454093662067,,24.7035557500669,,15.5293905558533
2010,5780.96849268377,4.84426211451978,2110267956841.91,,50.8843527431687,38.1590689802176,,27.4918775455859,,12.4901759424146
2009,5511.36720748321,4.82209153599042,1796484471978.15,,47.6796837019087,42.2770118804995,,29.4581330436614,,-8.70527002029664
2008,5447.45329283168,4.81409755772186,2078956299035.21,,57.2075029563128,40.7725793809933,,27.6184760364462,,15.3070455335187
2007,4639.24966099652,4.78064631867725,1638456504453.91,,53.9583869605102,39.5952366747337,,26.6283987343825,,7.46654927922877
2006,4032.61502092386,4.85681513402619,1404826177655.73,,53.9276613182077,35.7408621291914,,23.411956768215,,9.41874355146707
2005,3515.58165660345,5.08522432726862,1185227002367.58,,52.7956648737588,36.372607132511,,22.3113439476692,,12.8506997184085
2004,3077.68274856335,5.05356262648864,964319999129.738,,49.0052596228669,36.1017086523521,,21.9668965164413,,11.2138480392846
2003,2688.60609707773,5.14652844134327,823290269190.974,,45.6864371919807,34.2727363303948,,22.3550262197215,,5.9446613903885
2002,2478.77574453062,5.10531463695272,729106974590.004,,41.6738266484849,32.011377484457,,21.7433083970686,,3.97074773282307
2001,2497.63537975502,5.19794428018336,723369627609.964,,40.8717841583691,31.4797546248455,,22.6539723979568,,0.714601020982407
2000,2408.08665264983,5.20966626613237,735131486172.863,,42.621663025164,28.0829674440056,,20.2497639993545,,10.442344704719
1999,2284.37295079033,5.18100494648587,643960199015.505,,36.3269658290841,29.9934749165484,,20.4864044504068,,6.62689397577544
1998,2311.82210733697,5.18100070443421,591579002605.555,,33.1171845649038,33.1563035869078,,23.2698454606391,,-1.71524486687987
1997,2310.54524557217,4.17335782880239,613346331359.527,,37.3229887677113,30.8439244427453,,20.3830397146684,,4.73548255995039
1996,2245.25152508368,4.37023716826638,578295690139.621,,32.5559950406598,28.8625310291669,,21.0240269832761,,5.06481964069891
1995,2152.07754895535,4.7036857554737,523791440533.342,,31.4097829398157,30.342938117481,,22.474342802145,,7.11122212649723
1994,2113.61751047106,5.00533128688416,487505088036.203,,29.6822539722772,29.2221230629014,,22.4219773815628,,7.87371705849506
1993,,4.9569370728371,476989331833.637,,28.7279456588701,31.6988586387886,,23.7339819855973,,4.69134334377286
1992,,4.72299061718451,471510788825.999,,30.5584809472958,33.6537337963635,,23.2861914455471,,5.40526535010804
1991,,4.37756328419078,440404687634.223,,28.9646295439091,40.0583058080838,,24.0169332451177,,7.86471109233668
1990,,4.59902192717825,446670961697.296,,32.3412193716252,33.7652110333246,,20.9330110368938,,14.121404167389
1989,,4.60707557229003,322628415960.827,,29.7219306433164,36.1562900397994,,,,8.70352882235993
1988,,4.41101639298742,307664324720.93,,27.9745126069047,32.6604980563773,,,,5.38319482606504
1987,,4.47433433905989,312834602128.541,,27.6844402749369,31.2258219335386,,,,8.84202042193579
1986,,4.28780188528237,293430656655.125,,24.2805948680023,32.2306142870949,,,,6.2452809438732
1985,,4.67842678690737,307396012668.241,,29.5745778344967,34.4560519795377,,,,4.09732531021858
1984,,4.31968081111232,310544238979.355,,32.2741178677803,38.7090085015494,,,,6.98120274567067
1983,,4.18706771988581,306140805808.354,,34.0559310533781,40.3450173694651,,,,6.97019803491197
1982,,3.51929302764584,325886186037.853,,39.4358146168788,42.5652339087999,,,,6.52970585465911
1981,,3.0921867287662,347413172457.862,,47.0975533366058,39.3252571366742,,,,11.7111853722947
1980,,3.04492291799146,336972590486.056,,50.52535564624,34.2654190798573,,,,17.4722936584549
1979,,3.84655652918618,248499691122.841,,44.9699205894637,35.1990354253823,,,,13.9878379203218
1978,,3.59686231173154,183595498971.626,,39.7068475473413,38.112763499297,,,,8.41721327900066
1977,,3.40584254733891,167172518304.102,,43.5963976905015,36.7015450336501,,,,9.7947149122414
