date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,4230.0,,12433089919.0459,,37.806510148503,53.4824517351464,92.6742640508341,22.3955102116331,22.12084600425,2.5831073082371
2017,3950.0,2.44962342770082,11527458565.7334,,37.3295031193586,49.5006382701548,92.3485450148713,19.2896862684694,22.6297249923647,2.15064189848613
2016,3760.0,2.44962342770082,10546135160.031,,33.1480049458355,42.7698750822308,90.7504686673468,18.0155086734171,25.7115181584805,0.268575076501392
2015,4010.0,2.69289900175431,10553337672.9872,,29.7279964768255,41.8652688700677,91.1917147345291,20.7305301265762,25.0779813488419,1.21390990471085
2014,4140.0,2.1,11609512939.7543,,28.5651387020776,47.0465461367346,97.6330390280979,20.8718657726733,23.9875580530759,2.30918242990974
2013,4110.0,2.55,11121465767.4067,,28.3591264995539,48.1970692931673,99.1056093962861,22.263532692302,22.6371817977093,3.36682464224465
2012,3880.0,2.96,10619320048.5857,,27.5667218763657,48.4000215166647,98.0741928818982,25.3279058835773,21.3736421560682,5.34580441550033
2011,3530.0,2.90712074285715,10142111334.4961,,23.756853460251,47.3540169556703,96.432330841397,26.7203688692606,22.5680163171222,4.28154999813803
2010,3470.0,2.85424148571429,9260284937.79782,,20.830109172506,45.3172006368297,95.0680721681421,25.9688254679415,22.9973623470093,7.76871548351161
2009,3330.0,2.80136222857144,8647936747.98704,,15.4744750451275,43.0043948229768,93.7079261827619,33.8220254254849,23.8619179943921,2.5569350529141
2008,3600.0,2.74848297142858,11662040713.8753,,15.0471063000578,40.6557586180882,81.7991823167334,43.8094812113443,21.1396851697465,5.98956235908277
2007,2760.0,2.69560371428572,9206301700.39619,,19.1856344208336,39.1508112607459,81.8041653539342,38.1609987846759,17.0424253804612,4.23277038320515
2006,2020.0,2.64272445714286,6384451606.1421,,23.3589858676515,39.250207195284,82.3408402517019,33.5503886055131,17.1482192993136,4.61985766366242
2005,1540.0,2.58984520000001,4900469950.09033,,28.809242612927,43.2297140699714,86.0489738888944,28.3715020267015,18.1464405215631,3.2398362489533
2004,1170.0,2.53696594285715,3576615240.41616,,29.7348131660371,45.3023970182795,92.6487204508054,22.9188424364764,16.9559988456693,6.30953272428904
2003,960.0,2.48408668571429,2807061008.69084,,32.152669630067,50.0350015421852,93.49071029587,24.3916400818469,,4.561098398377
2002,800.0,2.43120742857144,2376335048.39976,,29.3565730576275,46.5868758962113,99.0717091591701,18.1586156982196,,2.36978781397931
2001,710.0,2.37832817142858,2118467913.37873,,25.4683994105505,46.1487972209334,104.836152903093,15.8442619158742,,4.0691399356898
2000,660.0,2.32544891428572,1911563665.39006,,23.3752591172072,50.5432601504278,108.935642165136,18.2323297796659,,-1.37367599633916
1999,610.0,2.27256965714286,1845482181.44801,,20.7582469526567,49.8022321913836,108.275136010629,20.7688804703858,,0.0538040795678114
1998,590.0,2.2196904,1893726437.26462,,19.0030199716737,52.8394319098677,111.15006136611,22.6863518699904,,10.6984977546442
1997,560.0,1.8385185,1639492424.36472,,20.2732693887542,58.2744756657506,114.735652131581,23.2656792922768,,17.735994497092
1996,520.0,1.7,1596968913.27897,,23.2400035043381,55.989556615586,111.654102542135,21.0954471662552,,19.5917703035531
1995,460.0,2.6743212,1468317350.06841,,23.9279208283617,62.1869362383961,117.450447827395,20.8085693442274,,161.163917589411
1994,400.0,2.6743212,1315158670.28285,,39.3280393523261,73.1013252499359,105.830589061408,27.9421579326358,,4107.29676980384
1993,330.0,3.5,1201313201.01272,,47.2189758700553,60.7541704101782,110.586216133567,9.8722030338445,,1391.16654316589
1992,310.0,3.5,1272577456.12712,,39.8207550211161,61.2560043844096,112.688997066314,1.6312582610658,,568.807295427439
1991,,3.5,2068526521.90299,,40.7453883799724,60.1204668088844,75.7937005897854,39.7791441837119,,79.3861043020338
1990,,3.5,2256838858.42714,,35.0029815146094,46.3327370304115,66.9250645994832,47.1476843569867,,
1989,,3.5,,,,,,,,
1988,,3.5,,,,,,,,
1987,,3.5,,,,,,,,
1986,,3.5,,,,,,,,
1985,,3.5,,,,,,,,
1984,,3.5,,,,,,,,
1983,,3.5,,,,,,,,
1982,,3.5,,,,,,,,
1981,,3.5,,,,,,,,
1980,,3.5,,,,,,,,
1979,,3.5,,,,,,,,
1978,,3.5,,,,,,,,
1977,,3.5,,,,,,,,
1976,,3.5,,,,,,,,
1975,,3.5,,,,,,,,
1974,,3.5,,,,,,,,
1973,,3.5,,,,,,,,
1972,,3.5,,,,,,,,
1971,,3.5,,,,,,,,
1970,,3.5,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
