date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,49310.0,,455285818035.125,,55.7558550041256,52.0344068166518,71.0846985965744,25.1104438198102,,1.70225038320027
2017,45120.0,5.20821584697537,417282900758.043,,54.0376710217349,50.7355052962123,71.7086371253984,24.765516495098,44.1817712365442,1.13280220909311
2016,46220.0,5.20821584697537,395227684138.862,,52.4510949085293,48.617590537647,71.9747099710772,24.1884635170849,45.0496755231064,1.66762932777441
2015,47450.0,5.20821584697537,381817565893.574,,53.0890605587958,49.3382548303838,72.444522561601,23.8055256927841,46.2775165820076,2.30097866680524
2014,50370.0,5.16586738058051,441996131736.508,,53.3865790462424,50.1169562048263,73.1992966328554,23.5315427854214,47.5011846905473,2.17570723682326
2013,50700.0,5.2824793644148,430068712971.867,,53.4412932967224,50.625120789651,73.5788067186523,23.7233900013028,46.6216192018652,1.62388806972808
2012,50060.0,5.21,409425234155.263,,53.9736761965302,51.1785012313079,73.3205055881469,23.9771068871648,46.1450516838,2.05423568508493
2011,50590.0,5.4,431120310088.82,,53.9486708516394,51.154117778086,73.2763073235476,24.1404744727559,45.5076838109706,1.83341024455663
2010,49610.0,5.4,391892746544.69,,51.2621603273359,47.7576359096203,73.9944630665627,22.6078471185073,46.4268063334548,0.873054962177932
2009,49000.0,5.55,400172297860.517,,45.2074165608437,41.8548144134358,74.165778550098,22.7753209387926,47.848356650487,1.88926417785875
2008,49110.0,5.07,430294287388.311,,53.2488606164087,48.8248221152974,71.0974067400365,24.4674607405705,44.5742404112228,1.95632228093217
2007,44510.0,5.01,388691445387.353,,52.560869422371,48.172384639555,70.7605311778234,24.5843049022429,43.9779149065683,2.22117586707647
2006,41460.0,5.07,335998557270.104,,50.8416688618235,47.2466423435202,72.47354003714,23.6103275858496,45.188096157763,1.89216106882701
2005,38720.0,5.09,315974418604.651,,48.6197522046932,45.4140534786122,73.1560004145232,23.825245637086,45.9123747815754,2.53779415754438
2004,33750.0,5.14,300904221504.842,,46.8672149740213,43.9251307189084,72.7533137642499,24.0610268875048,48.6070087732423,1.73971884960345
2003,28020.0,5.27,261695778781.038,,44.57041471914,41.8169676971425,73.0630176182897,24.4087464611563,46.0361198617491,1.30755257860011
