date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,21890.0,,37746196808.5106,,79.9361919652325,71.6572121891948,61.2574044024444,31.9040173837437,,4.66961725134007
2017,21180.0,2.91,35432686170.2128,,75.4449739504559,67.3850401082664,58.6245720646506,32.9421460680989,,5.84259464777918
2016,21610.0,2.91,32250132978.7234,,73.7428923680836,65.3889766247047,61.9406979189431,29.7603918835895,,0.133799316427414
2015,22660.0,2.91,31125877659.5745,,82.4167138754525,71.650547322856,62.7063408448706,26.5275780482991,,-9.36918250683611
2014,24070.0,2.91,33387686170.2128,,96.0508277593106,79.5171490317251,56.621795683687,26.8445255887275,,-1.67111123325951
2013,23790.0,2.91,32539547872.3404,,104.8045463499,87.0675372929994,56.3225436804805,25.9405289962215,,0.384304373047613
2012,22010.0,2.91,30749335106.383,,102.145436460743,83.7390533440007,53.4472722554976,28.1463446277596,,3.01465902110812
2011,18160.0,2.82249999999999,28776622340.4255,,99.418577247156,74.7365298183643,52.9150157901887,22.4029367810196,,9.73685491624711
2010,18970.0,2.735,25713271276.5957,,69.5373177399286,50.9350767827277,54.1112659143025,27.2864931284966,,7.43857517359882
2009,18830.0,2.6475,22938218085.1064,,68.4655938651118,49.4981315443774,54.8878404873405,26.1446971919251,,-12.9943850748683
2008,20860.0,2.56,25710877659.5745,,82.5774337999584,63.305228249075,45.7796342097941,34.9481602393225,,11.368304087826
2007,19660.0,2.53,21730000000.0,,79.6795292320647,58.1055213402395,43.7128540795645,34.7132604204404,,8.43563269466982
2006,17890.0,2.81,18504760638.2979,,84.6389442624741,62.4652368065147,47.438482621637,30.3879536462009,,8.84243671557729
2005,16550.0,3.00389923749997,15968723404.2553,,83.8940482059345,64.4194769029886,53.7901549571636,26.7352737398905,,13.7349678263372
2004,14570.0,3.19779847499997,13150159574.4681,29.3985591955441,78.6051459613386,62.1321640785849,63.0070826743466,20.5199354428997,20.1761162998588,10.991084622511
2003,12940.0,3.39169771249996,11074813829.7872,32.4533576041094,72.0630719982325,56.0285101569836,60.2296277974031,23.735810361348,21.8004721274312,8.6025806178363
2002,12060.0,3.58559694999996,9593510638.29787,28.3796671065326,72.5085662959226,58.6250679204693,62.7687709999002,23.3477306246465,24.1325585779394,3.41434955563082
2001,11500.0,3.7794961875,8976196808.51064,27.1047836328351,73.6107613220545,53.4155049554821,64.0953467356039,15.7093968978237,21.7389372009304,-3.363827919977
2000,10940.0,3.97339542499999,9062898936.17021,25.7450148929614,79.1806670285974,56.6284682992678,60.8727422123751,16.5750590582953,20.7445013425675,29.9912765533724
1999,9870.0,4.16729466249999,6621010372.34043,23.6915052697933,78.8672455861517,62.964453222111,76.1839757454901,7.90520216530236,24.9889546089156,2.65643374278032
1998,10070.0,4.3611939,6183776595.74468,21.1646810889854,64.6036729603028,63.8854285837168,77.859016816481,21.4227345060428,24.8634467334738,-7.05741056537718
1997,10310.0,3.7,6349202393.61702,16.9605823750437,79.07678217749,69.5052959617436,72.9820268511697,17.4464869330839,23.495160914206,0.931715111452334
1996,10790.0,3.5,6101861436.17021,15.8131027247135,87.9135242955814,76.2018949658674,73.8831048199061,14.4052658503799,22.9743286830113,0.196721928618146
1995,10380.0,3.6,5849467819.14894,16.986451622554,81.9905466031894,70.4737687766559,73.8746964569745,14.6085302631868,24.2884434067675,1.0906684880968
1994,9680.0,3.9,5567553457.44681,17.8800029674213,81.1932702210151,73.9849014051351,73.1584946422808,19.6331317649216,26.0437553241733,7.33118948628722
1993,10030.0,3.7,5200265957.44681,19.347414718969,83.8745972485041,80.7292998516852,78.5506060451082,18.3040965580729,26.6915562829233,-3.02581474199027
1992,9890.0,3.7,4751063829.78723,21.2998208687864,84.3819917151814,96.7420454545455,82.9433497536946,29.4167039856695,26.7129422301836,-3.53265229050334
1991,9800.0,3.5,4616223404.25532,16.3795586794953,85.0031629889958,95.6386472316644,82.0360661404621,28.5994123408423,25.3384801521,-1.88252486252679
1990,9070.0,4.5,4229787234.04255,8.72736418511066,115.555828722334,94.6051370724346,62.6194668008048,16.4298289738431,27.1189637826962,4.82669556670419
