date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,1750.0,,274024958965.892,,14.800958178109,23.4439348097981,77.165202097171,31.2349240448468,,5.5974306017424
2017,1520.0,1.24455028186433,249723862487.361,,15.0361076278794,20.2678924628174,74.6707485598856,30.5104546214646,,6.27868326675198
2016,1370.0,1.24455028186433,221415188000.475,,16.6497149603036,21.3045813926876,75.0222507376373,29.6525653284139,9.41891628073041,6.72784118978132
2015,1220.0,1.42959162892664,195078678697.23,,17.3366737865485,24.7493225204896,77.8415298617768,28.886689247008,9.00588487034226,5.87276420529186
2014,1110.0,1.61463297598892,172885454931.453,,18.9896599950107,25.5244202017989,77.9100576746867,28.5778757115563,9.50443649145954,5.66878852759376
2013,1040.0,1.79967432305119,149990451022.29,,19.5378741103687,26.7585286136071,77.9639056255853,28.3896207543569,9.50711961152747,7.17494866801481
2012,970.0,1.98471567011345,133355749482.478,,20.1615888634893,27.9493338841896,78.7762373676001,28.2623350089151,9.63853873257843,8.16459774560592
2011,890.0,1.96908303041871,128637938711.386,,19.9220749554939,27.4987748801959,79.377916333271,27.4209733686034,9.84388457755423,7.85944603491285
2010,800.0,1.77954151520932,115279077465.226,,16.0241126856916,21.7787299851405,79.1899761491198,26.2466561760577,9.26625106718959,7.14464872957153
2009,730.0,1.59,102477791472.39,,16.9401329056133,23.1526633174097,79.6675864216949,26.2060570157536,9.87158360325856,6.76435468601684
2008,660.0,1.71,91631278239.3237,,17.6588584820757,24.9620555504832,80.8105879536592,26.2022714003991,9.42878117115452,7.86096609206271
2007,610.0,1.79,79611888213.148,,16.9953348464905,22.9470478066831,79.2526162018641,26.1784970672047,8.66279314084748,6.4712601029623
2006,570.0,1.61,71819083683.7403,,16.3534635652888,21.7584608673034,78.5633867639926,26.1441457474299,8.33493730155715,5.87593581535381
2005,550.0,1.545,69442943089.4309,,14.3928418979283,20.0040929665367,78.9442862491544,25.8304355145863,8.1426283401405,4.58636070468232
2004,510.0,1.48,65108544250.0425,,11.1465089461353,15.7117252031078,78.8120868054287,24.9918339447004,7.60497659759871,4.56213637954043
2003,460.0,1.68,60158929188.2556,31.2044521104432,11.4311486959413,16.2267362042167,79.8143776904124,24.6791888612834,7.83605027787651,5.81581664836699
2002,440.0,1.25,54724081490.5102,31.863991518402,12.4099689322019,16.557411788963,79.1610612688542,24.3414161366729,7.88712372772849,3.89286743491381
2001,440.0,1.3,53991289844.3291,31.4618431575804,13.3865592080649,18.7114578649468,79.3684976504872,24.1743067306933,7.85279247057531,3.26116013153077
2000,440.0,1.28,53369787318.6245,,12.3442012279919,16.9775131339119,79.9812218392765,23.8085625731369,,3.44665934960476
1999,420.0,1.32,51270569883.5275,,11.7586423857313,16.6292981713845,81.272278607385,22.7213703034657,,3.78103773718787
1998,420.0,1.4927874,49984559471.3656,,11.7573312287186,16.1227321741207,81.3642891483229,22.1214128239602,,4.7362125615392
1997,400.0,1.3,48244309133.4895,,10.5203705573506,15.8051428327327,82.8599749906797,21.8162145054057,,3.80023220118157
1996,370.0,1.3050351,46438484107.5795,,9.70650764952346,16.3695800738575,83.5796126431686,20.7299506037379,,19.1432131119403
1995,340.0,1.3369002,37939748768.6567,,10.864634213863,17.3448618625588,86.8732099754156,19.1197958221399,,7.14493870348727
1994,320.0,1.3369002,33768660882.793,,9.00154364628231,13.864320908288,86.8961488797552,18.402556188374,,3.96621631607212
1993,320.0,1.3,33166519417.9894,,9.01726903574974,14.1043140341485,87.700716393226,17.9468320109013,,0.155518172767486
1992,330.0,1.2,31708874594.1645,,7.58667691037111,12.3473285920799,86.1355893082419,17.3050292766937,,2.58216189888509
1991,320.0,1.1,30957483949.5798,,6.66261196863293,12.2272149164418,85.426820993694,16.8959474633294,,2.72953199600757
1990,320.0,1.2,31598341233.559,,5.90831648660892,13.0581855259296,84.0937105405582,16.4586755151535,,6.53273529225513
1989,300.0,1.2,28781714763.8012,,5.54014371794136,12.7850303011279,84.7167366783816,16.1209144348967,,8.33797324985537
1988,290.0,1.1,26579005760.3486,,5.42830096531266,12.2497633446486,86.221292349249,15.7359830693445,,7.495835297097
1987,280.0,1.1,24298032258.0645,,4.99004963895921,11.6977479923371,85.9015531590903,15.4734420283602,,11.1196311686085
1986,250.0,1.1,21774033333.3333,,5.18293196330185,11.8358105449764,84.7887621494104,16.1764548292232,,8.25440489427072
1985,230.0,0.9,22278423076.9231,,5.38447860037049,12.8377060246289,85.4856112934385,15.8309437037216,,18.4951156996505
1984,220.0,0.9,18920840000.0,,3.39625513455005,13.4154720403534,93.2229224495318,16.4842575699599,,7.87556634908613
1983,230.0,0.8,17609048821.5488,,5.60384903116941,14.7130315900677,87.9512226601432,16.5627367701504,,8.48775587837076
1982,250.0,0.7,18525399201.5968,,5.07529986612759,15.5316243276076,85.2190847652115,17.3632790930077,,9.85581246335165
1981,260.0,0.7,20249694002.448,,5.13086315280464,14.1162959381045,85.161085589942,17.1557664410058,,9.89469031189969
1980,230.0,0.7,18138049095.6072,,5.49428379105126,17.8829473211837,97.9492722338368,14.4393912962956,,17.5550670900907
1979,190.0,0.7,15565480321.9448,,6.1092194808131,15.7978440622703,98.4847524548075,11.2038721266497,,12.564505989955
1978,170.0,0.6448609,13281767142.8571,,5.55766316100946,15.4808518001798,98.3763900919046,11.5467985472657,,25.6188855872345
1977,170.0,0.6,9651149301.8746,,7.04075196547742,12.3814462328921,93.8174764690049,11.5232177984098,,-3.21015592853857
