date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,870.0,,10354274634.9108,,35.383601152018,44.1906620897664,83.0324519668931,25.7746089708553,,-0.00583222754814017
2017,800.0,4.0262740133652,9269594834.77931,,27.2863995979696,40.290728837914,89.1591527528454,28.3801858575306,,0.0317074176629149
2016,820.0,4.0262740133652,8578984066.29974,,24.8278328737829,36.2628237785,89.3142447945044,24.587966374204,,-0.279995285501528
2015,860.0,4.0262740133652,8294490789.00164,,24.4398193584567,34.3580654166157,85.603001753742,25.9716954198785,,0.0757471376386718
2014,930.0,4.55,9720362615.39829,,31.3334722366913,42.8433836858006,83.8003958745703,28.5738097718512,,-0.248640138745643
2013,890.0,4.69,9159958825.63987,,27.2599124687783,36.6336893525784,85.3340995999204,27.8132667270838,,1.40667989004544
2012,820.0,4.76,8152088222.19998,,23.0171740227289,31.7345243026357,87.9291703707263,22.5546959467577,,7.69269660821384
2011,800.0,4.775,7824320326.89328,,21.2220628118898,29.4447675743111,88.6824690822304,24.1343024517249,,3.73387752539995
2010,790.0,4.79,6977040762.19148,,23.7877295637564,32.8522114883263,90.2873529922948,23.1314524071607,,0.884971820845109
2009,790.0,4.3,7097198711.61023,,20.3718071138697,31.4752029123896,90.0572929100024,21.903527094772,,2.53020605021086
2008,750.0,3.91,7132787396.66547,,22.8546382392536,33.6432797971259,90.4135750289596,20.3752543752544,,6.43806857942617
2007,670.0,3.23,5969535131.58016,,22.5865082139112,35.2184550856344,88.5494582313876,24.0824886403355,,0.390494254155982
2006,630.0,3.48,5142380779.44103,,18.5280226114768,28.3238499014467,90.8326825095764,18.9594257874967,,2.09166862858341
2005,600.0,3.62,4803702821.08056,,18.9320388349515,26.8845212723972,90.1412897624122,17.8111926750335,,4.29380521704674
2004,530.0,3.33,4521424807.22519,,18.8185548019761,27.5517039269865,86.5988445114293,22.1343046135812,,0.770195489779255
2003,440.0,2.82,3905366187.87017,,18.9840514582783,29.7383029341792,88.5760859987664,22.1737598026258,,3.06386771008896
2002,390.0,2.65,3054571081.6912,,20.1878816345702,31.2963832785345,89.3142320338187,21.7942696101456,,3.55310687839649
2001,390.0,2.71,2680213931.46472,,20.3491627220441,36.9267572657403,90.5227261159465,26.0599582633481,,1.97207910850999
2000,390.0,2.69,2569186642.86999,,21.1403892411983,34.8513011152416,90.1432320139952,23.5676798600481,,4.33806500728492
1999,380.0,2.52,2689787917.50711,,23.6881830807318,40.9818247690357,90.3870539218646,26.9065877664392,,8.5432604894055
1998,370.0,2.7196042077631,2455092582.30927,,27.0929395510065,32.5006857471368,87.2525891112791,18.1551570848512,,5.23160474787542
1997,380.0,2.7130914,2268301537.65128,,27.1761345944549,31.5354950169417,85.8145039885821,18.5448564263514,,3.66750917264034
1996,350.0,2.7130914,2361116587.86079,,26.4988115545834,30.0189798910533,85.9690003654251,17.5511679710447,,6.90729366475551
1995,360.0,2.5,2169627250.93379,,27.3689425027528,36.4311975077222,87.6424878624042,21.4197671425652,,15.0994519109214
1994,330.0,3.2995704,1598075932.35432,,28.3270186172953,36.0734606362612,89.9442137876135,17.8022147065571,,35.0301127836084
1993,380.0,3.2995704,2274557914.07481,,22.4643830367556,32.917416096905,94.3948965676345,16.0581365080412,,2.3783218214884
1992,370.0,3.2995704,1695315305.70308,,23.2391480496458,33.5015977552095,96.6413409615645,13.6211087439991,,3.0251344657084
1991,380.0,3.2995704,1986437859.90346,,21.0024860627473,30.3422307728013,94.8617000177245,14.4780446923295,,0.756620152258364
1990,370.0,3.2995704,1959965243.76269,,19.181303010653,26.5388791344867,93.2972197044867,14.060356419347,,2.17659692492957
1989,340.0,3.2995704,1502294411.46202,,13.4954289813034,24.8049383776371,99.4923686808765,11.8171441375108,,2.2249344566786
1988,360.0,3.2995704,1620246187.15171,,13.8037392116767,32.0830888173539,102.646122386288,15.6332306177376,,-0.610506906538177
1987,310.0,3.2995704,1562412030.34838,,15.2675281201641,30.9506070946337,102.756140215038,12.9269405057397,,3.02845984959575
1986,270.0,3.2995704,1336102040.71025,,16.6759209455033,32.6154967527009,102.475127623168,13.4644446396163,,-3.60417258232943
1985,260.0,3.2995704,1045712703.02696,,23.6526183539095,36.6485996242477,104.056005798506,8.93997374769409,,-4.87698173501849
1984,270.0,3.2995704,1051133927.00009,,19.5793753212443,30.9319281707312,98.5722341544376,12.7803178241589,,1.9535809587033
1983,290.0,3.2995704,1095348302.91865,,13.7642891939421,31.577722696885,100.49192039236,17.3215150751257,,4.74620974218689
1982,360.0,3.2995704,1267778489.03079,,17.7710358297085,40.0862995442378,94.7108467644414,27.6044169260841,,16.1482840146863
1981,410.0,3.2995704,1291119965.11262,,15.9305004610493,43.9588716369158,112.351620134584,15.6767522384168,,7.46894826557292
1980,390.0,3.2995704,1405251547.23882,,15.8165128794143,37.3221067200718,106.349024511555,15.1565679481707,,10.187819853439
1979,310.0,3.2995704,1186231265.18417,,17.5163794748371,37.0217886787244,100.483227920848,19.0221796978577,,13.0046858312197
1978,250.0,3.8,928843304.783965,,16.5250882129923,34.5453644374484,101.956263889479,16.0640103788601,,12.3344589512908
1977,230.0,3.6,750049739.152238,,16.1789026141378,34.7807829045215,100.850941620755,17.7509342196848,,5.17688681539887
1976,210.0,3.7,698408244.385343,,12.9912463096923,31.0285113990042,101.385078054397,16.6521857765632,,14.035430018199
1975,200.0,3.7,676870140.341529,,14.528245927767,33.4129820337852,99.5826463245154,19.3020911602236,,14.2469357591905
1974,190.0,3.6,554654786.965107,,14.3167561354656,29.4946483665807,96.946776320898,18.2311159102171,,14.9207099039566
1973,160.0,3.9,504376035.716401,,15.6619756505168,25.9501669628165,97.212219795705,13.0759687590775,,4.822739941858
1972,130.0,3.5,410331900.950531,,14.3844022140076,26.800149392693,99.0521072964796,13.3636368845738,,5.31722607761745
1971,120.0,3.4,335072975.215766,,17.7857985904456,27.8326141260428,99.7611686529775,10.285643631099,,1.57328377445441
1970,120.0,3.1,333627758.154666,,15.1765798315404,24.4613236152013,97.6923647224475,11.5923801456269,,5.04704694041136
1969,120.0,,330748211.459737,,11.773219224993,21.4285057250714,96.9920984226567,12.6631880774218,,3.4541955220696
