date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,7750.0,,18616018903.4434,,39.3551128280889,37.7659524881694,68.2617397830604,29.5077996086765,23.638997516755,0.927813749299574
2017,7020.0,9.48,17405538618.3969,,39.9730081836822,33.8992758374749,67.6619836244448,28.24326223195,26.0515439505195,2.60892049281654
2016,6880.0,9.48,15646316818.3319,15.235498922983,49.7567787736017,43.1679449067422,65.5217502235027,28.5703349033283,25.8162131539874,11.9532043641136
2015,6960.0,9.48,14420604205.7459,17.9091592446388,53.0331773995781,54.4912139213494,72.5980145317571,32.6031398070602,29.3151466149276,1.86533649350496
2014,7840.0,9.48,16250750259.0212,17.4453597097219,60.7101501410319,53.9518647660885,66.8770218581069,28.1991243126301,27.73287515291,11.9038630984021
2013,8000.0,9.48,14901750764.9811,18.2124296664286,61.522619680313,61.0309389838131,70.5700284098984,29.4090761345304,28.2394023450995,2.30911911105997
2012,7800.0,9.48,16067155187.0375,19.945550294908,49.2507443809676,61.4041519378693,71.2620046163726,38.8397988894201,30.4844013676234,0.193771800794764
2011,6850.0,9.48,15351972229.5341,20.7431794308082,49.9505350343092,53.59504373108,64.8089953333095,38.5754790967923,29.3186626712526,13.9581258665156
2010,5650.0,9.48,12786654365.8738,21.630688536512,43.6354644101756,51.2643319117251,68.9027412995969,41.4120723617572,33.1241812213197,8.91999982857715
2009,5330.0,9.48,10267133177.7334,18.9731164738468,34.8009489474016,51.8850709578167,71.7597645910788,38.9302334000831,38.608109273956,6.46252578231767
2008,5740.0,8.3400000000001,10945070441.9283,7.84730897264042,45.6739672040412,51.0419431315907,64.4207118732644,36.1871085511289,35.0511965317378,4.72939344986926
2007,5730.0,7.2,10939053365.4786,5.74118725017073,54.5160825555851,40.5885562467541,57.2391463600799,30.7923643734456,30.090572375354,4.92760710038228
2006,5440.0,8.25999999999993,10126940513.3125,5.89360961421408,52.2544736358281,34.0801152812935,55.7688079434244,25.9046966444747,28.7005065618311,7.47313102325575
