date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,3420.0,,1976814276.50792,,48.779428128708,68.2078053781849,78.9928152264375,40.4355620230394,,1.52558228465196
2017,3080.0,5.30225483706793,1769787215.42141,,45.9228129647968,67.3803535416683,83.2441722989889,38.2133682778826,28.4248291128302,0.68514844716961
2016,3130.0,5.30225483706793,1663008687.09505,,44.2296890030632,59.9621727248371,80.4758613848647,35.2566223972293,28.1452448238732,-0.231686837121686
2015,3210.0,5.26989877420816,1596800287.16405,,44.9074423095252,59.1586466717918,84.0646101828938,30.1865941793728,28.4671181084216,1.73626616382883
2014,3360.0,5.20492408065611,1859898513.26858,,40.3611396874873,60.6853000599186,83.3199345676603,37.004225804771,26.4930661736165,-0.146774193924387
2013,3490.0,5.13994938710407,1850470042.43281,,40.4924428420234,54.846645937621,82.7246184483184,31.6295846472791,25.0065920028377,1.42841089006069
2012,3440.0,5.07497469355203,1741809808.96442,,40.4318042627331,59.8453375730436,82.220010072425,37.1935232378855,25.1242041736301,0.552996041071836
2011,3510.0,5.01,1865915544.12446,,35.5192397447338,64.3299102241692,81.3020038668505,47.5087818744761,26.1947410165275,2.67641090615125
2010,3400.0,4.91,1664310769.55229,,32.6703180612436,61.7680279360714,81.4503884693722,47.6473214054556,25.595227367055,0.505086041911255
2009,3480.0,4.72,1711817181.52969,,31.0774516439262,56.9597835439037,82.0929057251899,43.7894261011928,25.2952732881707,2.17462112276409
2008,3300.0,5.07,1789333748.6799,,36.8959583313592,63.0884111888738,77.6572608857721,48.5351918975026,22.9336869711538,3.54593264765997
2007,2820.0,4.69,1513933983.22398,,36.017413235543,66.2068286693824,80.399703592556,49.7897119232683,24.8295177921221,8.75141901577665
2006,2300.0,5.05,1107891063.43863,,45.1322052608015,72.6844919720202,,,29.609811596401,4.63977091958637
2005,2160.0,5.64499999999999,971977088.156914,,37.7773604608664,66.5664793961861,,,30.242720873769,-1.79488319809978
2004,1900.0,6.24,924318490.7598,,32.004173065871,69.5629969236308,,,,-6.3325469735716
2003,1520.0,5.47257,813963830.179217,,31.3643511669509,67.4040296407038,,,,4.92109976135448
2002,1300.0,4.97,620974660.230303,,32.5449567130458,68.5447455805704,,,,-0.363208943537913
2001,1350.0,4.85333333333333,563024383.296626,,29.80941288281,62.3543096146052,,,,5.15533504951297
2000,1410.0,4.73666666666666,539227277.626411,,27.0072185431265,60.5133898183652,,,,-7.90110346118236
1999,1370.0,4.62,592416703.058878,,20.9759456250155,59.9930743390288,,,,7.61207819396112
1998,1330.0,3.9,521910560.524868,,22.7961528751425,59.085260875485,,,,-0.335990483230603
1997,1350.0,3.8966724,490608657.924976,,27.4417263018333,58.5376198528858,,,,-0.835291428434743
1996,1350.0,3.8966724,501979069.274683,,20.1991575607735,55.2908102966173,,,,-0.54613594756168
1995,1410.0,3.8966724,487148993.533109,,17.1369526898222,60.3785986911525,,,,-1.54689930906679
1994,1300.0,3.8966724,406580652.330537,,15.0462995430568,56.5171425025496,,,,-29.1724622659515
1993,1190.0,3.8966724,490417389.682569,,13.2608310757983,47.0456009265914,,,,49.354086861283
1992,1040.0,3.8966724,357160985.327413,,17.2830075872658,66.6568823808469,,,,-4.11584492630048
1991,910.0,3.0,319827058.592875,,16.5640735443608,64.3898957653013,,,,4.7924189706608
1990,900.0,3.3413309,306891107.262039,,17.131969468504,68.8196145621406,,,,2.34531032204428
1989,900.0,3.3413309,267448513.108168,,19.2254452309278,62.2123474108422,,,,3.58485904083867
1988,840.0,3.3413309,264308140.285149,,16.707662251359,59.4939626003993,,,,5.41160787109727
1987,650.0,2.5,235253171.841062,,18.0990410304508,65.7335778621128,,,,6.96238514949017
1986,510.0,3.1206844,190651207.999511,,17.6098622736723,75.4426618494761,,,,17.6933959232733
1985,450.0,2.6,137728155.212661,,22.6384786690295,79.1828063832257,,,,3.66665785541356
1984,450.0,2.8,132019065.033419,,22.7730558410552,77.7003991164697,,,,8.76659389410166
1983,470.0,3.7229541,138476239.366792,,24.6279458192888,77.808821188744,,,,10.5638181107377
1982,510.0,3.7229541,140630758.594899,,22.9274304386124,79.1884914436514,,,,17.3933487053751
1981,,3.7229541,139468114.599741,,21.4691376893988,70.6952497571178,,,,9.57797517986796
1980,,3.7229541,142246875.536716,,17.0747682227441,66.9758138320565,,,,
1979,,3.7229541,,,,,,,,
1978,,3.7229541,,,,,,,,
1977,,3.7229541,,,,,,,,
1976,,3.7229541,,,,,,,,
1975,,3.7229541,,,,,,,,
1974,,3.7229541,,,,,,,,
1973,,3.7229541,,,,,,,,
1972,,3.7229541,,,,,,,,
1971,,3.7229541,,,,,,,,
1970,,3.7229541,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
