date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,9240.08567263888,,73523538154.6812,,,,,,,3.62737965137698
2017,9008.39727099925,3.87377048324498,69602182809.4116,,,,,,,1.99820610538059
2016,9086.55633014167,3.91968544328045,68106378709.8642,,,,,,,2.30911740161916
2015,9676.4219490547,3.92766311870094,71648867904.3534,,,,,,29.0313051499577,2.44164428657838
2014,9648.99598077216,4.06722185196352,72989135759.6356,,,,,,27.6920895513368,1.58368704365446
2013,9715.49638031529,4.08762827051213,72051031653.938,,,,,,26.7080080030245,2.83484306100708
2012,9315.32666698613,4.1191175961766,70684558866.8336,,,,,,26.9352271925481,1.27577332217197
2011,8614.94136709886,4.1817836178476,68420393697.1327,,,,,,25.794864354469,3.6442628475763
2010,8765.98185566062,4.14694916856813,63277133287.3134,,,,,,27.3501628658987,3.68970116234928
2009,8677.38374318546,4.10887433199533,58164549489.3205,,,,,,30.2292947836929,0.0550975773828384
2008,9036.55272589948,3.98564841719833,69109699221.9686,,,,,,25.4821933850051,2.91366532196938
2007,8236.34326826909,3.76627927053651,60908386444.2509,49.8468008105527,,,,,23.5477903341919,8.40982914938292
2006,7561.46782599106,3.85726694472101,54606931071.6437,51.2172745650081,,,,,25.5579938128977,4.47896069618292
2005,6839.48749194294,3.96794432570008,48878881370.9397,,,,,,22.3931845443041,5.05674870888848
2004,6283.15857509567,3.81251787004062,43222083509.9877,,,,,,22.889846540245,4.01401147240119
2003,5654.16336416654,3.95270719989913,39498913008.6242,,,,,,23.0846917125624,1.15467834799934
2002,5188.01735186255,4.40145617033431,36957890226.2612,,,,,,23.3181076696721,1.01888146376177
2001,4981.89130855007,4.30287813114458,35220883618.3909,,,,,,22.0585434719576,2.14417694306614
2000,4845.20768884787,4.21259145203445,34177854568.4749,,,,,,,1.11404362465703
1999,4529.86184717116,4.38069653787334,31872310302.3419,,,,,,,2.78096190517931
1998,4054.17930898175,4.53247850732506,30069769930.0114,,,,,,,2.79990645265316
1997,3798.63346275429,4.35414617343262,28143635564.2146,,,,,,,1.49369888060204
1996,3652.59960098866,4.181884810699,24020648583.6921,,,,,,,2.67308451080788
1995,3350.73429015466,4.08596152086432,21998219146.0968,,,,,,,3.06875804504432
1994,2986.76089271053,4.31222830675399,19905802829.8281,,,,,,,3.58787774803069
1993,2948.48186563983,4.13113298933671,18908613309.2608,,,,,,,1.99101265813727
1992,2904.98923448955,4.26239914405513,17493258376.129,,,,,,,3.99065517786508
1991,2790.80936262236,4.26416153352577,17765164421.3313,,,,,,,4.82709479379272
1990,2781.36407387441,4.3957036404563,17961665075.0692,,,,,,,7.60323497150297
1989,2770.27409588129,4.60386780692464,16519529759.6936,,,,,,,6.74071076755638
1988,2734.30087856205,4.84711542780822,16142747240.1287,,,,,,,4.49885935444863
1987,2526.36723807576,4.96365522922138,15226424286.9858,,,,,,,7.33574196649957
1986,2469.90568966148,5.07593155963239,14173309552.2895,,,,,,,4.58257854241737
1985,2550.61115776233,5.4036111701313,15573557385.3049,,,,,,,3.71382018604309
1984,2592.49625554254,5.40649723252326,15758758858.6167,,,,,,,5.20005192372733
1983,2638.04347257058,5.44684308907473,16561217539.1988,,,,,,,5.64632388877054
1982,2775.49620358008,5.36199009419252,16353128287.9941,,,,,,,6.56766195307839
1981,2609.23030709541,4.8466896243457,14706160271.5077,,,,,,,8.11944258623004
1980,2344.78825202955,4.3608951665133,13327466848.1891,,,,,,,13.0530138417254
1979,2030.82068969562,4.33818606671554,10829108031.9988,,,,,,,12.3783334534307
1978,1856.22826716688,4.46317464379094,9422384791.38539,,,,,,,7.55455597004561
1977,1691.40949365237,4.49671512126935,9186752659.47363,,,,,,,11.1184161422019
1976,1570.06402258829,4.17127628378121,7911686087.30814,,,,,,,2.70532391734086
1975,1544.5710024064,3.94158096355426,7686904359.76525,,,,,,,16.1732174672876
1974,1220.29834418806,3.76742676752856,6578611839.86688,,,,,,,25.4476253225517
1973,1033.64020196707,3.52036959397466,5063206957.15644,,,,,,,14.6762708750828
1972,932.106243168728,3.42011642274569,4627346329.07151,,,,,,,6.36318854962315
1971,785.175880245539,3.23410957635777,4007255700.76335,,,,,,,5.06390365570968
1970,742.611072397848,3.2200887278027,3685736912.85432,,,,,,,3.08986462376974
1969,691.482111969037,,3351050371.65244,,,,,,,2.94961654092872
1968,660.726620845258,,3075645924.66455,,,,,,,3.31062448759485
1967,,,3094521955.02655,,,,,,,4.60952361385711
1966,,,2881205478.85131,,,,,,,
1965,,,2654090230.1545,,,,,,,
1964,,,2463899990.6458,,,,,,,
1963,,,2284412676.15231,,,,,,,
1962,,,2148346211.71623,,,,,,,
1961,,,2033050128.82565,,,,,,,
1960,,,1875461582.99974,,,,,,,
