date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,,,,,,,,,,
2017,47140.0,,5141833913.35653,,,,,,,1.86279622368603
2016,45730.0,,4898908676.34705,,,,,,,0.922691453661997
2015,44370.0,,4708336733.46934,,,,,,,0.341900567720671
2014,42930.0,,4563017880.71523,,,,,,,0.886728378363429
2013,44030.0,,4405954638.18553,,,,,,,1.37820331588175
2012,49570.0,,4291159006.36025,,,,,,,1.26141317100767
2011,71040.0,,4186223808.95236,,,,,,,-0.459134022270064
2010,70220.0,,4156935677.4271,,,,,,,-0.206430418467946
2009,,,4281813032.5213,,,,,,,0.607785347197321
2008,,,4586172566.90268,,,,,,,3.04754833972238
2007,,,4466503540.1416,,,,,,,2.40733513824003
2006,,,4227798031.92128,,,,,,,74.5215749082276
2005,,,2315972638.90556,,,,,,,7.30179509555293
2004,,,,,,,,,,4.39972158972084
2003,,,,,,,,,,1.66654036986986
2002,,,,,,,,,,2.5539566256287
2001,,,,,,,,,,1.97655485239308
2000,,,,,,,,,,3.47877674674142
1999,,,,,,,,,,4.84948633337015
1998,,,,,,,,,,
1997,,,,,,,,,,
1996,,,,,,,,,,
1995,,,,,,,,,,
1994,,,,,,,,,,
1993,,,,,,,,,,
1992,,,,,,,,,,
1991,,,,,,,,,,
1990,,,,,,,,,,
1989,,,,,,,,,,
1988,,,,,,,,,,
1987,,,,,,,,,,
1986,,,,,,,,,,
1985,,,,,,,,,,
1984,,,,,,,,,,
1983,,,,,,,,,,
1982,,,,,,,,,,
1981,,,,,,,,,,
1980,,,,,,,,,,
1979,,,,,,,,,,
1978,,,,,,,,,,
1977,,,,,,,,,,
1976,,,,,,,,,,
1975,,,,,,,,,,
1974,,,,,,,,,,
1973,,,,,,,,,,
1972,,,,,,,,,,
1971,,,,,,,,,,
1970,,,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
