date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,490.0,,2219894701.95124,,18.883624410786,46.9800224539673,102.194814511586,25.9015835315956,,-1.22411715845705
2017,440.0,1.15,2067230996.47377,,17.2597737600181,39.8837719516938,97.0227469908354,25.6012512008403,,6.44370628779525
2016,410.0,1.15,1823779165.27967,,14.8218796578137,35.7087643640963,98.4235092222399,22.463467946845,7.89435837971884,2.98011408445535
2015,400.0,1.15,1695143879.57045,,17.0676606236635,36.0774871532986,97.2043463343015,21.8053804538636,8.99968792130797,2.70826310785279
2014,390.0,1.15,1892292911.82509,,16.6757875879937,36.4193044299887,97.7527261222474,21.9907907197476,8.25345305543739,11.8938033016777
2013,380.0,1.15,1691063476.64157,,14.9729547921906,23.4263327799409,100.938053965932,7.5153240218181,,2.48748677760067
2012,570.0,1.15,2510270267.72918,,11.5501330018626,21.5093155924689,99.1252074618376,10.8339751287687,8.18447190574619,6.18103617692616
2011,530.0,1.15,2434792412.50855,,13.127820098599,21.3477982341308,90.6098323956215,13.7084644737209,13.4640903708419,4.00911505710052
2010,510.0,1.15,2140503193.16261,,11.6258010719319,22.8046808823724,89.9263853332855,16.8437813047686,16.3366647703798,4.21130931097511
2009,480.0,1.23,2059094048.26019,,9.84164990187971,21.6525965878002,94.0315404267924,13.2041724777738,15.8641793874006,0.711628390754186
2008,420.0,1.27,1985240986.18508,,11.0036647020449,23.4338571075068,99.7018086518345,12.728492373968,11.0060729405559,7.07707072361426
2007,380.0,1.3,1697565948.65323,,14.1153274204234,23.4655715983662,98.662994861029,10.6872405778362,,1.83823165042331
2006,350.0,1.4,1460561215.4447,,14.3160051485309,22.0798650802068,97.529706840135,10.2342110190608,,3.33404593869069
2005,340.0,1.61,1337362392.15225,,13.3627533256972,21.7081835399254,98.2576578926477,9.86481735599986,,4.18843708159385
2004,300.0,1.60544282857143,1270080250.65268,,13.997917508823,19.2460374099972,98.4359736180171,6.81213802638146,9.66162851275332,-4.43978593836373
2003,260.0,1.60088565714286,1139754799.16304,,18.2360038377682,17.9952221645791,93.3544363419142,6.4047925068294,,1.33641863140784
2002,250.0,1.59632848571428,991387870.12463,,15.96270493648,20.1458598429982,94.5582661727041,9.62494666555282,,-2.37188170574852
2001,260.0,1.59177131428571,931833302.752857,,17.1572538375263,22.5732458997066,95.1752219793463,10.2408292129649,,0.425938675009292
2000,260.0,1.58721414285714,914500299.097034,,20.3722135905975,25.2875684031294,93.8429509669707,11.0722959362908,,8.50660107834558
1999,280.0,1.58265697142857,999477510.686632,,19.2236502785935,23.9886936193025,91.8030645440478,12.9619643989924,,4.08471548975844
1998,280.0,1.5780998,967338348.658314,,22.6568865727558,28.3926453039603,94.7229898209689,11.0127689102356,,-0.414154094982351
1997,300.0,1.5780998,937741468.029676,,26.8842802618525,28.9342280996326,91.9697587017728,10.0801891360073,,0.823381000647387
1996,300.0,1.5780998,1007791186.20106,,21.4703862760844,25.6140187532248,96.8686110432209,7.27502143391952,,-3.54304573295389
1995,350.0,1.6,1115389731.79119,,22.2209449568474,28.2549461602709,91.9149700491248,14.1190311542986,,9.89797585830159
1994,370.0,1.7,851174350.649409,,23.3994108884074,25.0186213434453,89.9131568255688,11.7060536294691,,24.4125696821529
1993,450.0,2.2,1278781166.72188,,17.0995545466345,22.8890674752764,94.9348665987302,10.5784818131858,,-3.43302031766275
1992,470.0,2.3,1411917558.45855,,16.8656999970566,26.3633760833559,97.0951747684783,12.402501317821,,2.78264702243933
1991,480.0,2.3,1377375030.52921,,17.5866710245595,26.1226506625627,95.8879678408099,12.6480117971933,,-0.389815607540783
1990,480.0,2.2,1440711395.67069,,17.0674688659163,25.8755146524582,96.0999859785089,12.708059808033,,1.83664510564685
1989,490.0,2.3299518,1233930277.04922,,20.3038863512806,26.4631612106678,94.4034305979666,11.7558442614205,,2.45620480016002
1988,490.0,2.3299518,1264899368.20165,,17.7447524605306,25.0538821705756,96.799717583106,10.509412126939,,2.62405594015436
1987,420.0,2.5,1200991825.95398,,17.8441411639543,28.5502933989394,98.0750369865519,12.6311152484333,,-2.30335118277361
1986,340.0,2.2,1122265026.38274,,18.1864262428373,28.6226318484383,97.6567424938311,12.7794631117698,,-3.42903722815151
1985,290.0,2.881926,864849765.059665,,22.0085189617676,31.6359752409631,94.2433952309256,15.3840610482698,,34.1451753514768
1984,270.0,2.881926,637820620.670195,,23.3939942580609,35.5016773850403,99.8005412584265,12.307141868553,,1.41940106495943
1983,270.0,3.6,658679394.907969,,24.1489993098706,36.6162611098767,100.634606754846,11.8326550451605,,11.1028813560158
1982,340.0,3.5,748312283.726758,,22.1777521315576,34.2245066020111,105.377379896863,6.6693745735901,,20.9142340489744
1981,350.0,4.4,694803502.722356,,24.3834499934688,34.059743898938,100.936888092552,8.73940581291744,,13.8727460514407
1980,360.0,3.7,797048028.773247,,25.2215452197355,41.0807828634967,108.852112054803,7.00712558895795,,18.2653791713287
1979,310.0,3.9611652,700764892.704831,,22.4325673617578,35.1329394686053,102.90617420489,9.79419790195751,,10.9266339771196
1978,280.0,3.0,610578523.761178,,23.4203176328111,33.885760267333,99.578571943453,10.8868706910689,,9.22839370206515
1977,240.0,3.5,507298120.68315,,25.2043976967514,34.3249061268158,97.5665724585721,11.5539359714923,,11.3724628206273
1976,210.0,3.6,451152449.984411,,22.1868662621573,29.3266108057826,95.1734844999152,11.9662600437102,,25.9966269302932
1975,190.0,4.2,378660016.265936,,21.1303465778896,39.9199700572728,104.98831508528,13.8013083941029,,19.3262162143988
1974,170.0,4.2023779,281398668.160613,,27.7368238884878,43.3361131787586,100.09746658627,15.5018227040011,,5.38099970484276
1973,140.0,4.2023779,271183061.359635,,28.6180418550823,36.4868833574321,87.0230217716578,20.845819730692,,2.19949026241304
1972,120.0,3.7,230317908.038643,,24.9348006859663,33.8130870580973,90.4447770239588,18.4335091758966,,4.64423708915463
1971,110.0,4.2023779,201450768.367553,,29.7992329420796,37.4234623370213,88.8756230453842,18.7486065298326,,4.93826828935202
1970,110.0,4.2023779,189106554.521277,,31.9384978942048,41.5623499086838,91.6401795084943,17.9836725059846,,4.49087969968028
1969,110.0,,188039191.323608,,27.3346641223215,37.5984582382905,93.8981131208554,16.3656809951136,,-3.85268771319454
1968,100.0,,191767436.956884,,34.3122977455346,39.6312253595841,89.0998113358888,16.2191162781606,,16.1724010608566
1967,100.0,,163820538.867947,,26.302729528536,46.8982382133995,98.7592754342432,21.8362332506203,,-0.774417229772368
1966,90.0,,157930041.875883,,28.3505154639175,42.5257731958763,93.0412396907216,21.1340180412371,,4.47541104842317
1965,90.0,,150574816.300764,,27.1002682926829,37.6693766937669,89.1598943089431,21.4092140921409,,5.03913870121599
1964,80.0,,142025069.461676,,28.4482693940755,40.8045902843848,90.2298982709057,22.1264358377924,,7.5419710501556
1963,80.0,,129379097.888958,,25.2365924230513,38.4858050224403,91.4826702464941,21.7665568639355,,4.6744757013084
1962,80.0,,124482748.937917,,24.5901651330286,37.7049074334869,89.8360645450149,23.2786931652776,,4.88874686844645
1961,,,123134584.467673,,26.4900657865883,35.7615888118942,88.0794992039818,21.1920526292707,,4.63501852407487
1960,,,112155598.949571,,23.2727244800003,34.1818122618189,91.2727265018183,19.6363558254555,,
