date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,14563.8760810507,,1632912822080.02,,65.2287901035061,62.3795567136838,,23.0874852534983,,3.31977875575407
2017,13024.1268668628,4.44861190067552,1457183749634.64,,65.0336313820357,61.1115967283266,,21.9646063356202,34.9795269251095,2.98059379963252
2016,12837.6055761578,4.45064641714351,1317002605342.08,,63.4631860989439,59.212657586721,,21.5628067027904,35.8395964202259,0.972844703647894
2015,13215.9792117331,4.45692784521787,1289640593201.51,,62.5863269646066,59.2704413443355,,22.8678446445159,36.0119823052109,1.00504268819512
2014,13557.5603992542,4.21760257950702,1465593797795.52,,62.0507705543306,59.3940092880896,,22.2456076101572,36.5997902041099,0.918221818685311
2013,13416.5485811169,4.2447837096178,1422731728650.61,,60.5336294664195,57.9010439457851,,21.3973809196319,37.0383805982406,1.43189790810385
2012,13063.3866593758,4.29254217826441,1352671811493.78,,59.097323903603,58.2657950429983,,22.4219206324785,36.6422204389318,2.349719331907
2011,12908.2821748657,4.27469405021539,1446680261650.32,,56.8178910884552,57.1818184414799,,23.7756730837333,36.9919551050057,3.22912192023782
2010,12760.3323928737,4.39438226392602,1313429192814.02,,52.288572405385,53.0371323039584,,23.0335614344481,37.8634332142291,1.10747418336967
2009,12741.1055862292,4.47216745964013,1288240824681.03,,46.4228992925192,47.1310862156013,,22.7354167883868,37.9744205633223,2.97417737830862
2008,12380.857436045,4.33825973584525,1530584249710.56,,49.7767281040302,55.0058127896497,,28.4610490173867,35.4734286003232,5.5603635906896
2007,10323.9615422289,4.24454442280515,1264978457989.78,,50.270771244195,54.9862405430844,,28.7115012482177,34.9203188859112,5.44070201807727
2006,8859.03477700716,4.43953788493074,1001252066447.79,,49.1761556739992,53.2673785617604,,26.4222084198086,35.661965882144,3.8537897559326
2005,7726.3413315265,4.52422287338693,884987949533.465,,45.4033694432112,48.7850863699459,,24.4864016396071,35.9860762486728,3.12955297189713
2004,6370.90397326531,4.52458897928732,761645937184.671,,43.6153472944395,47.6688725585675,,24.5384094715213,36.6413525582842,4.91223247729577
2003,5179.34018725964,4.60093982118853,632781151922.938,,40.1190698992143,44.1270034032927,,23.38853832892,38.5046530648559,4.29707162972908
2002,4419.83340650018,4.46574491833264,527159600339.456,,38.0292366159334,42.0363541615473,,23.3227128716452,38.5698650801358,3.93782511312182
2001,4161.4309318407,4.38658437461107,467920101205.476,,38.5442323060338,42.7653937128153,,24.3394048974058,38.1765352080794,5.1214846027507
2000,4081.40755352956,4.20702946167519,427456000376.425,,37.9926408677735,42.7429040017229,,25.1620620781371,38.1637689359962,5.565273324209
1999,3897.52352642324,4.09794441484454,433961511913.474,,34.8545379292744,39.3967746374819,,24.7337073738459,38.560536679273,6.16270783307753
1998,3844.26740531761,4.18010403560591,447743168925.507,,35.0055765235022,39.5254753829583,,25.8199183298996,38.4031884226368,8.10593511745191
1997,3799.10084407623,5.1205736503366,409093766950.347,,35.0489845547643,39.3311868219595,,25.4551670491108,38.5933480233761,9.91710082341002
1996,,4.99636983661606,414969246058.216,,32.8121498167881,36.4389331356148,,24.4485785922708,41.6846337172441,17.9623566294278
1995,,4.24031094206414,392390514316.323,,32.4102036157274,33.3805305743674,,23.0315609911079,40.9848915326577,26.0685664498015
1994,,4.81097122699155,,,,,,,,22.5892366380271
1993,,4.24082584151119,,,,,,,,29.1787876967268
1992,,3.91090208177587,,,,,,,,
1991,,3.80320610099694,,,,,,,,
1990,,3.19106888331183,,,,,,,,
1989,,3.03400777006078,,,,,,,,
1988,,3.8,,,,,,,,
1987,,3.9,,,,,,,,
1986,,4.0,,,,,,,,
1985,,3.8,,,,,,,,
1984,,3.7,,,,,,,,
1983,,3.6,,,,,,,,
1982,,3.6,,,,,,,,
1981,,3.8,,,,,,,,
1980,,3.4,,,,,,,,
1979,,,,,,,,,,
1978,,,,,,,,,,
1977,,,,,,,,,,
1976,,,,,,,,,,
1975,,,,,,,,,,
1974,,,,,,,,,,
1973,,,,,,,,,,
1972,,,,,,,,,,
1971,,,,,,,,,,
1970,,,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
