date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,6180.0,,331047040087.878,,15.9260081077713,20.8253458573742,83.6914584607656,21.2078792888373,,3.67026156022622
2017,5930.0,3.43807972153788,311789874617.096,,15.093339013295,20.1679211122872,83.4553365920665,21.6192455069257,25.257437645786,5.11042921829785
2016,6460.0,3.56675006524707,282825009887.458,57.4056493415041,14.7171392781975,21.4855137060045,83.6009548705576,23.1674195572494,28.361899395535,5.14833430514592
2015,7330.0,3.42391040159467,293481748240.779,66.6678191158853,15.6502115094968,22.7105526089485,83.2866488047601,23.7736922946916,26.8156770552217,2.44928410829424
2014,8190.0,3.47,381112119657.445,79.683056954816,16.6347491096509,20.8527689627646,80.2146537633225,24.0033136584861,30.1625917691368,2.07846347781746
2013,7910.0,3.69754485191567,381866608838.8,67.1467580369447,18.0982959539413,19.9131689316304,79.3272680556606,22.4876049220145,33.3069422040629,2.48932406638704
2012,7290.0,3.19,370574421703.06,65.2887562447265,18.8287412874501,20.0426616601773,78.9933558998256,22.2205644729016,25.0564199532674,3.68092165107214
2011,6320.0,3.26,334454039093.586,62.9521961662476,19.3049539123025,20.2237281455893,78.6907909131642,22.2279833201064,24.2602192117168,5.99088894292821
2010,5610.0,3.90160631270592,286103648654.545,72.5690223495885,16.367165641135,17.9529398351923,80.4731248704548,21.1126493236024,25.4451813984976,3.7415450949007
2009,5130.0,3.92,232494134119.684,68.9704241369855,16.4177706123445,18.7239282876766,80.8180145187607,21.4881431565714,24.7198290039544,4.24456377761828
2008,4700.0,3.54,241710969502.894,65.373562039861,18.1451952180236,21.0993007112249,80.4000563500741,22.5540491431272,24.616793144424,7.74142929278136
2007,4120.0,3.72,205706860699.301,,16.4708878139911,20.7134801884708,81.6205200060475,22.6220723684323,,5.13007834165349
2006,3500.0,3.98,161189825603.139,,17.7758425905137,21.9711178746828,81.985444607981,22.2098306761881,,5.78351056129196
2005,2990.0,4.1,145180960251.663,,17.0222711388382,20.5136842271006,83.0484042039969,20.4430088842656,,4.55983989034638
2004,2620.0,4.04,117081522349.677,,16.7707514248023,19.0926755089972,82.8809274699281,19.4409966142669,,7.28303340696419
2003,2370.0,4.14359479091106,94641378693.223,52.535419533379,16.5752997117627,19.9408838054673,84.6837650773835,18.6818190163212,27.622281719396,6.82901484184582
2002,2370.0,4.24718958182213,97963003804.7851,,14.8155696775272,18.1670695368963,86.0999580145359,17.2515418448331,,5.96819057296526
2001,2330.0,3.95922256136663,98211749595.5442,,15.3871357665009,18.5139760284435,87.0945889103878,16.0322513515548,,6.51844829202706
2000,2340.0,3.67125554091103,99886577330.7271,17.7090216802298,15.915139715438,16.7519457538687,85.9411790093559,14.8956270290748,16.9331428734368,33.6753705077668
1999,2330.0,3.38328852045553,86186158684.7685,19.0653508704071,18.3465787501541,17.8027005640253,86.5759876430578,12.8801341708134,22.1201943516985,12.6229408341709
1998,2570.0,3.0953215,98443739941.1664,5.40391549112143,15.0073508369912,20.9015722165226,86.1661421987159,19.7280791808155,19.3166066677647,14.7730454087206
1997,2660.0,3.0953215,106659508271.255,,14.8415437434707,20.7555243452086,84.9902299776905,20.9237506240474,,16.8398529336651
1996,2540.0,2.7,97160109277.8087,,15.199461701397,20.8446454849312,83.4942451245509,22.1509386589832,,16.868378789776
1995,2350.0,2.5,92507279383.0387,,14.5337428892103,20.9634874285564,80.6310012105883,25.7987433287578,,18.8509572578895
1994,2050.0,2.5,81703500846.0364,,14.9983618345688,20.9191756155692,80.38236703192,25.5384467490805,,22.096378258478
1993,1740.0,2.7,66446804802.5747,,15.1844952854784,20.9929761594843,80.8663477636307,24.9421331103752,,24.8415782785499
1992,1560.0,3.2,58418985443.3172,,16.5185546953654,17.093036648287,80.0199804926924,20.5545014602291,,22.6643849544714
1991,1380.0,2.2,49175565911.0655,,19.0945389024404,14.4353791922749,76.2353764425681,19.1054638472664,,27.005774039708
1990,1330.0,2.3,47844090709.9908,,18.8626690286416,15.9151413516665,76.4457417763909,20.606730546634,,52.3361031659467
1989,1250.0,2.7,39540080200.3938,,18.0025634113097,13.8190584368665,75.8407408665912,19.9757541589656,,24.6858161411548
1988,1300.0,2.59999999999998,39212550050.4223,,16.2861676254084,13.8566343782488,75.5807261024053,21.9897406504351,,27.750056244696
1987,1240.0,2.5,36373307085.0887,,16.9496695982325,12.9158805893834,75.9687222077674,19.9974887833835,,23.3769365167549
1986,1220.0,2.70000000000001,34942489683.9712,,18.8372464406075,11.9933894680519,75.1549803799553,18.0011626474892,,29.1689263661378
1985,1210.0,2.9,34894411351.983,,13.8077759786125,12.525325304684,79.6766456237491,19.0409037023224,,24.883508041323
1984,1280.0,2.9,38253120737.9671,,11.8847923447279,12.4639577408401,81.6141953604537,18.9649700356585,,22.1802267000983
1983,1280.0,2.9,38729822781.5997,,10.4595176968158,13.2403032345962,82.8875718410798,19.8932136967006,,20.4025756997031
1982,1330.0,2.7192396,38968039721.748,,10.9128345916266,15.1909383661862,83.7909612709416,20.4871425036179,,24.766457313876
1981,1350.0,2.5,36388366869.0309,,11.8512305745539,15.4181542718203,82.9429289182372,20.6239947790292,,22.7658772962432
1980,1250.0,1.7,33400735644.0481,,16.217980786889,15.5970059463122,80.3104874202884,19.0685377391348,,27.6159360366338
1979,1060.0,1.7,27940411250.2732,,15.2164715006599,13.4451307476256,80.077673855606,18.1509853913596,,24.0406255404719
1978,850.0,1.6,23263511958.0509,,16.6259660665848,13.7985479726483,78.8883183596907,18.2842635463728,,17.0999313627407
1977,690.0,1.7393244,19470960619.1297,,16.8656576758763,13.1987670890425,77.5810756268252,18.7520337863411,,29.1528170716041
1976,620.0,1.7393244,15341403660.4698,,17.0462359328912,13.895015687527,79.2860766152516,17.5627031393841,,25.457558165572
1975,590.0,1.7393244,13098633901.8673,,15.8172635445363,14.0115722227159,81.2018029759965,16.9925057021831,,22.8069631247208
1974,550.0,1.7393244,12370029583.6419,,14.540113653283,15.6304283090972,79.6345352126656,21.4557794431485,,25.3771500049596
