date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,1380.0,,1177955048.65299,,13.2479764053137,29.8465449183026,101.624375201137,14.9741933118515,,1.16280654817258
2017,1280.0,4.32753822778434,1074778460.9556,,11.9013164484663,28.2630424728857,102.928282649606,13.4334433748138,,0.402552901358931
2016,1320.0,4.32753822778434,1012147323.79343,,10.6728955768962,26.4599841389376,103.226415555393,12.5606730066488,,1.71475697388568
2015,1380.0,4.32753822778434,965640593.037584,,10.1361983069761,27.6687537644801,103.894515181652,13.6380402758518,,-0.492155633152166
2014,1480.0,4.28232108151611,1148058015.47633,,9.67647217726497,29.5593510181742,104.679913462826,15.2029653780834,,0.841613609053212
2013,1490.0,4.23710393524785,1115906341.77727,,9.04838721379907,30.1949080601823,104.790351095708,16.3561697506754,,1.71941431991975
2012,1420.0,4.1918867889796,1015901205.42028,,8.94586923883759,31.8645496987023,106.76711638525,16.1515640746149,,4.23828910854473
2011,1400.0,4.14666964271136,1021746833.42573,,9.95641544707353,30.0445801391608,104.066693215633,16.0214714764544,,3.08890642468087
2010,1380.0,4.10145249644311,907093130.313521,,9.63890463485355,29.9112323303071,102.097362493211,18.1749652022425,,1.65343951683698
2009,1370.0,4.05623535017486,901711442.285944,,9.31193867197775,28.5849836533764,101.28236443576,17.990680545639,,1.0257970962154
2008,1290.0,4.01101820390662,911967428.713837,,8.22134722875202,27.9971791255289,100.526955022724,19.2488768740532,,3.1092199345569
2007,1160.0,3.96580105763837,794621676.487681,,8.97534196697091,24.1808372457786,98.3180861753266,16.8874091034811,,3.5449226957637
2006,1130.0,3.92058391137012,697810988.051543,,8.83617933267314,26.9210952316569,100.042753938295,18.0423258142433,,3.11076370928964
2005,1090.0,3.87536676510188,653584808.745573,,8.83628108091383,26.921128253126,100.042543481372,18.042313166434,,0.315881658228534
2004,940.0,3.83014961883363,632570092.207793,,8.83602717918231,26.9210359370075,100.042292914341,18.042334010286,,3.38836173249462
2003,780.0,3.78493247256538,545658929.044587,,8.83612987853843,26.9208292516807,100.042463202062,18.0423216019979,,5.11182917627502
2002,680.0,3.73971532629714,423962976.722333,,8.83617675060801,26.9209423209685,100.04241437035,18.0423117185491,,4.17065591684414
2001,700.0,3.69449818002889,378180913.355762,,8.83626079762981,26.9209680832644,100.042324785009,18.0423401277439,,8.62998398922237
2000,730.0,3.64928103376064,350264287.687331,,8.83631405886599,26.9211644879301,100.042238083781,18.0422951853931,,-4.46002451335903
1999,700.0,3.6040638874924,382454989.945311,,8.83595307120855,26.9212040224678,100.04190070665,18.0422763408226,,5.81136042283326
1998,730.0,3.55884674122415,370106776.043329,,8.83626348797303,26.9209865837796,100.042135603364,18.0422766049696,,1.34665437141399
1997,790.0,4.1885528,364445589.702365,,8.83630551289686,26.9207383959633,100.042623875639,18.0422983671295,,0.924366549607996
1996,780.0,4.1885528,396053797.633321,,8.83645936163212,26.9213557091148,100.042777229352,18.0423615663047,,3.19870033913645
