date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,1640.0,,11263682694.0393,,98.8892553675039,56.0218574027979,38.9801914489259,18.1524129973462,,22.2355102596929
2017,1480.0,2.52,8701334800.21976,,94.0335327166831,65.1704053721619,48.5759428134255,22.5609298420533,,-2.45027400887945
2016,1820.0,2.52,9035848070.90357,,66.465721049013,85.6766247406842,91.4513191791774,27.7595826462414,20.1014046908628,8.97313567101992
2015,2410.0,2.52,8553154580.39951,,69.2755673871794,96.3702955606306,86.2218184341258,40.8729097393254,21.6120198649511,-29.691066581118
2014,2590.0,2.52,14177437982.2619,,72.9867503393234,70.2526329124687,55.9658710745273,41.2999972323426,15.7713675280739,-5.66896380101346
2013,2490.0,2.52,14085851348.069,,76.5324601011586,66.0719813006917,58.5950026541269,30.9445185454063,13.5508481566392,-3.65824354677082
2012,2390.0,2.52,13677930123.5919,,83.7751473087178,60.329267527754,50.557672297426,25.9964479216103,15.0766085777165,-1.16993793055299
2011,2120.0,2.52,14425607179.6639,,87.2830509383417,57.8357283102356,45.2801729995277,25.2725043723662,11.029752538984,10.6702867663009
2010,2120.0,2.52,12007880438.6232,27.8758486938535,85.1196700579951,54.6979289675676,49.0550806283332,20.5231782812393,11.769451544392,20.7220751924665
2009,1880.0,2.52,9593537550.75063,60.7968720094783,70.417977115355,50.2054222829147,57.2744168406757,22.5130062515218,14.0108129539108,-20.6272546520232
2008,1790.0,2.52,11859013280.9951,,75.1514962068751,47.0024925953704,53.5480175327166,18.3029788557788,14.9732164159164,25.0276753970442
2007,1350.0,2.52,8394688284.06224,,78.5294841648014,53.5231132312731,53.181074236793,21.8125548296787,19.3017147524503,1.12245291794899
2006,1180.0,2.52,7731261310.93322,,84.1596778063622,65.6199666848068,40.35551627418,21.6324566640281,18.5294859743729,18.5193730782555
2005,950.0,2.52,6087003176.11624,,84.1581731086679,54.505394197527,42.0200697418009,20.1902288130314,23.4270644297194,21.329453885852
2004,770.0,3.33,4648628921.36969,,80.5297928332926,50.8384058840296,50.5039615888916,22.5203408420881,28.6715434638814,16.8072383039855
2003,690.0,3.78,3495868808.0512,,80.8123655970076,76.0494117383601,42.506372979624,26.0903241706861,19.5450880992224,-4.25153691879549
2002,670.0,3.83,3019993738.77492,,81.5164254833959,53.9396455888641,48.0909213929403,23.4075965604067,26.7993728918238,-1.73892756062094
2001,630.0,4.17249999999996,2794259783.08097,,77.4200268515354,53.3124542303374,47.8496479470781,26.356637211346,21.5105209197871,-13.925208169174
2000,560.0,4.51499999999996,3219910550.39332,,80.297147219193,43.6127371864776,35.0725837600872,22.6259541984733,,47.0400830804295
