date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,14000.0,,60971699315.1776,,50.5166501106333,51.3615432817724,77.6640608001279,23.124020318602,,1.80162926491749
2017,12640.0,4.50599016634406,55319620157.6135,,50.0289962969341,49.4091168724062,77.6105195563307,21.7696010191414,38.4768677777047,1.16886058015282
2016,12390.0,4.50599016634406,51596929180.1352,,47.6333169784209,46.515791413073,77.8505316675433,21.0319427671088,39.7310207316313,-0.102637189766426
2015,12970.0,4.50599016634406,49530656285.0852,,46.3797494289749,46.1600824972674,79.1633462968812,20.6169867714113,40.7532120621932,0.0819091285520841
2014,13270.0,4.50599016634406,57642879510.1075,,43.3005334656434,43.6810759129216,81.2631510327069,19.1173914145713,41.0270200529482,0.144385467810309
2013,13520.0,4.50599016634406,58056951042.0866,,40.4345774315983,42.5885339503051,82.6002365273176,19.553689798982,39.7631460005175,0.764415163812046
2012,13400.0,4.34799508317201,56494436182.7599,,39.5251693295259,41.2279650745183,82.7371626949188,18.9656633063992,40.4361358557427,1.45843216447173
2011,14010.0,4.19,62354235670.5777,,38.8644501984906,40.8658018791482,81.8800065303222,20.1213451503355,41.5894282006682,1.6502027525509
2010,14080.0,4.08,59807966533.2848,,36.1773859709839,38.0197077952292,80.5875601613263,21.254731251532,41.2356693941626,0.921543999895874
2009,14130.0,4.15,62666161453.4983,,32.6639775941528,38.2782277032918,80.3177305856502,25.2964892910741,39.6015322392424,2.97417737830862
2008,14310.0,4.22,70288911412.9333,,36.4012076074192,46.6363957279215,79.3471790576786,30.8880090628237,36.9458087901084,5.5603635906896
2007,12710.0,3.82,60182977533.3271,,37.8273089059994,46.240296364773,79.1075908465963,29.3053966121774,37.0314996000513,4.14262482480963
2006,11320.0,3.77666666666667,50454899071.2499,,37.9158123749553,46.4550728880499,79.3234179457127,29.2158765296166,38.3204397973541,3.8537897559326
2005,10170.0,3.73333333333333,45386757883.4129,,36.7288249648445,45.5139697846304,81.7695245706811,27.0156202491048,38.5746327332306,3.12955297189713
2004,8520.0,3.69,41594418573.8197,,36.8986888887826,45.5048184572331,81.6918546000449,26.9142749684055,39.2336840201248,3.60948986791018
2003,6670.0,3.71,34686547352.7218,,35.8875244922784,46.3553210966177,82.3286679941335,28.1391286102059,39.7338486404071,4.29707162972908
2002,5610.0,3.49,26815719603.1353,,36.2101008454876,45.7233165928655,84.7849660776947,24.7282970438965,42.3610554595701,3.85706281104483
2001,5320.0,3.49,23179799796.1997,,37.2369272366842,42.4439487510751,83.2894846403726,21.9175368740183,37.1339039266259,4.30485371327107
2000,5220.0,3.49,21669159307.5371,,35.2485465861779,39.7793843814043,84.1110147248047,20.4198230704217,38.8708697290752,4.36220226182962
1999,,3.49,23400480897.6757,,30.4396420562298,36.4893172099999,84.7713457503191,21.2783294034511,38.3932610331144,3.53882603594332
1998,,3.49,25467053258.5294,,29.4453409192586,36.2279356636193,85.0968655606601,21.6856674760652,36.6091901181393,8.10593511745191
1997,,3.49,23854803103.5938,,31.2759467038287,44.1667420840651,87.1961671176967,25.6946282625396,35.0125986748766,6.84316483517962
1996,,3.49,23710279341.9455,,30.6879354021533,37.2085677209453,86.3400141563909,20.1806181624011,35.2791696159148,3.82324680170586
1995,,3.49,22417450485.5854,,27.5749352727074,35.8462986904449,91.3486302374528,16.9227331802847,35.6317093804259,
1994,,3.49,,,,,,,,
1993,,3.49,,,,,,,,
1992,,3.49,,,,,,,,
1991,,3.49,,,,,,,,
1990,,3.49,,,,,,,,
1989,,3.49,,,,,,,,
1988,,3.49,,,,,,,,
1987,,3.49,,,,,,,,
1986,,3.49,,,,,,,,
1985,,3.49,,,,,,,,
1984,,3.49,,,,,,,,
1983,,3.49,,,,,,,,
1982,,3.49,,,,,,,,
1981,,3.49,,,,,,,,
1980,,3.49,,,,,,,,
1979,,3.49,,,,,,,,
1978,,3.49,,,,,,,,
1977,,3.49,,,,,,,,
1976,,3.49,,,,,,,,
1975,,3.49,,,,,,,,
1974,,3.49,,,,,,,,
1973,,3.49,,,,,,,,
1972,,3.49,,,,,,,,
1971,,3.49,,,,,,,,
1970,,3.49,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
