date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,,,100023000000.0,,14.5016646171381,12.5931035861752,86.0272137408396,12.0372314367695,,1.00407709893717
2017,,13.01,96851000000.0,,14.5408927114847,11.6766992596876,86.823058099555,10.3127484486479,,4.11518630041306
2016,7480.0,13.01,91370000000.0,,14.9830360074423,12.2863084163292,87.744336215388,9.56003064463172,,4.32669085021485
2015,7230.0,13.01,87133000000.0,,17.1473494542825,14.4663904605603,87.9299461742394,9.38909483203838,,3.43960423608975
2014,6840.0,13.01,80656000000.0,,22.0839119222377,17.1902896250744,87.4950406665344,7.61133703630232,,3.46324746410833
2013,6640.0,13.01,77148000000.0,,24.1004303416809,20.2234665837092,86.7294032249702,9.39363301705812,,2.65783023966264
2012,6280.0,13.01,73141000000.0,,25.5109993027167,20.35520433136,86.2689872985056,8.57521773013768,,2.91405780485152
2011,5930.0,13.01,68990000000.0,,25.103638208436,21.8567908392521,88.2823597622844,8.47079286853167,,4.32376713223725
2010,5610.0,13.01,64328000000.0,,22.5702648924263,17.7216764084069,85.0780375575177,10.0733739584629,,1.20204852948169
2009,5520.0,13.27,62080000000.0,,17.4597293814433,15.4542525773196,87.0570231958763,10.9375,,0.634175020657153
2008,5460.0,14.01,60806300000.0,,20.567605659282,24.3496150892259,88.9373305068718,14.8446789230721,,-0.344532566813086
2007,5000.0,11.7,58603900000.0,,20.3363598668348,17.6312497973684,87.1117792501864,10.1839638658861,,3.58977546191458
2006,4530.0,8.11,52742800000.0,,18.7134547274699,18.4745595607363,88.0329358699197,11.7286150905906,,10.3655612005023
2005,3960.0,9.19,42643836100.0,,21.018043449426,18.3433309837714,86.550496098544,10.774593517397,,0.380080729225
2004,3490.0,8.99,38203000000.0,,16.0217783943669,15.2896369395074,90.4672397455697,8.80061775253252,,0.605978559202299
2003,3100.0,8.56500000000011,35901200000.0,,12.9519347542701,13.6351988234377,92.1794048666897,8.50361547803416,,2.97351054323786
2002,2820.0,8.14,33590500000.0,,11.5270686652476,13.2022446822762,92.4787541120257,9.19635015852696,,4.53317575927856
2001,2760.0,7.51,31682400000.0,,13.2344771860718,16.1266191955155,91.4261545842487,11.4647248945787,,0.454939112139584
2000,2620.0,7.28,30565400000.0,,14.1300293796253,16.9459585020971,90.3123296276182,12.5033534650291,,1.74116359273691
1999,2400.0,7.18659265000001,28364615200.0,,14.5374790771003,17.3314531691585,90.9369082503894,11.8570267084039,,3.78909596676354
1998,2240.0,7.0931853,25736331200.0,,14.2526142187663,18.2520187648191,90.7963424095195,13.2031250825681,,1.29910517540048
1997,2500.0,6.0959161,25365908100.0,,14.9239679694337,17.830230962636,87.9526958469112,14.9539294435905,,-1.35258710918154
1996,2710.0,4.9,25017368700.0,,15.3133610730212,17.3119725417006,86.1001820707068,15.8969556218756,,-2.6716168630164
1995,2550.0,5.1,30429803651.2192,,13.4015118655048,15.9069057573438,94.9031839900151,7.01427497815333,,10.5086672297492
1994,2140.0,5.7,28448326756.7568,,13.2397137421534,14.5361829051286,95.2245773558012,5.24213085101504,,26.2820317225224
1993,1870.0,6.9,22367254864.8649,,13.1942099528868,15.721620226131,97.3235283146721,6.39438192725822,,18.9754918350442
1992,2130.0,7.2,22085858243.2432,,16.9182669666124,18.2286003717764,95.8522871835727,6.54495917471368,,3.74572134364691
1991,2340.0,6.9,24316556025.6585,,21.931179713084,29.0649368268852,92.7056085668105,13.9954824284752,,-7.38784345659955
1990,2650.0,6.1,28645436569.1489,,30.2390452142263,40.8754480094935,84.9028749951785,24.8024922353702,,5.26127457226433
1989,2750.0,6.4,27023468665.8977,,31.163968592742,44.7646632884344,88.1351434809731,26.326710025583,,0.624843950681992
1988,2780.0,6.5,27458999472.2955,,32.0271423526454,43.109570471333,87.4034583660582,24.0240445606368,,1.23322040629606
1987,2490.0,7.1,25213935012.0819,,32.90007855504,43.9171024991575,88.9381751543302,22.8520702537413,,0.610485387384415
1986,2390.0,7.4,24226574634.0293,,31.7317301154889,43.7798703745116,87.6759646389455,25.5409280020537,,-3.91406104212001
1985,2310.0,6.9,22920490774.102,,33.7050654442203,44.971950129276,82.6990378046078,28.7632021860748,,-2.15753517376194
1984,2310.0,6.8,24039383608.4235,,32.3055968889223,44.1086315457913,86.9703560110772,25.5013911079374,,2.58438977586361
1983,2180.0,6.7,22204940512.2235,,32.533922709489,43.9774252590454,86.73739814555,25.3363273427299,,1.59660388718494
1982,2340.0,7.6,20953510235.2941,,32.6352787375449,44.1509963033738,86.6041863871446,25.5987837096193,,-2.22754954734519
1981,2430.0,7.4,20150254096.3855,,32.5823186575978,44.197775041959,86.1373884794624,26.1481267218795,,-2.53694771323579
1980,2140.0,7.6,19912889861.1111,,32.75243679926,44.2813552503021,85.8296734052225,26.2695658877628,,5.39532857333911
1979,1990.0,6.5,19584443287.6712,,32.5619105452136,44.1432365286073,86.4558000172852,25.7708389681058,,2.92801401927881
1978,1790.0,6.6,17844705324.6753,,32.6131733163297,44.1501572102245,86.3528896719345,25.8247287887372,,9.32121504732865
1977,1600.0,6.4452018,14206158674.6988,,32.6290234363567,44.1847039749441,86.2759878697443,25.9224089955827,,-4.19392437329708
1976,1550.0,6.4452018,13789579902.5579,,32.6277725406722,44.1914458684407,86.2103480119868,25.9871336943319,,0.523193934146221
1975,1500.0,6.4452018,13027415243.9024,,32.6368636947196,44.1901803611998,86.2249399846787,25.9549352793108,,4.32920623145259
1974,1240.0,6.4452018,11405957317.0732,,32.613748592012,44.1719448063352,86.303993901347,25.8920087224423,,11.8588811238676
1973,1040.0,6.4452018,9987709650.18094,,32.624116687297,44.1776867547694,86.2736316224984,25.9162428013305,,3.25154395940048
1972,850.0,6.4452018,8135150891.92025,,32.626305225411,44.1831922685779,86.2577795776153,25.9345463731111,,6.95865374600031
1971,,6.4452018,6914658400.0,,32.625760659413,44.1828897867174,86.2541380207589,25.9369732566977,,11.8571828061109
1970,,6.4452018,5693005200.0,,32.6253592742195,44.1811786857318,86.2628967913116,25.9269410117525,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
