date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,28570.0,,24961988663.2026,,73.0657600701529,72.2795717929557,80.0800574818245,19.1337542409782,,1.36412599074278
2017,24580.0,6.03770735397155,22638608224.1301,,73.0152992340802,73.3895414381535,80.4563502360515,19.9178919680219,35.4157069049351,1.74520482456715
2016,24700.0,6.03770735397155,20890936462.2537,,70.7503129359432,69.0496284826178,81.251163045031,17.0481525016436,36.2440862206876,-0.823903217088358
2015,25960.0,6.03770735397155,19779150116.4984,,70.3258965023065,67.7013249828294,84.3045820294085,13.0708464511143,39.5648206299811,-0.939471725687142
2014,26510.0,6.4183820341213,23128114786.7676,,66.109181405991,65.1694984964844,85.7919783241919,13.2683387663015,48.7238096813677,-1.42163928201387
2013,27830.0,6.47819399518525,23900872625.8467,,61.3603125807344,59.7798484431786,85.4943774000808,12.9251584623634,42.4340872645112,-0.94590460214549
2012,29680.0,6.20909699759267,24978513426.6992,,55.3122593814023,57.2253413533832,85.7102213558645,16.2028606161163,40.9505237367827,1.67527012376287
2011,32550.0,5.94,27565469097.9955,,53.4951590496264,57.3218859959482,84.9003634948243,18.9263634514976,40.0034681556103,1.61710657996737
2010,32040.0,6.22,25732432719.0773,,50.3797480614863,58.7213305901389,84.3160840916119,24.0254984370407,38.890314845347,1.88028235720469
2009,32780.0,6.6718569505347,25945391775.4932,,48.7221408291604,54.068719899389,82.4719379563367,22.8746411138919,39.0254757933298,0.263119072444255
2008,31970.0,6.04,27844698989.3072,,50.0816009783701,62.8441160392005,83.8065457114877,28.9559693493427,62.3693882591249,4.73484012051601
2007,27340.0,6.13,23968764029.5647,,53.2588980125664,58.0160532639575,80.3759443965618,24.3812108548293,60.9703987688123,4.13820846878635
2006,25600.0,6.06,20072786350.5206,,53.4357273848067,56.370599083076,78.3303806283218,24.6044910699475,62.3030135929911,3.08623003702768
2005,23990.0,5.91,18433411267.2553,,55.6921102559885,56.2249625665534,78.0846043793726,22.4482479311923,63.2176398516886,2.01949511307544
2004,20260.0,5.94,17320552500.0,,56.889798983029,57.0138062859138,78.0534281455514,22.0705791573335,61.1222309793349,2.70926818790251
2003,16710.0,6.12,14547325028.3126,,57.7621459324228,56.2425225499031,78.804585774955,19.6757908425253,63.5792987252133,5.38767398576749
2002,14510.0,5.24,11420227884.6154,,62.4053120319487,61.2360305015468,78.3696388249022,20.4610796446959,58.1126958060601,0.296405181775896
2001,14170.0,5.03,10397897085.6102,,68.2088670199269,63.6402239453806,77.5365202312959,17.8948366941578,55.6688825498211,3.66030474513528
2000,14180.0,4.9131070959956,9985844486.33365,,69.9628437276103,67.5320984530317,76.990067278082,20.5791874473395,54.3060469276375,2.74340599040785
1999,14340.0,4.39,10497908306.3646,,66.9264571223466,64.2828627390816,77.4144970164602,19.9419086002749,53.6358611250557,2.30199201920756
1998,15490.0,4.6494071,10248617647.0588,,68.6974890554713,66.21226259628,78.4342397793853,19.0805337614233,54.5445714977583,1.96567971118536
1997,14280.0,4.636633,9547818700.11403,,69.1855924872905,70.5773507342326,77.3043733415562,24.0873849053859,51.0329534321667,2.23690735679089
1996,13880.0,4.636633,10011918444.1656,,70.2076408556477,70.6412896348505,76.1734164012051,24.2602323779977,48.6874922523475,2.64101112214834
1995,12810.0,3.8,9933133247.08926,,66.7633198546764,67.6272467177682,74.2740722179562,26.5898546451355,46.7053639563547,13.5978068425104
1994,11680.0,3.7,7425703928.57143,91.6683134055663,47.6894839198586,48.0866676853291,74.8815299905911,25.5156537748794,50.9739548168824,5.27098234276021
1993,10970.0,3.7,6590291048.29211,100.330442275555,47.4913742815193,47.9250010692282,76.3459260151963,24.0877025597726,50.1847870688582,4.80313298735663
