date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,20240.0,,245225882903.37,,78.3860643927324,72.0030708959607,67.4492159306763,26.1677905725521,,2.54368016288986
2017,17970.0,5.73207592681736,215913545038.43,,79.7260774989712,72.202798068737,66.6037679401545,25.8729526296112,32.1020068880842,1.44196536067402
2016,17590.0,5.73207592681736,195090272402.729,,79.5556198733638,71.8390558705031,66.3036415764295,25.9797944207098,32.9617092317727,1.26551124065224
2015,18260.0,5.73207592681736,186829940545.759,,81.0493010657814,75.0505626571141,66.0454812596678,27.9557803316649,33.4067121968117,1.16589854070284
2014,18800.0,3.80574701959373,207818330723.835,,82.5456924295555,76.1812643131131,67.7551915497026,25.880380333855,34.680161686165,2.47997675517824
2013,19270.0,3.91916065719876,209402444996.104,,76.8709518101924,71.1072226148134,69.5692277059184,24.6670430987026,35.0831403997142,1.43189790810385
2012,19350.0,4.09,207376427020.815,,76.1700746223071,71.3673843176896,69.0116682332031,26.1856414621795,36.8071278392241,1.45997467326534
2011,19420.0,4.02,227948349666.354,,71.3071567311351,67.4778215335339,69.2131277184658,26.957537083933,35.1625718468276,0.0209526134028692
2010,19280.0,3.93,207477857918.919,,66.0295210253014,62.9375560257456,69.7853406365332,27.1226943639109,35.2184146026311,-1.42544961806605
2009,18690.0,3.97,206179982164.402,,58.6842997764355,54.8084690422803,69.6109997712706,26.5131694945742,35.2578573883787,2.59871744393287
2008,18340.0,3.59,235718586901.129,,63.2263674242076,61.0624641380954,66.7742761952498,31.061820518638,32.2268711371961,2.05414010402735
2007,15780.0,3.69,189227050759.595,,66.4089661851449,63.963936515476,65.4826923242182,32.0722780061128,32.6351254401884,3.51814694111572
2006,13950.0,4.01,155463807112.889,,65.1862987851849,62.4462038523137,67.2158774856966,30.0440275814322,32.877011430774,0.690924061096894
2005,12420.0,3.67,136280689891.224,,62.181957290981,59.8333012244363,68.5266549277764,29.1246890056788,33.8335787188152,0.073659956850932
2004,10230.0,3.8,119162172468.268,,57.3404444293512,56.5278907957174,69.8385015366812,29.348944829685,35.1828474251284,3.8723934512398
2003,8080.0,3.91,99627140274.3805,,46.9073243423848,48.1078728799145,72.1614712875331,29.0390772499966,38.857208735325,1.1560692872403
2002,6630.0,3.7,81910771993.9155,,45.1241477243064,46.4018340987842,71.152061944091,30.1256244303867,37.5908584435518,2.71545886480209
2001,6330.0,3.5,67523642262.4009,,49.0279401738654,50.2820338206968,69.7048524924376,31.5492411543938,37.3074657293963,4.8887061603361
2000,6330.0,3.42,61649492816.5201,,48.1922910591063,50.0408297410306,70.4406544021942,31.4078842797302,34.2021263406255,1.76630393800519
1999,6090.0,3.41,64867483193.1315,,42.9203399724494,43.340912952408,71.2582450097373,29.1623279702214,35.4901430019483,2.99813479426206
1998,6080.0,3.32249952910059,66490372105.1262,,42.2085185863327,42.4800909807123,69.9400248510405,30.3315475433391,36.6125618422383,9.94232384553193
1997,6130.0,4.1772421,61792161168.0011,,40.4614736627143,44.6126944823801,71.8351478640442,32.3160729556216,35.7405965615388,8.36478588011738
1996,5950.0,3.8,66985765439.1937,,38.3168292873398,43.176421157296,69.2640328387069,35.5955590312493,38.014465925552,9.97328680581502
1995,5110.0,4.1,59775697061.0399,,40.3995847324241,43.4953704725087,69.3634896091707,33.7322961309139,47.6307118989793,9.10736666746128
1994,4140.0,4.3,47554674590.9328,14.1839789649322,37.2718043516157,38.4277812505438,70.8827645473282,29.6727249135109,30.6727202760068,12.3419666012958
1993,3480.0,3.9,40614350197.2353,15.9393744992717,40.1256093924945,39.0089635718215,71.3123579980577,26.3678807551664,31.187212554897,21.0088029158267
1992,3340.0,3.31697953358492,34590052812.1684,,40.0459295129956,38.8491865324229,72.3051964207343,25.2961178186842,,12.35726262796
1991,,4.2505054,29675502269.5661,,38.6081648918862,33.0100951008773,69.4242328284946,22.190905227378,,36.1923884424411
1990,,4.2505054,40477403219.5176,,33.0772640557094,30.7291275401002,71.6807195390194,24.2387061116308,,
1989,,4.2505054,,,,,,,,
1988,,4.2505054,,,,,,,,
1987,,4.2505054,,,,,,,,
1986,,4.2505054,,,,,,,,
1985,,4.2505054,,,,,,,,
1984,,4.2505054,,,,,,,,
1983,,4.2505054,,,,,,,,
1982,,4.2505054,,,,,,,,
1981,,4.2505054,,,,,,,,
1980,,4.2505054,,,,,,,,
1979,,4.2505054,,,,,,,,
1978,,4.2505054,,,,,,,,
1977,,4.2505054,,,,,,,,
1976,,4.2505054,,,,,,,,
1975,,4.2505054,,,,,,,,
1974,,4.2505054,,,,,,,,
1973,,4.2505054,,,,,,,,
1972,,4.2505054,,,,,,,,
1971,,4.2505054,,,,,,,,
1970,,4.2505054,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
