date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,3190.0,,2955912228.22417,,148.776840430178,178.881328667234,81.7967533906341,48.3077348464217,,1.30118592662187
2017,3000.0,7.43194220799754,2766868072.24848,,147.005091437644,178.434415821707,84.0214051776871,47.4079191860397,,0.557407623226595
2016,2890.0,7.43194220799754,2618587757.14607,,100.042244968934,124.419874115387,89.3040402936523,41.1862614198829,,0.149550135815105
2015,2740.0,7.43194220799754,2445484583.05199,,140.579414521599,139.54103242833,72.5917097474564,18.179772773124,,2.4799020931936
2014,,7.43194220799754,2216200810.48476,,158.265743432519,161.52488194933,79.7100904484829,23.5490480683278,,1.33176877030211
2013,,7.43194220799754,2042817162.85639,,156.538300905396,219.685788800839,78.0461894458067,85.1012984496368,,
2012,,7.43194220799754,1353632941.5207,,,,,,,
2011,,7.43194220799754,1239144501.77525,,,,,,,
2010,,7.43194220799754,1128611700.3618,,,,,,,
2009,,7.43194220799754,1049110684.72493,,,,,,,
2008,,7.43194220799754,999105339.267729,,,,,,,
2007,,7.43194220799754,847918929.107984,,,,,,,
2006,,7.43194220799754,768873684.032838,,,,,,,
2005,,7.43194220799754,708633194.726566,,,,,,,
2004,,8.24693833496575,666072101.777505,,,,,,,
2003,,8.03842354735874,622044665.515049,,,,,,,
2002,,8.04678658049084,591122039.601398,,,,,,,
2001,,7.49251742640026,572417440.820162,,,,,,,
2000,,9.26539491906466,551230861.856505,,,,,,,
1999,,7.41473469501391,536080148.097299,,,,,,,
1998,,6.88789285813716,514267869.300758,,,,,,,
1997,,6.36105102126034,502675542.001227,,,,,,,
1996,,5.83420918438371,494004647.73437,,,,,,,
1995,,5.3073673475069,497723960.589913,,,,,,,
1994,,4.78052551063008,491689220.744875,,,,,,,
1993,,4.25368367375345,466048469.22986,,,,,,,
1992,,3.72684183687664,478058304.871118,,,,,,,
1991,,3.2,462421998.525779,,,,,,,
1990,,3.2,452328087.282876,,,,,,,
1989,,3.2,409220087.102818,,,,,,,
1988,,3.2,395794538.630775,,,,,,,
1987,,3.2,373371738.286415,,,,,,,
1986,,3.2,,,,,,,,
1985,,3.2,340989527.967995,,,,,,,
1984,,3.2,,,,,,,,
1983,,3.2,,,,,,,,
1982,,3.2,,,,,,,,
1981,,3.2,,,,,,,,
1980,,3.2,,,,,,,,
1979,,3.2,,,,,,,,
1978,,3.2,,,,,,,,
1977,,3.2,,,,,,,,
1976,,3.2,,,,,,,,
1975,,3.2,,,,,,,,
1974,,3.2,,,,,,,,
1973,,3.2,,,,,,,,
1972,,3.2,,,,,,,,
1971,,3.2,,,,,,,,
1970,,3.2,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
