date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,7600.54858640789,,16284459791798.2,,25.0323162307541,24.2547724697715,,40.9056215888684,,3.08420193508292
2017,6960.82946911994,2.074867242305,14651035434783.8,,25.3061473688085,23.4057053390808,,40.8925962518739,,3.56237579860101
2016,6648.64860378258,2.07717901396361,13462443506492.4,,24.6975397263507,22.3693209426036,,40.9057055754952,,2.22875221693837
2015,6456.82946055668,2.0745596885891,13228102259018.6,,26.2915550730553,23.2506664654922,,41.7620984109315,,1.5339084591421
2014,6207.06238127824,2.08440953430439,12714038602919.6,,28.3289686398007,26.2688709461784,,43.0573979262349,,2.63219587864212
2013,5714.28928289955,2.13406156611253,11827743599414.2,,29.0580496809301,26.955443271945,,43.4437260396307,,2.11123625668405
2012,5079.44666767404,2.14508108941281,10721292453505.0,,29.9812289327789,27.5886427354969,,43.3586061811156,,3.57651352093811
2011,4345.4217533814,2.14761268181647,9614770612255.04,,31.1532728045305,28.7058101459913,,43.4961849029198,,7.46594303367513
2010,3763.2303108205,2.09489829459208,7868985854185.0,,31.4559350532533,27.8708815858452,,43.3908098243519,,4.22978499907933
2009,3218.47819029165,2.12837498450803,6490733643475.84,,29.2146554745435,24.7678820690932,,41.7803493012557,,1.8267036885816
2008,2772.4631168628,2.08526185837629,5987641610123.28,,36.6856627154464,30.1506333654673,,39.4902722340786,,8.86345063816474
2007,2275.60223153938,2.1173065611907,4730920228222.68,,39.203106135492,31.334722201892,,37.9124350722819,,5.1769314318134
2006,1896.48820640594,2.13817722255144,3742323206945.26,,40.0711290067573,32.955039529135,,37.5023509959801,,4.4470423608465
2005,1639.1598232492,2.16518781933814,3107082021259.6,,38.5115031870763,33.5105476579579,,38.0816102985602,,5.9523442571106
2004,1425.50179208494,2.2072041406874,2682116439590.43,,36.2265331259976,33.3712660553979,,38.998154332778,,5.55826793289666
2003,1212.13520281457,2.22050515172424,2312735498218.46,,32.3047920090287,29.6113369773877,,37.3144609669031,,2.92031566003218
2002,1067.06588063773,2.19667946730759,2043278205611.17,,29.0546407165805,26.2520627315793,,34.1987026294777,,4.16222745128177
2001,985.623433951378,2.20386117740583,1846150081149.17,,27.9123386003212,25.1184384180363,,33.6595752288871,,3.72253247753254
2000,913.99496443595,2.16507432019406,1735183819246.35,,29.0680503127287,25.5699896110119,,31.9537851065038,,2.98549381717739
1999,852.523799518988,2.1740096755188,1576445324912.12,,26.0818085234172,22.1008394762564,,32.1375630200805,,5.11344516615423
1998,828.336134787069,2.2727019161313,1433119950622.82,,27.4430456326797,22.384150147421,,33.446837148181,,7.7756641142997
1997,882.209300773919,2.18163234605631,1563630253929.58,,25.2344858950569,22.1850261924458,,35.3672508745094,,6.11473393029777
1996,813.870745860053,1.93818702065512,1509586821352.48,,23.0407377180723,22.2290099881064,,37.3553786462824,,5.78735951136429
1995,699.255882855723,1.87383110021316,1314276866407.17,,23.0368258589289,22.709936576466,,38.3046204829869,,6.29212826638638
1994,607.898555535822,1.96824228502634,1064837782890.49,,23.1363164402145,22.6572832591868,,39.0897071964718,,7.47684199665797
1993,541.452314373406,1.90574456165024,885207068634.886,,21.1521413574701,23.6235392365667,,41.4370026624707,,6.49193758006805
1992,498.535233191655,1.82695358623322,806316504753.531,,20.5273564760819,19.7141264680882,,37.8690636154417,,7.28885625784123
1991,448.989476620472,1.97125061283069,719536658049.148,,19.4231669899804,17.5063266789147,,35.0058316921073,,7.24697447823466
1990,418.794935538608,2.00446858198521,663000631709.241,,18.4373638814153,16.6011793155193,,34.0417841327659,,6.67946936943866
1989,403.376201076096,1.86464289006303,618603050802.359,,16.7124092922864,17.778418534317,,35.9837080028114,,6.4517361301732
1988,401.65350444123,1.87392606973382,572367777101.816,,18.1052435575271,18.8040399138103,,37.1561261207316,,7.92423698549652
1987,382.11279117396,2.0090644390826,516052210269.867,,16.2470255996803,15.6850204863905,,35.1875904266859,,7.66671475270412
1986,365.782994762681,2.09255825601308,522498376451.28,,12.5777469666271,14.3076944588752,,35.497346269978,,2.70337930106894
1985,344.403105058419,1.96088757910748,523980550891.894,,12.4156614269466,15.3388309111447,,36.804984733522,,3.68577833028026
1984,321.880308883768,1.93745160365763,478126156906.599,,13.5921583461065,13.3991904524701,,33.4522816513817,,5.75313867974991
1983,303.76218888435,2.07071581551894,440441082430.14,,13.3624135554647,13.3264817875652,,32.356778146098,,5.87858070198298
1982,307.69236672911,2.040358110468,419736099468.48,,14.1719974994165,13.2509483034657,,31.6154254835842,,3.99999999999999
1981,308.232270388381,1.95671986579042,399939552814.61,,11.9680909736455,12.4473952991163,,32.3069380428301,,
1980,291.273665861055,1.8695672349544,374789787222.221,,11.1451706030434,11.2968408749799,,33.4761754670821,,
1979,263.467170591639,2.04198503014932,324817224839.271,,10.3230079873059,10.5642789126345,,34.7628921387148,,
1978,238.530147434487,2.04235291258807,280421424653.353,,8.75909565779272,9.26275657616135,,35.764245612919,,
1977,224.986195283606,1.87370675736703,289659789439.16,,8.74745187087242,8.38603758781402,,31.8742598955721,,
1976,211.543787472171,1.88403019828861,250662223371.567,,8.80552551621374,8.5209949127378,,31.2833744632333,,
1975,216.312633044413,1.8004092369488,246956235160.746,,8.76851398946799,9.24404652020196,,32.8104995101037,,
1974,185.917662572237,1.82398562696734,219670218216.131,,9.87723086778753,9.77801718244146,,31.04488051753,,
1973,158.840534975328,1.75572980429889,194710618854.194,,8.19982537344858,7.45568786095839,,30.5515441739027,,
1972,131.554331276749,1.73116920079618,154648699363.055,,6.70686486282012,6.41532608549211,,28.874811742272,,
1971,124.573131580472,1.66978318125656,136319408582.309,,6.22398081679403,6.00558016220547,,30.6096176585201,,
1970,121.161494713368,1.87516760325247,126761107885.32,,6.0118382646841,6.31863661696198,,29.8337529652758,,
1969,108.17111274051,,113713976770.798,,5.9874616031235,5.95536174768718,,23.1698499855373,,
1968,96.537935685537,,101268615314.415,,6.33780219028657,6.59823146295918,,22.9841491499804,,
1967,99.7090688254815,,100332529533.081,,6.22586824091332,6.73442071061649,,22.0484855786731,,
1966,105.714889420371,,103545713615.446,,6.7808785165141,7.21405446359555,,26.9221721027737,,
1965,97.7070516985357,,94586041934.5311,,6.2731215513425,5.86885855286997,,24.1976638605751,,
1964,86.2346804728347,,81049247320.6315,,6.92938821319983,6.30964997551155,,22.419391492298,,
1963,77.5702674861711,,69906308931.6416,,6.82346385639736,5.97443303321517,,20.0197089930232,,
1962,71.3070321328071,,64557035180.4419,,6.49699438121769,5.69828935961108,,14.7747675024782,,
1961,,,70449585727.547,,6.84592642918953,6.59905002272178,,27.778938750416,,
1960,,,80254555640.1302,,7.300630860816,7.08734405490318,,33.7011900586593,,
