date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,10982.3125162637,,25942413437360.0,,29.8107886731089,28.2231415753381,,32.3163949424148,,2.7909385902104
2017,10151.5366714137,2.66307303531955,23932507354767.2,,29.5365067570181,27.098010178374,,32.1861123817156,,2.55374710871297
2016,9837.91254594728,2.67203592170795,22462886797038.3,,28.4361661106532,25.8665740419754,,31.985113889802,,1.69399916108371
2015,9783.62971805699,2.68374423384815,21761631431469.4,,30.3293761887922,27.8265303804065,,32.6122757387111,,2.14539677858083
2014,9908.51244465361,2.71473695994646,21881282741564.0,,32.2909938813699,31.1126637129535,,33.3290215055595,,2.46746677939956
2013,9688.42726620746,2.81770387196676,21245205264084.8,,32.4444165169558,31.3006261219478,,33.3290001380082,,1.77892498095187
2012,9087.27223313601,2.86396774847676,21009852208269.3,,32.6574864427458,31.2211636516542,,33.2233120702116,,2.39161018032996
2011,8119.44922359306,2.83855159246621,19630901894454.5,,33.3918146294593,31.5188584183245,,33.1138839698831,,4.02172300059426
2010,7319.77640496994,2.83696917730854,16933217302135.6,,32.8152370444807,29.7378415106561,,32.8004911219782,,3.60302059581967
2009,6504.46726718378,2.80065777899789,14524812594573.0,,30.1316881631783,26.7582946973637,,31.6806130904304,,1.8267036885816
2008,6151.95953953247,2.77847869005449,14099693484693.3,,36.3161745436375,32.6425161816451,,32.298839726477,,7.7918019418298
2007,5642.09126099943,2.83388533645481,12208484750735.6,,36.3830782077194,31.2492453981139,,31.3440189566424,,3.15598928861463
2006,5272.46181271599,2.88718980165704,10915572419795.9,,36.156240257103,31.6274107082698,,31.2586185623143,,4.07624362972108
2005,4986.06357016187,2.94791370684954,10292453254841.6,,34.3331877880328,30.7423976840347,,31.4537114838967,,5.09544454402947
